;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;5,59%;3,94%;5,44%;5,69%;6,36%;9,74%;4,67%;6,01%;5,09%
Div;4.12;3.95;3.82;3.74;3.74;3.75;3.53;3.25;2.72
P/L;13.88;19.3;15.4;17.07;17.49;27.88;24.47;19.29;52.95
PEG Ratio;0,72;-;-;-;-;-;-;-;-
P/VP;2,10;3,44;2,48;4,52;4,36;2,82;5,02;3,37;3,71
EV/EBITDA;24,30;13,59;12,13;12,04;11,89;14,69;16,79;13,07;15,31
EV/EBIT;44,41;16,40;14,27;14,62;14,62;20,31;20,52;15,89;19,39
P/EBITDA;14,28;8,85;7,98;8,27;7,85;8,15;11,93;9,19;10,60
P/EBIT;26,10;10,68;9,38;10,04;9,65;11,26;14,59;11,17;13,43
VPA;35,09;29,22;28,27;14,52;13,48;13,60;15,07;15,99;14,42
P/Ativo;0,70;0,91;0,93;1,21;1,11;0,74;1,43;1,22;1,22
LPA;5.31;5.2;4.56;3.85;3.36;1.38;3.09;2.8;1.01
P/SR;1,47;2,70;2,32;1,31;1,58;2,00;3,08;1,76;1,68
P/Cap. Giro;-84,27;-121,71;-119,03;-58,41;-32,35;32,47;-56,84;-31,27;-22,70
P/Ativo Circ. Liq.;-0,75;-0,98;-0,99;-1,35;-1,23;-0,80;-1,54;-1,32;-1,36
Dív. líquida/PL;1,47;1,84;1,29;2,06;2,24;2,27;2,04;1,43;1,65
Dív. líquida/EBITDA;10,02;4,74;4,16;3,77;4,04;6,55;4,85;3,89;4,71
Dív. líquida/EBIT;18,32;5,72;4,89;4,58;4,97;9,05;5,93;4,73;5,96
PL/Ativos;0,33;0,27;0,37;0,27;0,25;0,26;0,29;0,36;0,33
Passivos/Ativos;0,67;0,73;0,63;0,73;0,75;0,74;0,71;0,64;0,67
Liq. corrente;0,90;0,90;0,90;0,84;0,75;1,39;0,73;0,66;0,66
M. Bruta;7,93%;38,65%;32,52%;20,00%;25,90%;40,18%;33,22%;25,18%;21,65%
M. EBITDA;10,28%;30,49%;29,03%;15,87%;20,19%;24,51%;25,77%;19,19%;15,88%
M. EBIT;5,63%;25,26%;24,68%;13,07%;16,43%;17,74%;21,08%;15,78%;12,54%
M. Líquida;10,58%;13,98%;15,04%;7,69%;9,06%;7,16%;12,57%;9,14%;3,18%
ROE;15,12%;17,81%;16,12%;26,50%;24,91%;10,12%;20,52%;17,49%;7,00%
ROA;5,01%;4,74%;6,00%;7,06%;6,34%;2,65%;5,86%;6,31%;2,30%
ROIC;1,24%;9,13%;9,24%;11,92%;11,36%;6,54%;9,34%;10,16%;7,36%
Giro ativos;0,47;0,34;0,40;0,92;0,70;0,37;0,47;0,69;0,72
CAGR Receitas 5 anos;16,38%;7,02%;12,96%;13,14%;1,93%;-3,58%;1,19%;3,63%;-9,64%
CAGR Lucros 5 anos;18,87%;18,22%;34,73%;33,62%;20,13%;32,41%;34,00%;1,47%;-0,48%
