;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,86%;3,25%;3,24%;3,43%;3,82%;4,17%;3,21%;3,28%;3,09%
Div;0.7;2.8;2.8;2.8;2.8;2.6;2.6;2.4;2.25
P/L;11.73;11.41;12.31;12.56;10.88;14.18;13.17;12.37;15.43
PEG Ratio;-1,38;-;-;-;-;-;-;-;-
P/VP;3,39;4,03;4,74;5,08;4,69;4,35;6,18;6,44;6,42
EV/EBITDA;19,51;7,11;7,57;7,48;6,46;-;7,70;7,23;7,46
EV/EBIT;26,05;7,84;8,30;8,26;7,06;8,35;8,47;8,06;8,40
P/EBITDA;16,47;6,46;7,07;6,95;6,31;-;7,35;6,72;6,99
P/EBIT;21,99;7,11;7,75;7,68;6,89;8,22;8,08;7,49;7,87
VPA;23,91;21,35;18,26;16,04;15,64;14,35;13,11;11,37;11,34
P/Ativo;0,54;0,57;0,61;0,61;0,54;0,49;0,66;0,67;0,67
LPA;6.92;7.54;7.03;6.49;6.73;4.4;6.15;5.92;4.72
P/SR;0,97;1,08;1,17;1,16;1,07;1,02;1,18;1,07;1,10
P/Cap. Giro;-12,51;-218,62;-19,88;-37,59;-48,38;206,28;-12,63;-10,64;-16,92
P/Ativo Circ. Liq.;-1,15;-1,26;-1,35;-1,33;-1,22;-1,11;-1,45;-1,51;-1,55
Dív. líquida/PL;0,63;0,41;0,34;0,38;0,12;0,07;0,29;0,48;0,43
Dív. líquida/EBITDA;3,04;0,66;0,50;0,53;0,16;-;0,35;0,51;0,47
Dív. líquida/EBIT;4,06;0,72;0,55;0,58;0,17;0,13;0,38;0,56;0,53
PL/Ativos;0,16;0,14;0,13;0,12;0,12;0,11;0,11;0,10;0,10
Passivos/Ativos;0,83;0,84;0,86;0,87;0,87;0,88;0,89;0,89;0,89
Liq. corrente;0,92;1,00;0,95;0,97;0,98;1,00;0,91;0,90;0,93
M. Bruta;5,34%;18,64%;18,44%;18,76%;19,52%;16,57%;18,45%;18,66%;18,37%
M. EBITDA;5,92%;16,68%;16,49%;16,65%;17,00%;-%;16,04%;15,97%;15,73%
M. EBIT;4,43%;15,14%;15,05%;15,07%;15,57%;12,38%;14,60%;14,33%;13,97%
M. Líquida;8,31%;9,44%;9,47%;9,21%;9,85%;7,18%;8,95%;8,67%;7,13%
ROE;28,93%;35,31%;38,48%;40,48%;43,05%;30,65%;46,92%;52,07%;41,62%
ROA;4,63%;5,00%;4,96%;4,88%;4,95%;3,42%;5,00%;5,39%;4,37%
ROIC;1,54%;17,71%;18,20%;18,17%;19,37%;14,05%;20,98%;22,83%;19,06%
Giro ativos;0,56;0,53;0,52;0,53;0,50;0,48;0,56;0,62;0,61
CAGR Receitas 5 anos;0,96%;-0,79%;-1,32%;-1,51%;-2,74%;-0,48%;0,95%;1,44%;2,13%
CAGR Lucros 5 anos;2,03%;0,96%;3,88%;4,15%;-2,65%;4,33%;6,55%;2,21%;4,05%
