;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;31.0;28.56;23.92;24.22;21.87;18.71;23.84;20.82;18.04
PEG Ratio;-0,31;-;-;-;-;-;-;-;-
P/VP;-86,08;-49,72;-32,27;-49,61;-712,67;233,77;83,45;77,99;31,32
EV/EBITDA;66,38;19,69;16,96;17,14;15,59;-;16,78;14,90;11,90
EV/EBIT;111,70;22,51;19,15;19,24;17,36;-;19,17;17,05;13,52
P/EBITDA;61,80;18,24;15,50;15,86;14,52;-;15,04;13,27;10,40
P/EBIT;103,99;20,86;17,50;17,80;16,17;13,51;17,18;15,19;11,83
VPA;-1,06;-1,59;-1,96;-17,01;-0,99;-;5,25;4,42;7,68
P/Ativo;4,73;4,58;4,05;4,17;4,04;2,83;3,09;3,46;2,70
LPA;2.94;2.77;2.65;34.84;32.29;;18.39;16.53;13.33
P/SR;4,41;4,08;3,55;3,65;3,55;2,83;3,27;2,89;2,28
P/Cap. Giro;-36,45;-27,89;-26,69;-26,11;-34,54;-42,99;-52,15;-78,60;-81,91
P/Ativo Circ. Liq.;-7,95;-7,53;-6,75;-6,94;-6,56;-4,62;-4,82;-6,22;-4,90
Dív. líquida/PL;-;-;-;-;-;-;9,69;9,57;4,49
Dív. líquida/EBITDA;4,58;1,44;1,46;1,28;1,06;-;1,75;1,63;1,49
Dív. líquida/EBIT;7,71;1,65;1,65;1,44;1,18;-;1,99;1,86;1,70
PL/Ativos;-0,05;-0,09;-0,13;-0,08;-0,01;-;0,04;0,04;0,09
Passivos/Ativos;1,05;1,09;1,13;1,08;1,01;-;0,96;0,96;0,91
Liq. corrente;0,76;0,71;0,73;0,71;0,77;-;0,86;0,91;0,93
M. Bruta;51,47%;51,20%;51,26%;51,23%;52,67%;-%;53,15%;52,85%;52,58%
M. EBITDA;7,14%;22,36%;22,90%;23,03%;24,46%;-%;21,73%;21,80%;21,90%
M. EBIT;4,24%;19,56%;20,28%;20,52%;21,96%;-%;19,02%;19,05%;19,26%
M. Líquida;14,22%;14,28%;14,84%;15,08%;16,24%;-%;13,70%;13,89%;12,63%
ROE;-277,65%;-174,09%;-134,92%;-204,82%;-3.258,94%;-%;350,09%;374,50%;173,62%
ROA;15,26%;16,02%;16,91%;17,21%;18,47%;-%;12,98%;16,60%;14,97%
ROIC;1,40%;62,87%;66,52%;70,38%;61,41%;-%;35,71%;38,36%;33,74%
Giro ativos;1,07;1,12;1,14;1,14;1,14;-;0,95;1,19;1,19
CAGR Receitas 5 anos;10,48%;10,64%;9,93%;9,17%;7,81%;-%;7,48%;7,75%;8,22%
CAGR Lucros 5 anos;11,40%;12,12%;13,89%;15,84%;13,48%;-%;14,59%;14,12%;15,37%
