;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,33%;1,78%;1,21%;0,83%;0,14%;4,74%;7,62%;5,05%;4,15%
Div;0.96;0.88;0.72;0.52;0.04;0.82;3.12;3.1;3.05
P/L;25.99;19.51;13.92;4.53;17.79;-1.09;-70.52;11.22;43.0
PEG Ratio;-0,42;-;-;-;-;-;-;-;-
P/VP;1,12;1,36;1,74;1,88;1,33;0,87;1,08;2,17;2,74
EV/EBITDA;7,56;5,58;4,97;3,42;3,92;-8,11;9,94;5,38;11,37
EV/EBIT;384,90;13,41;9,60;4,99;10,13;-3,51;57,42;8,94;38,57
P/EBITDA;5,03;3,68;3,69;2,57;1,97;-2,61;5,09;4,65;9,93
P/EBIT;256,40;8,84;7,12;3,74;5,09;-1,13;29,40;7,73;33,69
VPA;36,81;36,40;34,40;33,43;21,76;19,95;38,32;28,25;26,88
P/Ativo;0,49;0,54;0,71;0,78;0,36;0,20;0,34;1,06;1,34
LPA;1.58;2.53;4.29;13.9;1.63;-15.93;-0.58;5.47;1.71
P/SR;1,52;1,74;1,86;1,55;1,04;0,91;1,81;2,60;4,51
P/Cap. Giro;-66,52;-102,81;-67,93;50,21;14,35;27,05;9,86;18,39;64,79
P/Ativo Circ. Liq.;-0,54;-0,61;-0,80;-0,89;-0,42;-0,23;-0,41;-1,37;-1,67
Dív. líquida/PL;0,56;0,70;0,61;0,63;1,32;1,83;1,02;0,34;0,40
Dív. líquida/EBITDA;2,52;1,90;1,29;0,85;1,95;-5,50;4,85;0,73;1,44
Dív. líquida/EBIT;128,50;4,57;2,48;1,24;5,04;-2,38;28,02;1,21;4,88
PL/Ativos;0,43;0,40;0,41;0,41;0,27;0,23;0,31;0,49;0,49
Passivos/Ativos;0,57;0,60;0,59;0,59;0,73;0,77;0,69;0,51;0,51
Liq. corrente;0,94;0,95;0,92;1,15;1,23;1,07;1,25;1,34;1,12
M. Bruta;16,15%;63,32%;60,07%;67,07%;62,79%;52,45%;59,12%;63,15%;55,28%
M. EBITDA;30,26%;47,21%;50,39%;60,25%;53,04%;-34,72%;35,47%;55,96%;45,37%
M. EBIT;0,59%;19,63%;26,10%;41,35%;20,49%;-80,19%;6,14%;33,65%;13,38%
M. Líquida;5,86%;8,89%;13,35%;34,13%;5,86%;-83,28%;-2,56%;23,18%;10,48%
ROE;4,30%;6,96%;12,47%;41,56%;7,49%;-79,85%;-1,52%;19,37%;6,37%
ROA;1,87%;2,78%;5,10%;17,22%;2,03%;-18,52%;-0,48%;9,42%;3,12%
ROIC;-1,32%;6,75%;11,28%;28,71%;8,82%;-30,05%;0,77%;14,28%;5,45%
Giro ativos;0,32;0,31;0,38;0,50;0,35;0,22;0,19;0,41;0,30
CAGR Receitas 5 anos;5,56%;9,65%;23,98%;20,80%;7,37%;1,10%;-2,44%;-9,05%;-15,87%
CAGR Lucros 5 anos;-%;2,60%;58,96%;-%;-%;-%;-6,85%;-22,20%;-%
