;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;113.99;46.32;211.45;-316.04;-110.11;-42.96;-276.59;-146.24;-65.61
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;16,52;23,10;53,18;401,82;86,58;10,41;14,28;15,40;17,53
EV/EBITDA;53,03;70,56;74,44;173,86;120,86;24,99;48,41;82,02;321,34
EV/EBIT;79,04;118,19;155,99;-469,54;-183,16;-75,52;2.288,12;-216,48;-80,13
P/EBITDA;54,25;71,53;74,76;173,77;120,15;26,52;51,53;89,44;343,26
P/EBIT;80,85;119,81;156,66;-469,31;-182,08;-80,16;2.435,77;-236,07;-85,59
VPA;11,23;7,88;2,77;0,35;2,14;11,38;16,19;12,23;8,27
P/Ativo;5,48;5,97;6,41;6,89;5,36;1,27;3,44;3,00;3,87
LPA;1.63;3.93;0.7;-0.44;-1.69;-2.76;-0.84;-1.29;-2.21
P/SR;14,02;14,87;13,49;15,34;12,91;3,37;7,81;7,86;7,59
P/Cap. Giro;-277,86;-143,34;-55,03;-44,61;-117,03;4,71;14,06;8,77;17,19
P/Ativo Circ. Liq.;-8,05;-9,09;-11,00;-14,45;-9,82;-2,91;-7,74;-9,87;-9,11
Dív. líquida/PL;-0,37;-0,31;-0,23;0,20;0,51;-0,60;-0,87;-1,28;-1,12
Dív. líquida/EBITDA;-1,22;-0,97;-0,32;0,09;0,71;-1,53;-3,12;-7,42;-21,91
Dív. líquida/EBIT;-1,82;-1,62;-0,67;-0,24;-1,08;4,64;-147,65;19,59;5,46
PL/Ativos;0,33;0,26;0,12;0,02;0,06;0,12;0,24;0,20;0,22
Passivos/Ativos;0,67;0,74;0,88;0,98;0,93;0,88;0,76;0,80;0,78
Liq. corrente;0,94;0,89;0,78;0,77;0,91;1,91;1,78;1,97;1,65
M. Bruta;73,41%;74,35%;72,29%;68,76%;70,05%;70,68%;72,12%;71,63%;72,86%
M. EBITDA;25,84%;20,79%;18,04%;8,83%;10,74%;12,69%;15,16%;8,79%;2,21%
M. EBIT;17,34%;12,41%;8,61%;-3,27%;-7,09%;-4,20%;0,32%;-3,33%;-8,87%
M. Líquida;12,30%;32,11%;6,38%;-4,85%;-11,72%;-7,83%;-2,82%;-5,37%;-11,57%
ROE;14,49%;49,86%;25,15%;-127,14%;-78,63%;-24,23%;-5,16%;-10,53%;-26,72%
ROA;4,81%;12,89%;3,03%;-2,18%;-4,87%;-2,95%;-1,24%;-2,05%;-5,90%
ROIC;14,53%;-9,66%;12,48%;-6,16%;-8,69%;-4,26%;0,07%;-3,01%;-13,90%
Giro ativos;0,39;0,40;0,48;0,45;0,42;0,38;0,44;0,38;0,51
CAGR Receitas 5 anos;22,59%;24,83%;25,67%;25,29%;29,72%;37,12%;41,83%;47,06%;63,33%
CAGR Lucros 5 anos;-%;-%;-%;-%;-%;-%;-%;-%;-%
