;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,23%;0,73%;0,54%;-%;-%;-%;-%;-%;-%
Div;0.37;1.5;1.12;;;;;;
P/L;19.39;22.79;34.29;63.81;122.91;181.69;84.54;51.62;37.9
PEG Ratio;-5,35;-;-;-;-;-;-;-;-
P/VP;5,14;7,26;8,97;15,18;26,95;39,75;28,99;21,13;16,64
EV/EBITDA;27,11;13,85;19,40;36,34;73,92;109,15;56,56;34,67;31,68
EV/EBIT;55,34;16,97;24,08;44,92;93,22;139,58;66,85;40,31;36,38
P/EBITDA;28,23;14,32;19,84;37,05;74,62;109,60;56,89;34,67;31,69
P/EBIT;57,64;17,54;24,64;45,79;94,10;140,16;67,24;40,32;36,38
VPA;31,13;28,23;23,05;20,44;15,41;11,38;9,13;5,79;4,83
P/Ativo;2,07;1,95;2,78;4,60;7,49;9,99;6,14;4,65;3,02
LPA;8.25;8.99;6.03;4.86;3.38;2.49;3.13;2.37;2.12
P/SR;4,39;6,08;6,90;13,06;22,82;30,98;20,69;12,49;10,81
P/Cap. Giro;18,96;28,75;41,91;46,38;92,06;177,82;129,83;196,85;129,60
P/Ativo Circ. Liq.;-5,16;-7,36;-8,44;-15,77;-25,01;-35,06;-24,79;-15,47;-12,52
Dív. líquida/PL;-0,21;-0,23;-0,20;-0,29;-0,25;-0,16;-0,17;0,00;0,00
Dív. líquida/EBITDA;-1,13;-0,46;-0,45;-0,71;-0,70;-0,45;-0,33;0,00;0,00
Dív. líquida/EBIT;-2,30;-0,57;-0,56;-0,88;-0,88;-0,58;-0,39;0,00;0,00
PL/Ativos;0,40;0,27;0,31;0,30;0,28;0,25;0,21;0,22;0,18
Passivos/Ativos;0,60;0,73;0,69;0,70;0,72;0,75;0,79;0,78;0,82
Liq. corrente;1,22;1,10;1,11;1,16;1,13;1,09;1,07;1,03;1,03
M. Bruta;82,95%;82,23%;83,69%;84,53%;84,66%;85,32%;85,12%;83,97%;83,37%
M. EBITDA;15,55%;42,44%;34,77%;35,24%;30,58%;28,26%;36,38%;36,03%;34,11%
M. EBIT;7,62%;34,64%;28,00%;28,51%;24,25%;22,10%;30,78%;30,98%;29,71%
M. Líquida;22,65%;26,66%;20,12%;20,46%;18,57%;17,05%;24,48%;24,20%;28,52%
ROE;26,51%;31,85%;26,16%;23,79%;21,93%;21,88%;34,29%;40,95%;43,91%
ROA;10,68%;8,57%;8,12%;7,21%;6,09%;5,50%;7,26%;9,01%;7,97%
ROIC;-0,35%;31,41%;25,70%;22,90%;20,73%;20,49%;31,76%;36,29%;38,08%
Giro ativos;0,47;0,32;0,40;0,35;0,33;0,32;0,30;0,37;0,28
CAGR Receitas 5 anos;20,62%;24,50%;26,00%;26,25%;30,23%;37,35%;39,40%;41,33%;41,90%
CAGR Lucros 5 anos;22,69%;19,98%;17,91%;22,71%;46,94%;99,86%;196,22%;-%;118,01%
