;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,73%;2,73%;2,90%;2,62%;1,90%;2,66%;2,85%;3,35%;2,82%
Div;4.22;3.82;3.46;3.02;2.59;2.47;2.43;2.18;1.92
P/L;24.48;29.87;27.52;29.91;44.87;30.6;29.47;23.53;29.59
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;9,83;13,28;12,27;13,50;16,70;12,08;11,64;9,93;12,51
EV/EBITDA;15,93;18,73;16,82;18,33;26,42;17,84;17,13;13,76;14,87
EV/EBIT;19,21;22,06;20,16;22,57;34,14;23,26;22,25;17,79;19,24
P/EBITDA;14,75;19,01;17,15;18,54;26,57;17,93;17,11;14,01;15,07
P/EBIT;17,78;22,39;20,56;22,83;34,34;23,38;22,23;18,11;19,50
VPA;11,50;10,56;9,71;8,56;8,17;7,71;7,31;6,56;5,44
P/Ativo;2,45;4,86;4,06;4,32;5,34;3,93;3,51;2,96;3,58
LPA;4.62;4.69;4.33;3.86;3.04;3.04;2.89;2.77;2.3
P/SR;7,28;9,57;8,56;9,03;12,14;8,32;8,08;6,93;7,76
P/Cap. Giro;20,70;25,99;24,88;31,74;39,99;32,38;36,61;39,19;44,71
P/Ativo Circ. Liq.;-5,31;-16,12;-14,20;-13,64;-16,10;-10,89;-10,17;-11,57;-15,66
Dív. líquida/PL;0,79;-0,19;-0,24;-0,15;-0,09;-0,06;0,01;-0,18;-0,17
Dív. líquida/EBITDA;1,18;-0,28;-0,33;-0,21;-0,15;-0,10;0,02;-0,25;-0,20
Dív. líquida/EBIT;1,43;-0,33;-0,40;-0,26;-0,19;-0,13;0,02;-0,33;-0,26
PL/Ativos;0,25;0,37;0,33;0,32;0,32;0,33;0,30;0,30;0,29
Passivos/Ativos;0,75;0,63;0,67;0,68;0,68;0,67;0,70;0,70;0,71
Liq. corrente;1,28;1,37;1,30;1,25;1,25;1,23;1,17;1,11;1,12
M. Bruta;72,35%;71,97%;70,98%;70,59%;68,66%;68,30%;68,78%;69,86%;70,84%
M. EBITDA;49,37%;50,33%;49,91%;48,73%;45,69%;46,37%;47,24%;49,43%;51,47%
M. EBIT;40,94%;42,73%;41,64%;39,56%;35,35%;35,57%;36,35%;38,24%;39,77%
M. Líquida;29,74%;32,03%;31,10%;30,20%;27,05%;27,18%;27,42%;29,43%;26,21%
ROE;40,15%;44,47%;44,58%;45,14%;37,23%;39,48%;39,49%;42,18%;42,26%
ROA;10,01%;16,28%;14,77%;14,46%;11,89%;12,84%;11,92%;12,56%;12,09%
ROIC;19,38%;37,41%;37,06%;35,79%;29,25%;30,64%;30,38%;41,82%;41,99%
Giro ativos;0,34;0,51;0,47;0,48;0,44;0,47;0,43;0,43;0,46
CAGR Receitas 5 anos;6,95%;8,19%;7,90%;6,57%;8,08%;8,41%;7,74%;7,17%;7,21%
CAGR Lucros 5 anos;10,32%;9,39%;11,01%;7,72%;10,23%;10,51%;11,81%;8,56%;7,99%
