;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,47%;4,01%;4,34%;6,35%;4,83%;2,39%;4,53%;5,41%;3,08%
Div;2.72;4.17;4.24;4.19;2.85;2.06;3.58;3.09;2.19
P/L;21.5;13.11;11.11;11.44;16.55;23.02;11.46;9.1;14.92
PEG Ratio;-0,33;-;-;-;-;-;-;-;-
P/VP;2,99;3,12;3,22;2,62;2,68;2,88;2,82;2,32;3,10
EV/EBITDA;28,61;8,62;7,89;8,16;10,52;12,34;7,54;6,28;8,79
EV/EBIT;48,13;9,92;9,06;9,74;14,27;19,34;9,98;8,50;12,98
P/EBITDA;25,68;7,76;7,15;7,09;8,93;10,31;6,21;4,93;7,29
P/EBIT;43,20;8,93;8,22;8,47;12,12;16,16;8,22;6,66;10,76
VPA;36,88;33,38;30,34;25,22;21,95;29,99;28,06;24,59;22,90
P/Ativo;1,31;1,26;1,25;1,04;1,05;1,06;0,96;0,78;1,07
LPA;5.12;7.94;8.79;5.77;3.56;3.75;6.9;6.28;4.76
P/SR;1,98;1,69;1,50;1,22;1,33;1,64;1,09;0,87;1,31
P/Cap. Giro;6,64;7,01;6,50;5,16;5,97;7,48;7,94;6,13;8,95
P/Ativo Circ. Liq.;-1,96;-1,91;-1,94;-1,55;-1,51;-1,47;-1,36;-1,10;-1,45
Dív. líquida/PL;0,34;0,35;0,33;0,39;0,48;0,57;0,61;0,64;0,64
Dív. líquida/EBITDA;2,93;0,86;0,73;1,06;1,59;2,03;1,34;1,36;1,50
Dív. líquida/EBIT;4,93;0,99;0,84;1,27;2,15;3,18;1,77;1,83;2,22
PL/Ativos;0,44;0,40;0,39;0,40;0,39;0,37;0,34;0,34;0,34
Passivos/Ativos;0,45;0,45;0,45;0,44;0,46;0,50;0,52;0,52;0,53
Liq. corrente;2,45;2,09;2,19;2,51;2,31;2,02;1,73;1,80;1,82
M. Bruta;4,70%;19,46%;21,17%;17,38%;16,91%;17,17%;17,83%;17,71%;17,85%
M. EBITDA;7,72%;21,71%;20,94%;17,22%;14,93%;15,93%;17,62%;17,62%;18,03%
M. EBIT;4,59%;18,88%;18,23%;14,42%;11,00%;10,16%;13,31%;13,03%;12,21%
M. Líquida;9,22%;12,86%;13,48%;10,68%;8,05%;7,13%;9,55%;9,54%;8,81%
ROE;13,89%;23,77%;28,97%;22,87%;16,19%;12,50%;24,60%;25,55%;20,81%
ROA;6,09%;9,59%;11,27%;9,05%;6,32%;4,59%;8,42%;8,61%;7,15%
ROIC;1,60%;14,59%;16,94%;13,10%;9,16%;7,02%;12,51%;12,85%;10,78%
Giro ativos;0,66;0,75;0,84;0,85;0,78;0,64;0,88;0,90;0,81
CAGR Receitas 5 anos;5,29%;8,21%;8,18%;6,73%;-0,98%;5,66%;6,08%;2,22%;0,31%
CAGR Lucros 5 anos;11,75%;15,95%;12,45%;28,84%;-4,14%;11,94%;13,39%;8,55%;-12,93%
