;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,31%;0,27%;0,06%;-%;-%;-%;-%;-%;3,46%
Div;0.05;0.05;0.01;;;;;;1.55
P/L;13.64;17.89;17.16;17.96;-279.41;-18.96;-0.75;-1.8;14.01
PEG Ratio;-2,98;-;-;-;-;-;-;-;-
P/VP;1,11;1,47;1,54;1,42;1,17;1,18;1,12;0,97;1,20
EV/EBITDA;16,95;10,56;12,99;13,35;12,03;17,16;-0,61;-5,30;7,06
EV/EBIT;79,12;18,81;26,68;34,87;29,45;204,29;-0,41;-3,55;13,65
P/EBITDA;6,39;4,63;5,28;5,17;4,27;6,53;-0,84;-2,00;3,90
P/EBIT;29,82;8,25;10,84;13,51;10,47;77,76;-0,57;-1,34;7,54
VPA;14,55;13,74;11,74;11,48;10,35;10,58;9,70;24,39;37,36
P/Ativo;0,26;0,33;0,31;0,27;0,24;0,25;0,07;0,16;0,34
LPA;1.18;1.13;1.05;0.91;-0.04;-0.66;-14.44;-13.18;3.2
P/SR;1,43;1,81;1,57;1,49;1,19;1,34;0,34;0,74;1,35
P/Cap. Giro;-39,28;49,96;-13,12;-10,87;-3,87;-6,21;2,27;-0,38;-27,20
P/Ativo Circ. Liq.;-0,29;-0,38;-0,35;-0,31;-0,27;-0,28;-0,08;-0,18;-0,37
Dív. líquida/PL;1,83;1,88;2,24;2,24;2,13;1,92;-0,31;1,61;0,97
Dív. líquida/EBITDA;10,56;5,93;7,71;8,18;7,75;10,63;0,23;-3,30;3,16
Dív. líquida/EBIT;49,29;10,55;15,84;21,36;18,98;126,53;0,16;-2,21;6,11
PL/Ativos;0,23;0,23;0,20;0,19;0,20;0,21;0,06;0,16;0,28
Passivos/Ativos;0,77;0,77;0,80;0,81;0,79;0,79;0,94;0,84;0,71
Liq. corrente;0,94;1,05;0,83;0,81;0,64;0,71;1,33;0,22;0,88
M. Bruta;8,83%;37,50%;34,01%;32,36%;29,36%;31,88%;26,71%;30,47%;33,61%
M. EBITDA;22,39%;39,12%;29,83%;28,82%;27,87%;20,50%;-40,13%;-36,78%;34,51%
M. EBIT;4,80%;21,96%;14,53%;11,04%;11,38%;1,72%;-59,01%;-54,90%;17,85%
M. Líquida;10,49%;10,14%;9,18%;8,30%;-0,43%;-7,06%;-44,61%;-40,80%;9,61%
ROE;8,12%;8,21%;8,95%;7,89%;-0,42%;-6,21%;-148,79%;-54,04%;8,56%
ROA;1,88%;1,85%;1,78%;1,52%;-0,09%;-1,33%;-8,97%;-8,88%;2,42%
ROIC;0,89%;5,87%;2,42%;1,41%;2,30%;-0,07%;-263,01%;-36,06%;6,64%
Giro ativos;0,18;0,18;0,19;0,18;0,20;0,19;0,20;0,22;0,25
CAGR Receitas 5 anos;7,35%;7,83%;4,82%;3,16%;1,87%;0,05%;1,45%;2,64%;3,39%
CAGR Lucros 5 anos;-%;-%;1,79%;-%;-%;-%;-%;15,26%;10,76%
