;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,78%;2,84%;3,73%;3,53%;3,06%;3,36%;3,18%;3,46%;3,34%
Div;0.63;2.4;2.28;2.16;2.05;1.96;1.88;1.8;1.72
P/L;19.34;23.76;11.88;29.54;-51.9;15.48;17.64;18.3;16.56
PEG Ratio;7,86;-;-;-;-;-;-;-;-
P/VP;2,37;2,61;1,97;2,22;2,33;1,85;1,98;1,83;1,88
EV/EBITDA;31,10;15,38;9,69;17,01;59,06;10,57;11,65;11,32;10,24
EV/EBIT;146,58;23,89;13,25;30,91;-100,91;15,93;18,25;17,86;23,73
P/EBITDA;19,77;10,01;5,82;10,28;38,00;6,75;7,57;7,16;6,78
P/EBIT;93,20;15,55;7,95;18,68;-64,93;10,17;11,86;11,29;15,71
VPA;34,08;32,34;31,08;27,62;28,65;31,60;29,84;28,44;27,36
P/Ativo;0,71;0,77;0,60;0,63;0,69;0,59;0,63;0,58;0,61
LPA;4.17;3.56;5.15;2.07;-1.29;3.77;3.35;2.84;3.11
P/SR;3,44;4,09;2,71;3,11;3,46;3,07;2,96;2,71;2,87
P/Cap. Giro;-122,01;-18,54;-18,08;-12,81;-40,91;-15,59;-16,44;-18,42;-30,45
P/Ativo Circ. Liq.;-0,77;-0,84;-0,64;-0,69;-0,79;-0,64;-0,67;-0,63;-0,66
Dív. líquida/PL;1,36;1,40;1,31;1,45;1,29;1,05;1,07;1,07;0,96
Dív. líquida/EBITDA;11,33;5,37;3,87;6,73;21,06;3,83;4,08;4,17;3,46
Dív. líquida/EBIT;53,38;8,34;5,29;12,23;-35,98;5,76;6,40;6,57;8,02
PL/Ativos;0,30;0,29;0,31;0,28;0,29;0,32;0,32;0,32;0,32
Passivos/Ativos;0,70;0,71;0,69;0,72;0,71;0,68;0,68;0,68;0,68
Liq. corrente;0,93;0,65;0,67;0,64;0,88;0,66;0,64;0,71;0,79
M. Bruta;6,48%;34,41%;42,96%;26,57%;30,83%;35,74%;35,66%;35,09%;37,55%
M. EBITDA;17,37%;40,86%;46,59%;30,21%;9,10%;45,51%;39,15%;37,91%;42,27%
M. EBIT;3,69%;26,31%;34,07%;16,63%;-5,33%;30,21%;25,00%;24,04%;18,24%
M. Líquida;17,77%;17,22%;22,81%;10,52%;-6,67%;19,84%;16,80%;14,83%;17,31%
ROE;12,24%;11,00%;16,56%;7,51%;-4,49%;11,92%;11,22%;10,00%;11,37%
ROA;3,66%;3,24%;5,05%;2,12%;-1,32%;3,81%;3,55%;3,17%;3,68%
ROIC;0,62%;6,84%;9,25%;4,69%;-2,83%;7,53%;7,22%;6,41%;4,92%
Giro ativos;0,21;0,19;0,22;0,20;0,20;0,19;0,21;0,21;0,21
CAGR Receitas 5 anos;0,42%;2,99%;1,51%;1,63%;-1,61%;-1,53%;-0,55%;-1,45%;-4,14%
CAGR Lucros 5 anos;0,92%;12,25%;-8,11%;-%;2,56%;2,21%;2,96%;4,30%;-10,01%
