;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;6,89%;6,33%;7,12%;3,12%;2,64%;9,47%;3,76%;3,19%;3,62%
Div;1.72;1.68;2.08;1.6;1.56;3.49;1.44;1.36;1.28
P/L;14.45;18.72;76.71;9.17;15.1;21.28;13.02;22.11;9.9
PEG Ratio;0,11;-;-;-;-;-;-;-;-
P/VP;1,53;1,70;1,83;3,01;4,30;3,24;3,36;3,89;2,96
EV/EBITDA;28,74;13,32;31,34;7,81;11,88;19,86;11,24;15,56;13,63
EV/EBIT;-19.215,80;24,97;217,66;8,95;14,42;32,52;15,07;23,92;20,58
P/EBITDA;21,24;10,00;22,12;7,23;11,25;16,67;8,95;13,50;11,36
P/EBIT;-14.202,90;18,74;153,64;8,29;13,65;27,29;11,99;20,75;17,15
VPA;16,32;15,56;15,77;17,03;13,74;11,38;11,41;10,97;11,96
P/Ativo;0,68;0,70;0,72;1,46;1,83;1,33;1,27;1,55;1,23
LPA;1.73;1.42;0.38;5.59;3.91;1.73;2.94;1.93;3.57
P/SR;2,26;2,36;2,73;2,87;4,08;4,88;4,10;4,60;4,02
P/Cap. Giro;13,75;20,42;-36,44;31,55;19,50;22,37;-47,09;13,65;19,70
P/Ativo Circ. Liq.;-0,88;-0,92;-0,89;-1,97;-2,73;-1,72;-1,57;-2,25;-1,62
Dív. líquida/PL;0,54;0,57;0,76;0,24;0,24;0,62;0,86;0,59;0,59
Dív. líquida/EBITDA;7,50;3,32;9,22;0,58;0,63;3,19;2,30;2,06;2,27
Dív. líquida/EBIT;-5.012,90;6,23;64,02;0,66;0,77;5,23;3,08;3,17;3,43
PL/Ativos;0,44;0,41;0,39;0,49;0,43;0,41;0,38;0,40;0,42
Passivos/Ativos;0,56;0,59;0,61;0,51;0,57;0,59;0,62;0,60;0,58
Liq. corrente;1,28;1,17;0,91;1,22;1,40;1,35;0,88;1,57;1,35
M. Bruta;18,88%;71,94%;58,10%;65,77%;62,08%;79,26%;80,25%;79,03%;78,63%
M. EBITDA;10,65%;23,63%;12,34%;39,66%;36,29%;29,29%;45,78%;34,05%;35,35%
M. EBIT;-0,02%;12,61%;1,78%;34,61%;29,91%;17,89%;34,17%;22,15%;23,42%
M. Líquida;15,65%;12,62%;3,56%;31,27%;27,04%;22,95%;31,45%;20,79%;40,55%
ROE;10,59%;9,11%;2,38%;32,79%;28,47%;15,21%;25,77%;17,59%;29,88%
ROA;4,71%;3,76%;0,94%;15,91%;12,11%;6,23%;9,72%;7,00%;12,40%
ROIC;-0,44%;5,04%;-0,03%;22,22%;17,69%;6,12%;12,79%;9,32%;2,44%
Giro ativos;0,30;0,30;0,26;0,51;0,45;0,27;0,31;0,34;0,31
CAGR Receitas 5 anos;4,22%;2,11%;14,00%;9,00%;-3,02%;0,85%;0,79%;-0,78%;-2,85%
CAGR Lucros 5 anos;-13,10%;-28,01%;8,07%;25,01%;6,76%;12,24%;-12,71%;7,90%;-6,34%
