;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,17%;2,36%;2,55%;2,38%;2,08%;2,24%;2,37%;3,09%;2,98%
Div;3.13;3.96;3.74;3.61;3.4;3.11;2.96;2.84;2.74
P/L;21.06;26.42;23.53;24.25;27.41;26.48;79.93;23.49;15.28
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;6,47;7,82;7,37;7,67;8,45;7,42;6,60;4,38;4,24
EV/EBITDA;15,10;18,43;17,01;17,98;19,85;18,83;35,24;14,91;15,15
EV/EBIT;17,15;21,14;19,42;20,71;22,84;22,31;50,36;17,96;18,26
P/EBITDA;14,06;17,41;15,80;16,83;18,80;17,87;33,13;13,74;14,15
P/EBIT;15,96;19,97;18,04;19,40;21,64;21,17;47,35;16,56;17,06
VPA;22,26;21,45;19,88;19,75;19,35;18,76;18,92;20,99;21,66
P/Ativo;2,69;3,21;2,85;3,05;3,29;2,86;2,71;1,94;1,94
LPA;6.84;6.35;6.23;6.25;5.97;5.25;1.56;3.91;6.01
P/SR;3,99;4,68;4,20;4,46;5,15;4,86;4,60;3,43;3,60
P/Cap. Giro;-31,54;-44,08;-26,31;-31,29;-39,05;-69,15;-41,32;-46,58;-63,00
P/Ativo Circ. Liq.;-3,37;-4,03;-3,51;-3,74;-4,08;-3,72;-3,36;-2,41;-2,49
Dív. líquida/PL;0,48;0,46;0,56;0,52;0,47;0,40;0,42;0,37;0,30
Dív. líquida/EBITDA;1,04;1,02;1,21;1,14;1,04;0,96;2,11;1,17;0,99
Dív. líquida/EBIT;1,18;1,17;1,38;1,32;1,20;1,14;3,01;1,41;1,20
PL/Ativos;0,42;0,41;0,39;0,40;0,39;0,39;0,41;0,44;0,46
Passivos/Ativos;0,58;0,59;0,61;0,60;0,61;0,61;0,59;0,56;0,54
Liq. corrente;0,70;0,73;0,63;0,65;0,70;0,85;0,75;0,83;0,88
M. Bruta;51,16%;51,39%;47,86%;47,43%;51,25%;50,32%;48,63%;48,48%;49,83%
M. EBITDA;28,38%;26,87%;26,61%;26,49%;27,39%;27,22%;13,89%;24,94%;25,43%
M. EBIT;25,00%;23,42%;23,30%;22,99%;23,80%;22,97%;9,72%;20,70%;21,09%
M. Líquida;18,95%;17,70%;17,87%;18,38%;18,79%;18,36%;5,76%;14,59%;23,56%
ROE;30,71%;29,59%;31,33%;31,64%;30,85%;28,00%;8,26%;18,64%;27,77%
ROA;12,76%;12,16%;12,13%;12,58%;11,99%;10,79%;3,39%;8,24%;12,73%
ROIC;19,62%;19,21%;19,04%;19,51%;18,95%;16,70%;5,79%;12,40%;12,28%
Giro ativos;0,67;0,69;0,68;0,68;0,64;0,59;0,59;0,56;0,54
CAGR Receitas 5 anos;4,42%;4,18%;4,27%;3,11%;0,06%;-1,87%;-3,56%;-4,52%;-4,24%
CAGR Lucros 5 anos;30,73%;8,49%;-0,77%;6,89%;13,96%;-19,31%;-2,50%;7,86%;-2,38%
