;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,18%;1,00%;1,57%;2,18%;1,25%;1,29%;1,65%;1,97%;1,32%
Div;1.59;6.36;7.23;6.35;3.98;3.52;3.39;2.94;2.63
P/L;31.6;28.8;28.4;28.37;23.41;29.09;17.48;18.61;27.04
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;8,16;6,78;5,73;4,22;4,87;5,74;4,43;3,37;5,05
EV/EBITDA;22,20;18,30;17,50;19,76;15,10;18,15;11,79;10,01;17,08
EV/EBIT;26,66;22,44;21,89;25,81;18,70;23,50;14,21;12,44;21,15
P/EBITDA;20,58;16,29;14,53;15,29;13,22;14,88;10,33;8,29;14,40
P/EBIT;24,71;19,97;18,18;19,97;16,37;19,27;12,45;10,30;17,83
VPA;108,43;93,75;80,42;68,98;65,37;47,47;46,41;44,28;39,49
P/Ativo;3,78;2,80;1,97;1,44;2,01;1,78;1,50;1,29;1,72
LPA;27.98;22.09;16.22;10.26;13.59;9.37;11.77;8.02;7.38
P/SR;5,62;4,11;3,10;2,35;2,85;2,56;1,85;1,38;2,21
P/Cap. Giro;98,66;-159,34;-65,65;6,03;16,22;20,20;5,85;10,46;19,21
P/Ativo Circ. Liq.;-4,95;-3,64;-2,56;-2,69;-2,78;-2,36;-2,67;-1,93;-2,48
Dív. líquida/PL;0,64;0,84;1,17;1,23;0,69;1,26;0,63;0,70;0,94
Dív. líquida/EBITDA;1,63;2,02;2,97;4,47;1,88;3,27;1,46;1,72;2,68
Dív. líquida/EBIT;1,95;2,47;3,71;5,84;2,33;4,23;1,76;2,14;3,32
PL/Ativos;0,46;0,41;0,34;0,34;0,41;0,31;0,34;0,38;0,34
Passivos/Ativos;0,54;0,59;0,66;0,66;0,59;0,69;0,66;0,62;0,66
Liq. corrente;1,19;0,93;0,88;2,06;1,81;1,55;2,43;1,59;1,41
M. Bruta;36,85%;35,77%;33,72%;28,21%;27,17%;24,89%;25,26%;24,92%;24,19%
M. EBITDA;27,32%;25,23%;21,36%;15,39%;21,55%;17,22%;17,87%;16,66%;15,35%
M. EBIT;22,75%;20,58%;17,07%;11,79%;17,40%;13,29%;14,83%;13,40%;12,40%
M. Líquida;17,79%;14,27%;10,93%;8,29%;12,17%;8,81%;10,56%;7,42%;8,18%
ROE;25,81%;23,56%;20,17%;14,87%;20,79%;19,73%;25,37%;18,10%;18,69%
ROA;11,97%;9,71%;6,95%;5,07%;8,58%;6,11%;8,60%;6,92%;6,35%
ROIC;17,16%;14,81%;11,61%;7,73%;13,33%;10,39%;13,03%;11,79%;10,30%
Giro ativos;0,67;0,68;0,64;0,61;0,71;0,69;0,81;0,93;0,78
CAGR Receitas 5 anos;6,83%;5,92%;5,69%;4,78%;1,50%;1,62%;1,90%;-1,76%;-1,65%
CAGR Lucros 5 anos;13,46%;14,45%;5,99%;16,70%;3,57%;7,75%;2,26%;-3,11%;-5,12%
