;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,19%;0,75%;0,66%;1,34%;1,00%;1,16%;1,16%;1,46%;1,08%
Div;0.22;0.82;0.68;0.61;0.57;0.5;0.45;0.38;0.36
P/L;8.73;7.17;8.43;3.93;7.32;8.22;10.34;7.14;21.86
PEG Ratio;-1,00;-;-;-;-;-;-;-;-
P/VP;1,79;1,82;2,11;1,15;1,90;1,76;1,93;1,52;2,35
EV/EBITDA;18,33;5,52;6,39;3,37;5,84;6,74;8,87;6,83;13,05
EV/EBIT;19,88;5,64;6,54;3,44;6,01;6,99;9,22;7,08;13,75
P/EBITDA;17,90;5,40;6,22;2,93;5,52;6,44;7,55;5,23;9,87
P/EBIT;19,41;5,52;6,36;2,99;5,68;6,69;7,85;5,42;10,41
VPA;65,80;59,74;48,85;39,47;30,04;24,51;20,14;17,15;14,13
P/Ativo;1,29;1,27;1,36;0,69;1,07;0,95;0,98;0,72;1,01
LPA;13.49;15.2;12.24;11.59;7.81;5.25;3.75;3.64;1.52
P/SR;1,30;1,23;1,37;0,64;1,02;1,05;1,03;0,72;1,14
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-1,29;-1,27;-1,36;-0,69;-1,07;-0,95;-0,98;-0,72;-1,01
Dív. líquida/PL;0,04;0,04;0,06;0,17;0,11;0,08;0,34;0,47;0,76
Dív. líquida/EBITDA;0,43;0,12;0,17;0,44;0,32;0,30;1,32;1,61;3,17
Dív. líquida/EBIT;0,46;0,12;0,18;0,45;0,33;0,31;1,37;1,66;3,34
PL/Ativos;0,72;0,70;0,65;0,60;0,56;0,54;0,51;0,47;0,43
Passivos/Ativos;0,28;0,30;0,35;0,40;0,44;0,46;0,49;0,53;0,57
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;7,69%;29,09%;29,38%;30,21%;27,16%;25,17%;23,47%;23,30%;21,72%
M. EBITDA;7,28%;22,82%;21,98%;21,94%;18,52%;16,26%;13,65%;13,71%;11,54%
M. EBIT;6,71%;22,32%;21,48%;21,49%;18,02%;15,66%;13,12%;13,23%;10,95%
M. Líquida;14,93%;17,18%;16,20%;16,36%;13,98%;12,75%;9,96%;10,03%;5,21%
ROE;20,51%;25,44%;25,06%;29,36%;25,99%;21,41%;18,63%;21,21%;10,77%
ROA;14,74%;17,76%;16,18%;17,69%;14,58%;11,53%;9,49%;10,05%;4,62%
ROIC;2,52%;21,61%;20,26%;22,67%;19,19%;14,45%;11,89%;12,47%;5,89%
Giro ativos;0,99;1,03;1,00;1,08;1,04;0,90;0,95;1,00;0,89
CAGR Receitas 5 anos;11,94%;9,53%;13,28%;12,65%;13,03%;11,89%;12,40%;12,22%;13,16%
CAGR Lucros 5 anos;24,84%;20,55%;42,39%;26,42%;23,44%;16,47%;-17,04%;16,75%;-%
