;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,15%;3,63%;2,61%;2,80%;1,50%;2,33%;2,38%;3,27%;2,73%
Div;4.05;3.83;3.48;3.16;2.53;2.32;2.12;1.92;1.76
P/L;37.24;26.28;40.36;30.98;42.46;50.01;35.94;23.17;20.91
PEG Ratio;9,29;-;-;-;-;-;-;-;-
P/VP;2,26;1,81;2,32;1,95;3,73;2,30;2,16;1,48;1,84
EV/EBITDA;35,17;16,69;22,76;21,87;27,38;24,76;23,08;18,92;15,73
EV/EBIT;92,30;25,60;36,95;31,92;39,49;43,62;36,29;28,93;22,15
P/EBITDA;27,34;12,82;18,49;17,83;24,07;20,29;19,36;14,76;12,47
P/EBIT;71,76;19,67;30,01;26,02;34,70;35,73;30,45;22,56;17,57
VPA;56,67;58,24;57,53;57,67;45,18;43,25;41,27;39,78;35,16
P/Ativo;1,21;1,03;1,32;1,18;2,13;1,31;1,41;0,99;1,16
LPA;3.45;4.02;3.3;3.64;3.97;1.99;2.48;2.53;3.09
P/SR;13,64;11,94;15,36;17,42;26,17;16,60;16,91;13,58;13,11
P/Cap. Giro;-;-;-;-;-;-;146,70;-91,40;-154,97
P/Ativo Circ. Liq.;-1,21;-1,03;-1,32;-1,18;-2,13;-1,31;-1,45;-1,00;-1,18
Dív. líquida/PL;0,65;0,55;0,54;0,44;0,51;0,51;0,41;0,42;0,48
Dív. líquida/EBITDA;7,83;3,87;4,27;4,04;3,32;4,48;3,72;4,16;3,26
Dív. líquida/EBIT;20,54;5,94;6,93;5,90;4,78;7,88;5,85;6,37;4,59
PL/Ativos;0,54;0,57;0,57;0,61;0,57;0,57;0,65;0,67;0,63
Passivos/Ativos;0,46;0,43;0,43;0,39;0,43;0,43;0,35;0,33;0,37
Liq. corrente;-;-;-;-;-;-;1,54;0,45;0,68
M. Bruta;20,17%;78,48%;79,75%;79,82%;78,12%;78,55%;72,41%;72,98%;72,32%
M. EBITDA;49,90%;93,13%;83,07%;97,70%;108,75%;81,81%;87,32%;92,03%;105,15%
M. EBIT;19,01%;60,71%;51,17%;66,96%;75,41%;46,45%;55,54%;60,19%;74,63%
M. Líquida;36,64%;45,43%;38,06%;56,23%;61,64%;33,19%;47,05%;58,60%;62,71%
ROE;6,08%;6,91%;5,74%;6,31%;8,78%;4,61%;6,01%;6,37%;8,78%
ROA;3,26%;3,91%;3,28%;3,82%;5,02%;2,63%;3,91%;4,28%;5,57%
ROIC;1,65%;5,67%;4,74%;5,01%;6,68%;3,96%;4,67%;4,40%;6,76%
Giro ativos;0,09;0,09;0,09;0,07;0,08;0,08;0,08;0,07;0,09
CAGR Receitas 5 anos;19,75%;23,40%;17,94%;13,44%;15,10%;13,60%;9,88%;5,96%;12,24%
CAGR Lucros 5 anos;18,95%;13,23%;15,43%;19,56%;11,42%;20,29%;39,11%;-%;-%
