;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,84%;4,40%;5,46%;4,98%;5,16%;5,73%;5,43%;6,73%;3,99%
Div;1.35;5.3;5.13;5.04;4.91;4.74;4.62;4.49;4.22
P/L;29.16;26.52;18.69;17.34;16.17;16.0;18.43;13.12;27.19
PEG Ratio;-2,38;-;-;-;-;-;-;-;-
P/VP;-22,98;-15,93;-13,01;-17,52;-14,57;-10,26;-11,44;-8,33;-13,58
EV/EBITDA;57,14;15,11;14,79;14,80;12,31;-;13,73;10,46;15,35
EV/EBIT;91,54;17,13;16,58;16,10;13,26;13,24;14,99;11,37;16,52
P/EBITDA;48,28;12,37;11,31;11,80;10,63;-;11,61;8,42;13,26
P/EBIT;77,34;14,03;12,69;12,84;11,45;11,14;12,68;9,15;14,27
VPA;-7,01;-7,56;-7,23;-5,78;-6,52;-8,07;-7,44;-8,01;-7,78
P/Ativo;3,74;3,03;2,24;2,54;3,57;2,88;3,09;2,61;3,82
LPA;5.53;4.54;5.03;5.84;5.88;5.17;4.62;5.09;3.89
P/SR;6,27;4,94;4,15;4,94;1,79;1,70;1,70;1,30;2,10
P/Cap. Giro;-61,87;-68,17;-22,04;-20,33;-95,75;68,69;78,76;46,10;29,14
P/Ativo Circ. Liq.;-5,65;-4,50;-3,21;-3,73;-6,25;-5,53;-5,92;-5,10;-7,68
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;8,86;2,74;3,47;3,00;1,68;-;2,12;2,04;2,09
Dív. líquida/EBIT;14,20;3,11;3,90;3,27;1,81;2,10;2,32;2,22;2,25
PL/Ativos;-0,16;-0,19;-0,17;-0,15;-0,24;-0,28;-0,27;-0,31;-0,28
Passivos/Ativos;1,16;1,19;1,17;1,15;1,24;1,28;1,27;1,31;1,28
Liq. corrente;0,85;0,88;0,75;0,72;0,92;1,10;1,09;1,13;1,35
M. Bruta;66,92%;64,81%;63,35%;64,10%;26,00%;25,15%;24,76%;23,64%;23,45%
M. EBITDA;12,99%;39,94%;36,70%;41,87%;16,85%;-%;14,64%;15,44%;15,85%
M. EBIT;8,11%;35,22%;32,73%;38,48%;15,64%;15,22%;13,40%;14,20%;14,73%
M. Líquida;21,51%;18,63%;22,21%;28,49%;11,08%;10,59%;9,22%;9,91%;7,73%
ROE;-78,82%;-60,06%;-69,60%;-101,02%;-90,13%;-64,10%;-62,06%;-63,50%;-49,93%
ROA;12,83%;11,42%;11,96%;14,67%;22,06%;17,98%;16,76%;19,88%;14,05%
ROIC;0,79%;30,42%;25,00%;29,20%;57,56%;48,47%;41,86%;46,07%;32,34%
Giro ativos;0,60;0,61;0,54;0,51;1,99;1,70;1,82;2,01;1,82
CAGR Receitas 5 anos;-13,43%;-15,12%;-16,47%;1,87%;0,57%;-0,55%;-0,05%;0,18%;-0,37%
CAGR Lucros 5 anos;-0,36%;-0,25%;8,44%;5,51%;3,30%;-0,75%;-1,50%;-7,16%;-3,99%
