;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;3,27%;3,94%;3,64%;2,39%;3,09%;2,63%;2,91%;1,80%
Div;;6.3;6.1;5.75;4.79;4.61;4.2;3.4;2.6
P/L;13.36;13.81;11.96;11.04;15.49;8.67;13.64;10.66;13.53
PEG Ratio;0,46;-;-;-;-;-;-;-;-
P/VP;1,40;1,40;1,21;1,38;1,51;1,17;1,42;1,13;1,44
EV/EBITDA;-24,79;-7,31;-7,79;-8,44;-14,36;-20,26;-3,02;-2,59;-2,64
EV/EBIT;-28,57;-7,47;-7,95;-9,07;-17,83;-27,58;-3,50;-2,95;-3,09
P/EBITDA;24,95;6,37;5,74;6,83;9,23;11,19;7,28;5,87;8,93
P/EBIT;28,76;6,51;5,86;7,34;11,46;15,22;8,44;6,69;10,44
VPA;150,42;137,46;128,40;114,15;132,61;127,47;112,55;103,44;99,86
P/Ativo;0,14;0,14;0,11;0,11;0,15;0,14;0,17;0,14;0,18
LPA;15.73;13.96;12.95;14.3;12.94;17.19;11.71;10.97;10.67
P/SR;3,22;2,22;1,93;2,69;4,28;3,46;3,23;2,70;3,81
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,14;-0,14;-0,11;-0,11;-0,15;-0,14;-0,17;-0,14;-0,18
Dív. líquida/PL;-2,79;-3,01;-2,84;-3,09;-3,86;-3,29;-2,01;-1,63;-1,87
Dív. líquida/EBITDA;-49,74;-13,68;-13,53;-15,26;-23,59;-31,45;-10,30;-8,46;-11,57
Dív. líquida/EBIT;-57,33;-13,98;-13,81;-16,41;-29,29;-42,80;-11,94;-9,64;-13,53
PL/Ativos;0,10;0,10;0,09;0,08;0,10;0,12;0,12;0,12;0,12
Passivos/Ativos;0,90;0,90;0,91;0,92;0,90;0,88;0,88;0,88;0,88
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
M. EBITDA;12,92%;34,80%;33,67%;39,41%;46,31%;30,91%;44,42%;45,96%;42,64%
M. EBIT;11,21%;34,05%;32,99%;36,65%;37,31%;22,71%;38,34%;40,31%;36,45%
M. Líquida;24,13%;16,05%;16,16%;24,36%;27,60%;39,89%;23,72%;25,31%;28,15%
ROE;10,46%;10,16%;10,08%;12,53%;9,76%;13,49%;10,40%;10,60%;10,68%
ROA;1,08%;0,99%;0,92%;1,03%;0,98%;1,56%;1,25%;1,32%;1,33%
ROIC;1,86%;13,66%;10,58%;9,34%;10,93%;6,47%;11,01%;10,08%;9,44%
Giro ativos;0,04;0,06;0,06;0,04;0,04;0,04;0,05;0,05;0,05
CAGR Receitas 5 anos;9,76%;9,78%;5,47%;3,70%;2,34%;5,84%;3,45%;1,66%;0,75%
CAGR Lucros 5 anos;1,87%;1,02%;2,51%;7,96%;14,36%;6,41%;6,15%;13,73%;5,42%
