;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;0,91%;1,21%;1,87%;1,10%;1,43%;1,57%;61,28%;2,91%
Div;;0.91;0.88;0.84;0.8;0.76;0.72;23.14;1.38
P/L;26.27;26.52;19.31;15.39;21.8;24.63;21.68;18.88;12.93
PEG Ratio;-13,58;-;-;-;-;-;-;-;-
P/VP;4,54;4,66;3,74;2,73;4,98;4,19;3,95;3,57;1,71
EV/EBITDA;59,05;19,65;16,24;13,20;17,94;18,05;16,73;14,63;28,72
EV/EBIT;93,37;22,44;18,77;15,69;20,11;21,03;19,78;17,63;38,35
P/EBITDA;54,45;17,99;14,11;10,17;16,82;16,63;14,90;13,20;24,82
P/EBIT;86,10;20,54;16,31;12,09;18,86;19,37;17,62;15,90;33,14
VPA;23,11;21,62;19,46;16,46;14,67;12,66;11,62;10,58;27,74
P/Ativo;2,54;2,57;1,83;1,15;2,54;2,10;1,86;1,72;1,00
LPA;4.0;3.79;3.77;2.92;3.35;2.16;2.12;2.0;3.67
P/SR;4,16;4,06;2,93;1,80;3,20;2,93;2,61;2,21;3,03
P/Cap. Giro;37,61;30,66;19,41;14,94;47,79;43,59;24,64;29,72;15,69
P/Ativo Circ. Liq.;-3,23;-3,31;-2,41;-1,51;-3,50;-2,74;-2,51;-2,37;-1,25
Dív. líquida/PL;0,38;0,43;0,57;0,82;0,33;0,36;0,48;0,39;0,27
Dív. líquida/EBITDA;4,60;1,66;2,13;3,03;1,12;1,43;1,83;1,44;3,90
Dív. líquida/EBIT;7,27;1,89;2,47;3,61;1,25;1,66;2,16;1,73;5,21
PL/Ativos;0,56;0,55;0,49;0,42;0,51;0,50;0,47;0,48;0,58
Passivos/Ativos;0,44;0,45;0,51;0,58;0,49;0,50;0,53;0,52;0,42
Liq. corrente;1,46;1,60;1,65;1,47;1,24;1,26;1,42;1,27;1,46
M. Bruta;40,11%;39,16%;37,01%;33,11%;35,04%;35,05%;35,56%;35,33%;34,70%
M. EBITDA;7,64%;22,58%;20,76%;17,66%;19,04%;17,60%;17,50%;16,76%;12,20%
M. EBIT;4,83%;19,78%;17,96%;14,86%;16,98%;15,11%;14,80%;13,91%;9,14%
M. Líquida;15,84%;15,32%;15,17%;11,67%;14,69%;11,88%;12,03%;11,72%;23,42%
ROE;17,29%;17,55%;19,36%;17,76%;22,83%;17,03%;18,20%;18,92%;13,23%
ROA;9,68%;9,70%;9,49%;7,46%;11,63%;8,54%;8,59%;9,13%;7,72%
ROIC;1,81%;13,71%;14,09%;10,84%;17,14%;12,93%;13,13%;13,50%;3,11%
Giro ativos;0,61;0,63;0,63;0,64;0,79;0,72;0,71;0,78;0,33
CAGR Receitas 5 anos;6,66%;6,72%;7,69%;6,25%;-8,15%;-8,72%;-15,78%;-7,95%;-4,26%
CAGR Lucros 5 anos;11,95%;12,38%;-6,32%;1,15%;-%;10,60%;-8,34%;-%;-%
