;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;4,17%;4,84%;4,49%;4,73%;3,98%;3,33%;3,31%;3,12%
Div;;3.53;3.48;3.41;3.34;3.18;3.0;2.82;2.66
P/L;17.8;16.58;16.25;17.8;12.88;16.35;18.78;18.69;19.48
PEG Ratio;-5,14;-;-;-;-;-;-;-;-
P/VP;1,49;1,49;1,32;1,42;1,35;1,60;0,00;0,00;0,02
EV/EBITDA;19,57;9,24;9,45;10,00;8,91;9,76;3.487,55;3.011,57;3.178,31
EV/EBIT;202,16;16,84;17,77;19,52;15,32;17,23;7.191,48;5.999,86;5.259,98
P/EBITDA;9,86;4,77;4,47;5,13;4,64;5,69;7,30;6,20;6,32
P/EBIT;101,91;8,69;8,40;10,02;7,97;10,05;15,04;12,34;10,46
VPA;59,89;56,71;54,47;53,45;52,30;50,03;49.400,83;47.722,32;4.596,56
P/Ativo;0,36;0,39;0,33;0,38;0,36;0,45;0,01;0,05;0,01
LPA;5.0;5.11;4.42;4.27;5.48;4.89;4.79;4.56;4.37
P/SR;2,01;1,97;1,74;1,99;2,10;2,51;2,91;2,59;2,67
P/Cap. Giro;-11,05;-8,75;-8,47;-742,70;-38,74;-55,53;-0,01;-0,01;-0,05
P/Ativo Circ. Liq.;-0,38;-0,41;-0,36;-0,41;-0,39;-0,48;-0,01;0,01;-0,01
Dív. líquida/PL;1,46;1,40;1,47;1,35;1,24;1,14;0,87;0,87;9,30
Dív. líquida/EBITDA;9,70;4,47;4,99;4,87;4,27;4,07;3.480,26;3.005,38;3.171,99
Dív. líquida/EBIT;100,25;8,15;9,38;9,50;7,35;7,18;7.176,43;5.987,52;5.249,52
PL/Ativos;0,24;0,26;0,25;0,27;0,27;0,28;3,01;30,28;0,30
Passivos/Ativos;0,76;0,74;0,75;0,73;0,73;0,72;0,70;0,70;0,70
Liq. corrente;0,67;0,59;0,67;0,99;0,88;0,88;0,05;0,56;0,85
M. Bruta;7,01%;41,70%;39,28%;39,50%;44,62%;45,57%;69,97%;70,85%;72,48%
M. EBITDA;20,37%;41,34%;38,86%;38,78%;45,20%;44,10%;39,92%;41,76%;42,23%
M. EBIT;1,97%;22,68%;20,67%;19,87%;26,30%;24,97%;19,36%;20,96%;25,52%
M. Líquida;11,29%;11,88%;10,68%;11,18%;16,27%;15,35%;15,51%;13,84%;13,70%
ROE;8,36%;9,01%;8,12%;8,00%;10,48%;9,77%;0,01%;0,01%;0,10%
ROA;2,00%;2,33%;2,03%;2,13%;2,81%;2,75%;0,03%;0,29%;0,03%
ROIC;-0,01%;6,48%;5,85%;5,52%;6,71%;6,74%;0,01%;0,01%;0,01%
Giro ativos;0,18;0,20;0,19;0,19;0,17;0,18;0,00;0,02;0,00
CAGR Receitas 5 anos;8,10%;4,93%;3,94%;1,69%;0,52%;-0,12%;1,33%;1,55%;1,54%
CAGR Lucros 5 anos;2,49%;-0,37%;-0,20%;6,96%;4,72%;6,25%;4,71%;5,06%;5,42%
