;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;81.67;43.81;73.53;;;;912.4;;-149.81
PEG Ratio;-0,91;-;-;-;-;-;-;-;-
P/VP;14,53;15,13;20,70;42,95;33,09;27,92;139,44;22,09;25,33
EV/EBITDA;98,14;44,26;49,07;194,41;135,79;153,95;144,10;100,38;487,18
EV/EBIT;169,70;54,69;63,32;462,68;231,20;309,58;225,98;146,31;-766,87
P/EBITDA;96,90;43,25;46,87;187,74;132,32;152,93;137,45;94,29;472,35
P/EBIT;167,55;53,44;60,48;446,80;225,29;307,54;215,56;137,42;-743,51
VPA;19,68;17,26;10,48;6,85;8,04;9,16;1,23;3,59;2,72
P/Ativo;6,64;5,94;5,86;9,09;8,98;9,00;9,26;5,05;4,92
LPA;3.5;5.96;2.95;0.07;0.24;0.1;0.19;0.06;-0.46
P/SR;7,97;8,85;8,94;15,68;16,75;18,63;14,34;8,31;8,66
P/Cap. Giro;16,59;13,45;13,40;21,56;16,72;16,19;24,43;13,56;8,90
P/Ativo Circ. Liq.;-17,19;-15,32;-15,09;-21,84;-25,60;-27,00;-19,18;-10,03;-14,36
Dív. líquida/PL;0,19;0,35;0,97;1,53;0,87;0,19;6,74;1,43;0,80
Dív. líquida/EBITDA;1,24;1,01;2,20;6,67;3,47;1,01;6,65;6,10;14,84
Dív. líquida/EBIT;2,15;1,24;2,84;15,88;5,90;2,04;10,42;8,89;-23,36
PL/Ativos;0,46;0,39;0,28;0,21;0,27;0,32;0,07;0,23;0,19
Passivos/Ativos;0,54;0,61;0,72;0,79;0,73;0,68;0,93;0,77;0,81
Liq. corrente;2,87;3,58;3,51;3,60;5,81;6,01;3,75;3,99;6,24
M. Bruta;71,46%;69,79%;68,35%;61,72%;68,45%;64,39%;65,06%;65,66%;59,77%
M. EBITDA;8,23%;20,45%;19,07%;8,35%;12,66%;12,18%;10,43%;8,82%;1,83%
M. EBIT;4,76%;16,55%;14,78%;3,51%;7,44%;6,06%;6,65%;6,05%;-1,16%
M. Líquida;9,76%;20,19%;12,16%;0,35%;1,53%;0,75%;1,57%;0,59%;-5,78%
ROE;17,79%;34,52%;28,16%;0,97%;3,02%;1,13%;15,28%;1,56%;-16,91%
ROA;8,13%;13,55%;7,97%;0,20%;0,82%;0,36%;1,01%;0,36%;-3,28%
ROIC;2,31%;8,67%;11,29%;2,16%;4,26%;3,12%;4,79%;4,00%;-0,77%
Giro ativos;0,83;0,67;0,66;0,58;0,54;0,48;0,65;0,61;0,57
CAGR Receitas 5 anos;22,92%;24,66%;22,99%;24,52%;27,93%;26,12%;17,94%;17,02%;19,24%
CAGR Lucros 5 anos;104,84%;128,66%;-%;-%;-%;-%;-%;-%;-%
