;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,15%;1,38%;1,08%;1,26%;0,53%;0,61%;0,99%;1,16%;1,10%
Div;4.95;4.7;4.31;3.81;3.0;2.27;2.1;1.72;1.43
P/L;20.9;29.59;29.23;15.78;34.97;40.79;32.51;25.53;27.18
PEG Ratio;-2,58;-;-;-;-;-;-;-;-
P/VP;6,21;10,09;11,65;9,56;21,23;23,39;20,73;26,77;23,34
EV/EBITDA;95,68;22,41;22,35;12,85;27,99;31,89;25,92;20,68;19,32
EV/EBIT;189,33;24,21;23,66;13,36;29,01;33,96;28,30;22,65;21,17
P/EBITDA;86,29;20,98;21,00;11,54;26,63;31,10;24,52;18,65;17,66
P/EBIT;170,74;22,67;22,22;11,99;27,60;33,12;26,78;20,43;19,35
VPA;37,04;33,79;34,23;31,62;26,66;15,92;10,24;5,55;5,56
P/Ativo;2,45;3,82;4,46;3,31;7,04;8,60;5,73;4,82;4,73
LPA;11.01;11.52;13.64;19.16;16.19;9.13;6.53;5.82;4.77
P/SR;1,62;2,42;2,76;1,91;4,30;3,80;2,66;2,00;1,87
P/Cap. Giro;7,59;14,52;14,64;8,79;22,20;23,42;14,59;9,82;11,30
P/Ativo Circ. Liq.;-5,19;-7,84;-9,48;-7,64;-15,57;-24,22;-16,68;-18,38;-16,33
Dív. líquida/PL;0,68;0,69;0,75;1,09;1,08;0,60;1,18;2,91;2,19
Dív. líquida/EBITDA;9,39;1,42;1,35;1,31;1,36;0,79;1,39;2,03;1,66
Dív. líquida/EBIT;18,59;1,54;1,43;1,36;1,41;0,85;1,52;2,22;1,82
PL/Ativos;0,39;0,38;0,38;0,35;0,33;0,37;0,28;0,18;0,20
Passivos/Ativos;0,61;0,62;0,62;0,65;0,67;0,63;0,72;0,82;0,80
Liq. corrente;2,57;2,05;2,36;2,99;2,38;2,32;2,49;2,99;2,43
M. Bruta;29,59%;29,66%;29,96%;31,29%;30,54%;28,73%;28,91%;29,02%;28,88%
M. EBITDA;1,88%;11,53%;13,14%;16,57%;16,13%;12,22%;10,84%;10,70%;10,58%
M. EBIT;0,95%;10,68%;12,42%;15,94%;15,56%;11,47%;9,92%;9,77%;9,65%
M. Líquida;7,75%;8,18%;9,44%;12,11%;12,29%;9,32%;8,18%;7,82%;6,87%
ROE;29,73%;34,11%;39,86%;60,59%;60,73%;57,35%;63,77%;104,86%;85,88%
ROA;11,72%;12,89%;15,26%;20,99%;20,14%;21,08%;17,64%;18,89%;17,40%
ROIC;-3,31%;19,52%;22,11%;28,53%;28,84%;34,72%;28,35%;26,31%;25,74%
Giro ativos;1,51;1,58;1,62;1,73;1,64;2,26;2,16;2,42;2,53
CAGR Receitas 5 anos;10,67%;13,07%;17,25%;15,55%;10,75%;7,33%;7,59%;7,37%;7,47%
CAGR Lucros 5 anos;10,67%;17,42%;31,32%;34,29%;23,38%;18,77%;19,22%;18,51%;15,65%
