;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,57%;4,39%;4,82%;4,83%;4,25%;5,64%;4,27%;4,41%;2,61%
Div;4.04;5.2;5.0;4.8;4.6;4.42;4.0;3.6;3.0
P/L;15.35;15.41;14.97;-22.1;5.27;-82.54;9.0;8.27;6.21
PEG Ratio;-0,42;-;-;-;-;-;-;-;-
P/VP;1,24;1,51;1,34;1,19;0,66;0,46;0,60;0,69;0,90
EV/EBITDA;912,51;19,22;20,39;-30,67;5,81;338,28;9,43;9,61;8,98
EV/EBIT;-496,06;21,52;19,93;-28,77;5,94;-140,34;10,28;9,93;9,29
P/EBITDA;489,54;11,70;12,41;-20,51;4,25;230,36;6,80;6,74;7,28
P/EBIT;-266,13;13,10;12,13;-19,24;4,34;-95,57;7,41;6,97;7,53
VPA;91,72;78,61;77,45;83,60;164,44;170,52;157,00;117,72;127,69
P/Ativo;0,05;0,06;0,05;0,05;0,04;0,03;0,04;0,04;0,06
LPA;7.38;7.69;6.93;-4.5;20.53;-0.95;10.41;9.86;18.51
P/SR;0,69;0,60;0,69;0,64;0,57;0,54;0,58;0,53;0,82
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,05;-0,06;-0,05;-0,05;-0,04;-0,03;-0,04;-0,04;-0,06
Dív. líquida/PL;1,07;0,97;0,86;0,59;0,24;0,21;0,23;0,29;0,21
Dív. líquida/EBITDA;422,96;7,52;7,98;-10,16;1,56;107,91;2,64;2,87;1,70
Dív. líquida/EBIT;-229,93;8,42;7,80;-9,53;1,60;-44,77;2,87;2,97;1,76
PL/Ativos;0,04;0,04;0,04;0,04;0,07;0,07;0,07;0,06;0,07
Passivos/Ativos;0,96;0,96;0,96;0,96;0,93;0,93;0,93;0,94;0,93
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;7,88%;31,01%;39,37%;24,57%;42,83%;34,63%;39,59%;33,84%;40,74%
M. EBITDA;0,14%;5,10%;5,56%;-3,12%;13,51%;0,23%;8,56%;7,93%;11,24%
M. EBIT;-0,26%;4,56%;5,69%;-3,33%;13,22%;-0,57%;7,85%;7,67%;10,87%
M. Líquida;4,48%;3,87%;4,61%;-2,90%;10,89%;-0,66%;6,46%;6,47%;13,17%
ROE;8,05%;9,78%;8,94%;-5,38%;12,48%;-0,55%;6,63%;8,38%;14,50%
ROA;0,33%;0,37%;0,34%;-0,24%;0,82%;-0,04%;0,47%;0,50%;0,94%
ROIC;-0,83%;3,28%;3,23%;-3,08%;8,00%;-0,39%;4,16%;4,73%;5,81%
Giro ativos;0,07;0,10;0,07;0,08;0,08;0,06;0,07;0,08;0,07
CAGR Receitas 5 anos;1,67%;-3,04%;-0,96%;3,83%;-0,03%;3,68%;8,72%;-6,79%;3,67%
CAGR Lucros 5 anos;-8,21%;-9,39%;-%;12,08%;-%;24,83%;-%;72,15%;3,76%
