;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,60%;4,01%;3,93%;7,55%;2,14%;3,46%;3,76%;3,95%;3,83%
Div;12.0;12.01;11.98;21.16;8.01;7.99;8.01;7.99;8.0
P/L;27.04;28.05;27.49;11.86;37.86;36.76;29.23;23.7;31.05
PEG Ratio;-106,50;-;-;-;-;-;-;-;-
P/VP;4,92;5,41;5,35;4,88;7,03;4,72;4,10;3,86;4,06
EV/EBITDA;30,40;17,52;18,64;10,21;28,57;22,57;19,56;19,17;19,90
EV/EBIT;80,58;25,85;26,27;12,22;39,78;31,91;26,41;25,74;26,26
P/EBITDA;25,06;14,98;16,03;9,09;25,91;21,36;18,81;18,62;19,37
P/EBIT;66,43;22,10;22,59;10,87;36,08;30,20;25,39;24,99;25,56
VPA;53,07;55,37;57,00;57,48;53,30;48,96;51,98;52,45;51,51
P/Ativo;2,28;2,66;2,70;2,80;3,77;3,42;3,27;3,23;3,39
LPA;9.65;10.68;11.09;23.63;9.89;6.28;7.29;8.54;6.73
P/SR;9,57;11,19;11,86;11,74;19,20;13,85;13,07;12,81;13,63
P/Cap. Giro;-;-;-;-;-;-;1.405,95;-3.514,90;378,21
P/Ativo Circ. Liq.;-2,28;-2,66;-2,70;-2,80;-3,77;-3,42;-3,40;-3,34;-3,53
Dív. líquida/PL;1,05;0,92;0,87;0,61;0,72;0,27;0,16;0,11;0,11
Dív. líquida/EBITDA;5,34;2,54;2,61;1,13;2,66;1,21;0,75;0,55;0,53
Dív. líquida/EBIT;14,14;3,75;3,68;1,35;3,71;1,71;1,02;0,74;0,70
PL/Ativos;0,46;0,49;0,51;0,57;0,54;0,72;0,80;0,84;0,84
Passivos/Ativos;0,54;0,51;0,49;0,43;0,46;0,28;0,20;0,16;0,16
Liq. corrente;-;-;-;-;-;-;1,07;0,97;1,29
M. Bruta;18,11%;73,21%;74,59%;74,82%;73,05%;70,24%;72,01%;73,14%;73,47%
M. EBITDA;38,17%;74,67%;73,98%;129,24%;74,12%;64,84%;69,48%;68,83%;70,36%
M. EBIT;14,40%;50,61%;52,51%;108,00%;53,23%;45,87%;51,47%;51,27%;53,33%
M. Líquida;35,38%;39,88%;43,14%;99,05%;50,72%;37,68%;44,71%;54,06%;43,90%
ROE;18,18%;19,28%;19,46%;41,12%;18,56%;12,83%;14,02%;16,28%;13,07%
ROA;8,42%;9,48%;9,84%;23,60%;9,97%;9,29%;11,20%;13,62%;10,92%
ROIC;3,53%;12,44%;12,35%;26,57%;10,82%;12,04%;13,34%;13,38%;13,69%
Giro ativos;0,24;0,24;0,23;0,24;0,20;0,25;0,25;0,25;0,25
CAGR Receitas 5 anos;10,53%;10,40%;9,40%;5,93%;4,12%;5,51%;6,99%;7,69%;8,08%
CAGR Lucros 5 anos;10,24%;7,61%;29,99%;10,53%;5,21%;6,98%;12,00%;11,84%;16,08%
