;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,89%;3,95%;3,15%;3,68%;5,00%;5,15%;3,14%;3,60%;2,70%
Div;1.15;4.5;4.19;3.83;3.63;3.6;3.5;3.1;2.73
P/L;34.67;21.98;8.17;4.4;24.11;-7.69;16.09;7.1;10.04
PEG Ratio;-0,63;-;-;-;-;-;-;-;-
P/VP;1,93;1,70;1,87;1,64;1,66;1,61;1,99;1,61;2,04
EV/EBITDA;20,50;10,84;5,93;3,52;10,90;-14,41;9,94;5,13;10,92
EV/EBIT;347,24;18,11;7,08;3,90;18,55;-9,84;12,87;6,02;14,59
P/EBITDA;14,82;7,77;4,63;2,87;8,04;-10,02;8,25;4,26;9,61
P/EBIT;251,06;12,99;5,53;3,18;13,68;-6,84;10,68;5,00;12,84
VPA;66,80;67,11;71,05;63,31;43,73;43,46;56,06;53,46;49,50
P/Ativo;0,68;0,64;0,76;0,63;0,57;0,56;0,84;0,73;0,94
LPA;3.72;5.18;16.3;23.66;3.01;-9.1;6.92;12.13;10.08
P/SR;0,39;0,33;0,39;0,29;0,28;0,48;0,46;0,36;0,50
P/Cap. Giro;12,77;16,48;14,03;8,04;16,75;8,13;18,01;9,29;11,97
P/Ativo Circ. Liq.;-0,96;-0,85;-1,03;-0,89;-0,78;-0,74;-1,12;-0,97;-1,28
Dív. líquida/PL;0,74;0,67;0,52;0,37;0,59;0,70;0,41;0,33;0,28
Dív. líquida/EBITDA;5,68;3,06;1,30;0,65;2,86;-4,39;1,69;0,87;1,31
Dív. líquida/EBIT;96,18;5,12;1,55;0,72;4,87;-3,00;2,19;1,02;1,75
PL/Ativos;0,35;0,38;0,41;0,39;0,34;0,35;0,42;0,45;0,46
Passivos/Ativos;0,65;0,62;0,59;0,61;0,66;0,65;0,58;0,55;0,54
Liq. corrente;1,23;1,19;1,26;1,38;1,15;1,39;1,24;1,48;1,42
M. Bruta;1,02%;5,07%;8,93%;8,20%;3,79%;2,90%;6,24%;7,76%;17,83%
M. EBITDA;2,66%;4,18%;8,39%;9,95%;3,54%;-4,75%;5,59%;8,37%;5,21%
M. EBIT;0,16%;2,50%;7,03%;8,98%;2,08%;-6,96%;4,32%;7,13%;3,90%
M. Líquida;1,14%;1,48%;4,76%;6,49%;1,18%;-6,20%;2,87%;5,02%;4,99%
ROE;5,57%;7,72%;22,94%;37,38%;6,87%;-20,94%;12,35%;22,70%;20,35%
ROA;1,97%;2,92%;9,29%;14,42%;2,37%;-7,26%;5,24%;10,30%;9,39%
ROIC;-0,25%;6,49%;16,29%;25,73%;6,47%;-16,39%;10,46%;17,81%;6,54%
Giro ativos;1,73;1,97;1,95;2,22;2,01;1,17;1,83;2,05;1,88
CAGR Receitas 5 anos;5,94%;5,75%;10,68%;5,75%;-8,31%;-7,82%;-8,27%;-10,61%;-15,53%
CAGR Lucros 5 anos;-7,20%;4,63%;16,64%;-3,27%;-%;-8,37%;8,47%;4,36%;-20,10%
