;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;28.35;58.74;85.11;45.3;29.69;106.77;-314.98;189.24;
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;5,44;6,88;7,81;6,18;6,95;9,70;7,20;11,25;7,97
EV/EBITDA;19,27;32,31;37,23;26,62;27,04;-;63,90;64,64;58,49
EV/EBIT;21,88;40,07;48,28;33,81;34,53;69,41;142,41;144,97;182,24
P/EBITDA;18,37;30,28;34,88;24,74;25,07;-;61,27;62,37;55,25
P/EBIT;20,87;37,55;45,24;31,42;32,02;66,09;136,54;139,89;172,15
VPA;32,17;26,74;22,41;19,43;17,44;12,33;10,41;7,37;7,62
P/Ativo;3,14;3,46;3,32;3,03;3,14;4,13;3,25;4,22;2,99
LPA;6.17;3.13;2.06;2.65;4.08;1.12;-0.24;0.44;0.05
P/SR;7,60;9,62;9,97;7,34;7,83;9,57;6,89;7,92;6,06
P/Cap. Giro;142,55;-59,99;-53,07;51,32;48,20;91,39;59,87;-96,93;-571,27
P/Ativo Circ. Liq.;-3,98;-4,35;-4,17;-3,92;-4,12;-5,47;-4,60;-5,80;-4,17
Dív. líquida/PL;0,26;0,46;0,53;0,47;0,55;0,49;0,31;0,41;0,47
Dív. líquida/EBITDA;0,89;2,03;2,35;1,88;1,97;-;2,63;2,27;3,24
Dív. líquida/EBIT;1,02;2,52;3,05;2,39;2,52;3,32;5,87;5,08;10,10
PL/Ativos;0,58;0,50;0,43;0,49;0,45;0,43;0,45;0,38;0,38
Passivos/Ativos;0,42;0,50;0,57;0,51;0,55;0,57;0,55;0,62;0,62
Liq. corrente;1,12;0,78;0,76;1,35;1,38;1,22;1,23;0,86;0,98
M. Bruta;83,76%;80,65%;78,97%;80,04%;79,46%;77,08%;74,09%;73,71%;71,78%
M. EBITDA;41,35%;31,76%;28,57%;29,66%;31,25%;-%;11,24%;12,70%;10,97%
M. EBIT;36,40%;25,61%;22,03%;23,35%;24,47%;14,48%;5,05%;5,66%;3,52%
M. Líquida;26,80%;16,37%;11,71%;16,19%;26,39%;8,96%;-2,19%;4,19%;0,54%
ROE;19,18%;11,71%;9,17%;13,64%;23,40%;9,09%;-2,28%;5,94%;0,70%
ROA;11,09%;5,90%;3,90%;6,68%;10,58%;3,86%;-1,03%;2,23%;0,26%
ROIC;16,14%;9,99%;8,57%;10,07%;10,27%;8,48%;0,83%;3,10%;2,09%
Giro ativos;0,41;0,36;0,33;0,41;0,40;0,43;0,47;0,53;0,49
CAGR Receitas 5 anos;12,85%;11,05%;10,68%;9,64%;3,05%;-1,54%;-0,81%;-1,50%;-0,46%
CAGR Lucros 5 anos;-%;36,41%;118,83%;-%;22,41%;-%;-18,41%;-%;-%
