;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,02%;0,09%;0,15%;0,25%;0,16%;0,29%;0,42%;0,13%;-%
Div;0.08;0.28;0.32;0.36;0.18;0.21;0.17;0.04;
P/L;62.05;51.58;42.17;41.47;33.65;22.44;14.41;15.03;19.27
PEG Ratio;2,40;-;-;-;-;-;-;-;-
P/VP;7,52;6,38;5,01;3,78;3,20;2,30;1,43;1,22;1,60
EV/EBITDA;50,81;23,22;19,38;16,07;17,73;11,92;7,59;7,32;11,15
EV/EBIT;144,27;35,41;29,66;28,58;28,74;17,86;10,95;10,99;17,62
P/EBITDA;47,07;21,64;17,73;13,83;14,59;10,83;6,29;5,94;10,25
P/EBIT;133,65;32,99;27,14;24,59;23,64;16,23;9,07;8,92;16,20
VPA;56,30;49,55;43,11;37,66;35,84;31,28;28,46;24,60;24,43
P/Ativo;2,78;2,50;1,93;1,51;1,27;1,19;0,70;0,62;0,94
LPA;6.83;6.13;5.12;3.44;3.41;3.21;2.82;2.0;2.03
P/SR;2,32;1,97;1,50;1,19;1,26;0,89;0,48;0,39;0,64
P/Cap. Giro;26,05;25,61;12,74;9,56;10,43;6,90;3,70;2,90;4,41
P/Ativo Circ. Liq.;-4,76;-4,31;-3,67;-2,57;-2,01;-2,08;-1,29;-1,18;-1,68
Dív. líquida/PL;0,60;0,47;0,46;0,61;0,69;0,23;0,30;0,29;0,14
Dív. líquida/EBITDA;3,74;1,59;1,64;2,24;3,14;1,09;1,31;1,38;0,90
Dív. líquida/EBIT;10,62;2,42;2,51;3,99;5,09;1,63;1,88;2,08;1,42
PL/Ativos;0,37;0,39;0,39;0,40;0,40;0,52;0,49;0,51;0,59
Passivos/Ativos;0,63;0,61;0,61;0,60;0,60;0,48;0,51;0,49;0,41
Liq. corrente;1,34;1,30;1,47;1,63;1,50;1,68;1,69;1,84;1,92
M. Bruta;15,16%;14,83%;14,07%;14,81%;15,05%;14,83%;13,21%;13,25%;13,12%
M. EBITDA;4,94%;9,11%;8,48%;8,63%;8,64%;8,24%;7,61%;6,65%;6,25%
M. EBIT;1,74%;5,98%;5,54%;4,85%;5,33%;5,50%;5,28%;4,43%;3,96%
M. Líquida;3,74%;3,82%;3,57%;2,88%;3,74%;3,98%;3,32%;2,63%;3,33%
ROE;12,13%;12,36%;11,87%;9,12%;9,51%;10,26%;9,93%;8,14%;8,31%
ROA;4,48%;4,84%;4,59%;3,65%;3,78%;5,31%;4,83%;4,15%;4,86%
ROIC;0,87%;9,84%;8,95%;6,98%;6,33%;8,98%;8,74%;7,07%;7,60%
Giro ativos;1,20;1,27;1,29;1,27;1,01;1,33;1,45;1,58;1,46
CAGR Receitas 5 anos;14,34%;13,33%;12,52%;11,15%;8,15%;9,35%;11,75%;9,84%;12,78%
CAGR Lucros 5 anos;18,90%;21,80%;11,53%;21,51%;8,00%;6,26%;-6,10%;0,54%;8,59%
