;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,04%;2,18%;2,18%;2,67%;1,47%;1,69%;2,81%;4,27%;3,50%
Div;3.52;3.35;3.15;2.94;2.69;2.58;2.48;2.43;2.24
P/L;33.34;16.75;22.36;9.51;22.75;33.15;22.97;-13.9;38.6
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;8,71;6,47;7,49;6,83;20,68;28,35;20,52;85,48;3,07
EV/EBITDA;12,53;13,44;16,67;7,66;16,84;22,92;10,98;26,93;15,98
EV/EBIT;14,04;15,52;20,37;8,53;19,30;27,97;12,88;63,16;22,68
P/EBITDA;12,38;13,34;16,26;7,13;16,57;22,34;10,59;25,35;19,10
P/EBIT;13,86;15,40;19,87;7,94;18,99;27,26;12,43;59,47;27,11
VPA;19,80;23,76;19,30;16,10;8,84;5,37;4,30;0,67;20,86
P/Ativo;3,68;3,08;3,17;2,51;4,99;4,84;3,06;2,11;1,44
LPA;5.17;9.17;6.47;11.56;8.04;4.6;3.84;-4.1;1.66
P/SR;4,17;4,36;4,51;2,78;6,13;7,32;4,15;3,05;4,24
P/Cap. Giro;11,12;11,54;12,60;13,89;25,32;17,50;12,87;11,51;2,89
P/Ativo Circ. Liq.;-7,58;-5,68;-5,66;-4,35;-9,72;-10,09;-6,22;-4,50;-4,31
Dív. líquida/PL;0,11;0,05;0,19;0,51;0,33;0,74;0,75;5,31;-0,50
Dív. líquida/EBITDA;0,16;0,10;0,41;0,53;0,27;0,58;0,39;1,57;-3,12
Dív. líquida/EBIT;0,18;0,12;0,50;0,59;0,31;0,71;0,45;3,69;-4,43
PL/Ativos;0,42;0,48;0,42;0,37;0,24;0,17;0,15;0,02;0,47
Passivos/Ativos;0,58;0,52;0,58;0,63;0,76;0,83;0,85;0,98;0,53
Liq. corrente;2,82;2,40;2,33;1,75;1,68;2,14;1,88;1,53;4,00
M. Bruta;55,43%;56,21%;55,70%;57,84%;57,51%;60,67%;64,57%;54,69%;56,01%
M. EBITDA;33,71%;32,70%;27,77%;39,03%;36,99%;32,78%;39,18%;12,03%;22,20%
M. EBIT;30,09%;28,32%;22,72%;35,04%;32,27%;26,86%;33,40%;5,13%;15,64%
M. Líquida;12,51%;26,03%;20,19%;29,27%;26,94%;22,09%;18,07%;-21,95%;10,98%
ROE;26,13%;38,60%;33,51%;71,81%;90,88%;85,54%;89,35%;-615,12%;7,95%
ROA;11,05%;18,39%;14,17%;26,39%;21,93%;14,60%;13,31%;-15,17%;3,73%
ROIC;17,23%;26,42%;21,72%;40,23%;37,37%;26,60%;24,05%;-24,43%;5,58%
Giro ativos;0,88;0,71;0,70;0,90;0,81;0,66;0,74;0,69;0,34
CAGR Receitas 5 anos;9,93%;9,64%;14,71%;7,34%;-1,42%;-1,73%;-1,88%;3,08%;9,51%
CAGR Lucros 5 anos;18,25%;-%;39,54%;9,65%;-0,28%;-11,25%;-%;-16,74%;6,02%
