;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,13%;3,67%;3,91%;4,04%;3,20%;5,22%;3,71%;3,78%;3,04%
Div;2.86;2.72;2.62;2.53;2.42;2.42;2.34;2.21;2.11
P/L;31.93;34.58;34.32;22.09;35.61;171.85;44.04;39.82;73.96
PEG Ratio;-0,36;-;-;-;-;-;-;-;-
P/VP;1,87;1,99;1,75;1,75;2,13;1,29;1,70;1,55;1,77
EV/EBITDA;34,31;19,25;20,44;16,38;21,97;-;21,25;19,56;27,00
EV/EBIT;142,00;32,98;34,72;25,06;35,52;66,30;43,01;37,98;61,80
P/EBITDA;24,91;14,46;15,31;12,14;17,14;-;15,62;14,28;20,78
P/EBIT;103,11;24,78;26,00;18,57;27,71;45,42;31,61;27,73;47,55
VPA;37,16;37,17;38,19;35,73;35,35;35,37;37,18;37,85;39,14
P/Ativo;0,97;1,08;0,99;0,98;1,19;0,71;0,95;0,91;1,06
LPA;2.17;2.14;1.95;2.83;2.12;0.27;1.43;1.47;0.94
P/SR;8,35;9,20;9,33;8,71;11,04;7,59;9,31;8,85;12,02
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,97;-1,08;-0,99;-0,98;-1,19;-0,71;-0,95;-0,91;-1,06
Dív. líquida/PL;0,70;0,66;0,59;0,61;0,60;0,59;0,61;0,57;0,53
Dív. líquida/EBITDA;9,40;4,79;5,14;4,24;4,83;-;5,63;5,28;6,23
Dív. líquida/EBIT;38,89;8,21;8,72;6,49;7,80;20,87;11,40;10,26;14,25
PL/Ativos;0,52;0,54;0,57;0,56;0,56;0,55;0,56;0,58;0,60
Passivos/Ativos;0,48;0,46;0,43;0,44;0,44;0,45;0,44;0,42;0,40
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;16,97%;70,21%;70,15%;71,74%;71,99%;69,19%;72,98%;72,71%;74,22%
M. EBITDA;33,50%;63,61%;60,95%;71,80%;64,38%;-%;59,58%;61,97%;57,84%
M. EBIT;8,10%;37,12%;35,89%;46,93%;39,82%;16,71%;29,44%;31,92%;25,28%
M. Líquida;26,14%;26,60%;27,18%;39,45%;30,99%;4,42%;21,13%;22,22%;16,25%
ROE;5,85%;5,75%;5,11%;7,92%;5,99%;0,75%;3,85%;3,89%;2,39%
ROA;3,05%;3,12%;2,89%;4,45%;3,35%;0,41%;2,15%;2,28%;1,44%
ROIC;1,04%;4,81%;4,21%;5,81%;4,76%;1,71%;3,29%;3,54%;2,42%
Giro ativos;0,12;0,12;0,11;0,11;0,11;0,09;0,10;0,10;0,09
CAGR Receitas 5 anos;5,11%;3,36%;4,46%;13,68%;12,27%;16,07%;18,05%;15,74%;5,48%
CAGR Lucros 5 anos;10,83%;7,91%;22,36%;32,78%;-22,44%;7,56%;14,11%;-%;39,08%
