;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,92%;4,17%;4,54%;3,43%;2,98%;3,85%;3,44%;3,44%;1,82%
Div;0.25;0.98;0.88;0.74;0.65;0.62;0.59;0.46;0.31
P/L;11.64;12.04;9.05;9.39;8.56;15.62;11.01;8.16;16.72
PEG Ratio;0,50;-;-;-;-;-;-;-;-
P/VP;1,26;1,20;1,03;1,26;1,12;0,85;1,02;0,92;1,24
EV/EBITDA;-23,13;-6,92;-5,62;-5,92;-10,37;-15,99;47,70;49,18;45,06
EV/EBIT;-25,65;-7,29;-6,07;-6,62;-11,53;-20,47;-;-;-
P/EBITDA;28,30;7,59;5,65;6,02;5,57;8,05;38,86;29,94;37,33
P/EBIT;31,38;7,99;6,10;6,73;6,19;10,31;-;-;-
VPA;21,72;19,68;18,90;17,06;19,46;18,86;16,89;14,60;13,96
P/Ativo;0,15;0,14;0,12;0,13;0,13;0,11;0,13;0,11;0,16
LPA;2.34;1.95;2.14;2.3;2.55;1.03;1.56;1.64;1.03
P/SR;10,02;2,28;1,95;2,68;3,11;2,33;2,45;2,16;3,37
P/Cap. Giro;-;-;-;-;-;-;-1,34;-1,45;-1,46
P/Ativo Circ. Liq.;-0,15;-0,14;-0,12;-0,13;-0,13;-0,11;-0,42;-0,35;-0,49
Dív. líquida/PL;-2,28;-2,29;-2,05;-2,51;-3,21;-2,55;0,23;0,59;0,26
Dív. líquida/EBITDA;-51,42;-14,51;-11,27;-11,94;-15,94;-24,04;8,84;19,23;7,73
Dív. líquida/EBIT;-57,03;-15,29;-12,17;-13,34;-17,72;-30,78;-;-;-
PL/Ativos;0,12;0,11;0,11;0,10;0,11;0,12;0,13;0,12;0,13
Passivos/Ativos;0,88;0,89;0,89;0,90;0,89;0,88;0,87;0,88;0,87
Liq. corrente;-;-;-;-;-;-;0,88;0,90;0,86
M. Bruta;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;86,77%;89,74%;92,47%
M. EBITDA;35,40%;30,05%;34,58%;44,46%;55,85%;28,90%;6,31%;7,21%;9,03%
M. EBIT;31,92%;28,52%;32,00%;39,77%;50,23%;22,57%;0,00%;0,00%;0,00%
M. Líquida;86,09%;18,93%;21,59%;28,50%;36,34%;14,89%;22,25%;26,43%;20,15%
ROE;10,79%;9,92%;11,34%;13,46%;13,10%;5,47%;9,22%;11,23%;7,40%
ROA;1,28%;1,13%;1,30%;1,38%;1,47%;0,67%;1,19%;1,35%;0,96%
ROIC;1,11%;12,04%;13,75%;14,82%;14,32%;7,08%;-%;-%;-%
Giro ativos;0,01;0,06;0,06;0,05;0,04;0,05;0,05;0,05;0,05
CAGR Receitas 5 anos;6,77%;7,38%;4,83%;2,55%;3,24%;4,23%;2,23%;-0,18%;-1,85%
CAGR Lucros 5 anos;4,72%;4,12%;13,37%;18,06%;1,85%;6,54%;9,86%;3,88%;-%
