;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,22%;0,88%;1,07%;0,83%;0,62%;0,73%;0,98%;1,26%;1,61%
Div;0.53;2.01;1.84;1.73;1.62;1.55;1.52;1.43;1.36
P/L;25.29;32.9;28.19;39.23;80.26;49.55;55.07;51.42;35.11
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;5,93;6,90;6,13;9,10;13,20;12,34;10,75;7,88;6,13
EV/EBITDA;18,23;22,99;20,41;26,92;34,98;33,01;33,16;24,37;21,95
EV/EBIT;20,79;26,92;24,07;32,35;42,36;40,75;42,17;29,69;27,46
P/EBITDA;18,51;22,68;19,47;26,49;34,65;32,26;31,57;24,23;21,49
P/EBIT;21,11;26,55;22,97;31,83;41,96;39,82;40,15;29,52;26,89
VPA;40,89;33,12;28,08;22,88;19,74;17,23;14,41;14,45;13,81
P/Ativo;4,33;4,89;3,75;6,00;8,06;6,71;5,42;5,30;3,46
LPA;9.6;6.95;6.1;5.31;3.25;4.29;2.81;2.21;2.41
P/SR;6,88;7,17;5,99;8,54;11,91;10,42;8,55;6,93;5,81
P/Cap. Giro;14,24;23,21;15,72;24,61;57,44;33,46;37,81;29,26;9,36
P/Ativo Circ. Liq.;-7,59;-7,44;-5,77;-9,66;-12,08;-10,05;-7,52;-8,12;-6,59
Dív. líquida/PL;-0,09;0,10;0,29;0,15;0,12;0,29;0,54;0,05;0,13
Dív. líquida/EBITDA;-0,28;0,32;0,93;0,43;0,33;0,75;1,59;0,14;0,46
Dív. líquida/EBIT;-0,32;0,37;1,10;0,52;0,40;0,92;2,02;0,17;0,57
PL/Ativos;0,73;0,71;0,61;0,66;0,61;0,54;0,50;0,67;0,57
Passivos/Ativos;0,27;0,29;0,39;0,34;0,39;0,46;0,50;0,33;0,43
Liq. corrente;3,44;2,59;3,12;2,80;1,73;2,53;2,06;2,08;4,57
M. Bruta;59,36%;56,67%;55,78%;56,57%;57,53%;58,09%;57,32%;57,04%;58,15%
M. EBITDA;37,18%;31,61%;30,77%;32,26%;34,38%;32,29%;27,08%;28,61%;27,05%
M. EBIT;32,60%;27,00%;26,09%;26,84%;28,39%;26,16%;21,29%;23,49%;21,63%
M. Líquida;27,22%;21,79%;21,25%;21,78%;14,84%;21,02%;15,52%;13,49%;16,56%
ROE;23,47%;20,99%;21,73%;23,19%;16,44%;24,90%;19,52%;15,33%;17,46%
ROA;17,14%;14,86%;13,29%;15,30%;10,04%;13,55%;9,85%;10,30%;9,87%
ROIC;21,11%;18,33%;16,11%;18,85%;14,08%;18,02%;13,18%;14,70%;12,19%
Giro ativos;0,63;0,68;0,63;0,70;0,68;0,64;0,63;0,76;0,60
CAGR Receitas 5 anos;12,44%;12,53%;11,60%;11,70%;11,99%;10,88%;9,09%;8,59%;8,14%
CAGR Lucros 5 anos;20,34%;23,25%;17,89%;6,13%;11,99%;3,22%;0,54%;6,08%;9,20%
