;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,33%;1,77%;1,95%;2,22%;1,24%;1,65%;1,94%;2,42%;1,59%
Div;1.29;5.06;6.05;5.72;4.33;4.14;3.93;3.64;3.12
P/L;50.68;33.91;25.65;31.71;29.85;28.47;33.74;33.8;30.53
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;12,05;9,24;9,99;10,85;16,96;28,35;58,09;11,19;9,46
EV/EBITDA;33,48;22,59;18,80;22,92;24,22;21,55;21,47;12,09;19,12
EV/EBIT;43,61;28,30;21,50;27,50;27,05;24,55;24,74;13,51;22,02
P/EBITDA;31,50;20,57;17,85;20,59;22,39;20,63;20,39;11,54;19,66
P/EBIT;41,05;25,77;20,41;24,70;25,01;23,51;23,50;12,89;22,64
VPA;32,55;30,94;31,08;23,75;20,57;8,85;3,49;13,45;20,75
P/Ativo;3,93;2,88;3,15;2,75;3,79;4,01;3,84;2,89;3,52
LPA;7.74;8.43;12.1;8.12;11.69;8.81;6.01;4.45;6.43
P/SR;5,28;3,91;3,93;3,81;5,79;4,60;3,51;2,72;3,99
P/Cap. Giro;94,51;116,66;23,02;767,91;569,31;33,30;22,38;30,48;11,08
P/Ativo Circ. Liq.;-6,03;-4,40;-5,57;-4,14;-5,31;-6,36;-7,51;-5,27;-9,20
Dív. líquida/PL;0,75;0,91;0,53;1,23;1,39;1,26;3,06;0,54;-0,26
Dív. líquida/EBITDA;1,97;2,02;0,95;2,33;1,83;0,92;1,08;0,55;-0,54
Dív. líquida/EBIT;2,57;2,53;1,09;2,80;2,04;1,04;1,24;0,62;-0,62
PL/Ativos;0,33;0,31;0,32;0,25;0,22;0,14;0,07;0,26;0,37
Passivos/Ativos;0,67;0,69;0,68;0,75;0,78;0,86;0,93;0,74;0,63
Liq. corrente;1,14;1,08;1,46;1,01;1,02;1,48;1,54;1,27;2,06
M. Bruta;48,14%;46,60%;48,83%;39,97%;41,41%;41,00%;43,32%;43,28%;42,27%
M. EBITDA;16,76%;19,01%;22,00%;18,50%;25,88%;22,31%;17,20%;23,53%;20,32%
M. EBIT;12,86%;15,17%;19,24%;15,42%;23,16%;19,58%;14,93%;21,06%;17,64%
M. Líquida;10,42%;11,53%;15,31%;12,01%;19,41%;16,17%;10,39%;8,03%;13,08%
ROE;23,78%;27,24%;38,94%;34,20%;56,83%;99,57%;172,14%;33,11%;31,00%
ROA;7,75%;8,48%;12,27%;8,66%;12,69%;14,09%;11,38%;8,55%;11,53%
ROIC;13,16%;15,44%;21,65%;15,88%;22,61%;37,22%;29,84%;17,93%;20,01%
Giro ativos;0,74;0,74;0,80;0,72;0,65;0,87;1,10;1,06;0,88
CAGR Receitas 5 anos;4,30%;6,32%;4,22%;3,54%;0,07%;0,21%;0,97%;0,17%;-0,41%
CAGR Lucros 5 anos;6,49%;20,97%;2,46%;13,23%;4,34%;-3,39%;-6,64%;2,30%;0,90%
