;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,27%;1,33%;1,58%;1,18%;0,99%;1,08%;2,13%;2,52%;2,71%
Div;0.16;0.61;0.69;0.43;0.34;0.42;0.47;0.6;0.57
P/L;56.55;48.14;48.6;48.82;47.99;73.64;53.4;51.01;56.62
PEG Ratio;5,72;-;-;-;-;-;-;-;-
P/VP;19,04;16,87;18,29;14,20;15,55;20,40;13,31;16,60;15,51
EV/EBITDA;107,75;29,51;30,53;30,28;29,62;43,48;31,82;31,26;28,71
EV/EBIT;196,39;34,59;35,56;35,80;35,48;54,44;41,28;37,79;34,13
P/EBITDA;106,44;29,11;29,98;30,35;29,53;43,24;31,29;31,57;29,02
P/EBIT;194,01;34,12;34,92;35,88;35,38;54,15;40,59;38,16;34,50
VPA;3,16;2,75;2,39;2,57;2,20;1,91;1,66;1,45;1,33
P/Ativo;9,06;7,96;8,14;8,48;8,50;10,41;6,22;10,80;9,81
LPA;1.06;0.96;0.9;0.75;0.71;0.53;0.41;0.47;0.37
P/SR;7,93;6,63;6,88;6,67;6,94;8,89;5,39;6,49;6,06
P/Cap. Giro;-179,94;-110,85;-124,32;-123,96;-121,26;-121,77;-108,31;-908,38;-319,20
P/Ativo Circ. Liq.;-10,93;-9,44;-9,66;-10,15;-10,33;-12,54;-7,57;-14,62;-13,16
Dív. líquida/PL;0,23;0,23;0,33;-0,03;0,05;0,11;0,23;-0,16;-0,16
Dív. líquida/EBITDA;1,31;0,40;0,55;-0,07;0,09;0,24;0,53;-0,31;-0,31
Dív. líquida/EBIT;2,38;0,46;0,64;-0,08;0,10;0,29;0,69;-0,37;-0,36
PL/Ativos;0,48;0,47;0,45;0,60;0,55;0,51;0,47;0,65;0,63
Passivos/Ativos;0,52;0,53;0,55;0,40;0,45;0,49;0,53;0,35;0,37
Liq. corrente;0,77;0,69;0,71;0,71;0,72;0,67;0,76;0,96;0,89
M. Bruta;11,59%;52,69%;52,17%;51,47%;52,04%;51,48%;50,70%;50,90%;51,02%
M. EBITDA;7,45%;22,76%;22,94%;21,99%;23,51%;20,55%;17,22%;20,55%;20,88%
M. EBIT;4,09%;19,41%;19,70%;18,60%;19,62%;16,41%;13,27%;17,00%;17,56%
M. Líquida;14,02%;13,76%;14,15%;13,67%;14,47%;12,07%;10,09%;12,72%;10,70%
ROE;33,68%;35,05%;37,64%;29,09%;32,41%;27,71%;24,93%;32,54%;27,39%
ROA;16,02%;16,54%;16,76%;17,37%;17,70%;14,13%;11,66%;21,17%;17,33%
ROIC;-1,25%;28,63%;27,58%;28,08%;28,42%;22,79%;19,15%;32,39%;27,32%
Giro ativos;1,14;1,20;1,18;1,27;1,22;1,17;1,16;1,66;1,62
CAGR Receitas 5 anos;10,95%;11,03%;10,00%;9,03%;7,79%;7,38%;6,37%;5,66%;5,48%
CAGR Lucros 5 anos;18,06%;13,43%;15,53%;15,94%;11,38%;8,11%;13,44%;9,98%;10,69%
