;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,27%;0,82%;1,25%;1,48%;1,27%;2,14%;1,74%;2,00%;1,97%
Div;0.58;1.65;2.06;1.91;1.77;2.06;1.56;1.44;1.33
P/L;31.35;30.72;29.98;27.41;34.28;31.73;26.65;22.57;17.68
PEG Ratio;4,54;-;-;-;-;-;-;-;-
P/VP;5,56;5,50;4,92;4,21;4,93;3,62;3,52;2,95;2,84
EV/EBITDA;30,73;15,86;15,02;14,29;17,02;14,90;12,48;10,87;10,77
EV/EBIT;118,96;25,38;23,92;23,54;28,45;26,42;20,32;17,84;17,98
P/EBITDA;25,62;13,20;12,07;11,12;14,01;11,55;9,83;8,21;8,12
P/EBIT;99,15;21,13;19,22;18,31;23,41;20,49;16,01;13,48;13,54
VPA;38,35;36,55;33,51;30,64;28,31;26,62;25,45;24,43;23,82
P/Ativo;1,95;1,94;1,65;1,40;1,77;1,31;1,26;1,08;1,07
LPA;6.8;6.55;5.5;4.71;4.07;3.03;3.36;3.19;3.82
P/SR;3,60;3,92;3,47;3,02;3,92;3,02;2,78;2,33;2,25
P/Cap. Giro;-37,12;-36,45;-28,09;-39,45;-62,76;-40,38;-19,61;-20,27;-18,86
P/Ativo Circ. Liq.;-2,11;-2,09;-1,79;-1,53;-1,90;-1,40;-1,36;-1,17;-1,15
Dív. líquida/PL;1,11;1,11;1,20;1,20;1,06;1,05;0,95;0,96;0,93
Dív. líquida/EBITDA;5,12;2,66;2,95;3,17;3,02;3,35;2,65;2,66;2,66
Dív. líquida/EBIT;19,80;4,25;4,70;5,23;5,04;5,94;4,31;4,36;4,43
PL/Ativos;0,35;0,35;0,34;0,33;0,36;0,36;0,36;0,37;0,38
Passivos/Ativos;0,65;0,65;0,66;0,67;0,64;0,64;0,64;0,63;0,62
Liq. corrente;0,58;0,58;0,56;0,70;0,71;0,67;0,52;0,58;0,55
M. Bruta;9,42%;41,68%;40,24%;39,27%;40,35%;39,92%;38,85%;38,75%;38,11%
M. EBITDA;14,05%;29,66%;28,72%;27,15%;27,96%;26,17%;28,25%;28,38%;27,73%
M. EBIT;3,63%;18,53%;18,04%;16,48%;16,73%;14,76%;17,35%;17,29%;16,62%
M. Líquida;11,48%;12,74%;11,57%;11,01%;11,42%;9,53%;10,42%;10,33%;12,73%
ROE;17,75%;17,91%;16,42%;15,36%;14,37%;11,40%;13,22%;13,08%;16,06%
ROA;6,23%;6,31%;5,51%;5,12%;5,17%;4,13%;4,73%;4,80%;6,05%
ROIC;0,84%;10,71%;9,58%;8,77%;8,67%;7,61%;9,86%;9,33%;10,79%
Giro ativos;0,54;0,49;0,48;0,47;0,45;0,43;0,45;0,46;0,47
CAGR Receitas 5 anos;9,25%;8,31%;6,12%;3,77%;2,18%;3,19%;3,59%;4,34%;2,76%
CAGR Lucros 5 anos;13,74%;10,79%;3,08%;16,07%;5,22%;14,41%;11,98%;17,46%;0,78%
