;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;2,90%;2,54%;2,25%;2,02%;1,57%;1,57%;1,69%;2,05%;1,83%
Div;2.45;2.32;2.16;2.0;1.84;1.68;1.49;1.32;1.05
P/L;51.82;27.56;26.13;27.32;32.68;135.26;28.85;17.68;28.33
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;-11,88;-13,91;-12,57;-13,15;-25,82;-16,09;-16,66;68,32;14,97
EV/EBITDA;22,57;16,24;-;-;22,55;44,22;17,97;11,08;15,95
EV/EBIT;35,68;20,91;24,38;25,39;29,60;85,72;23,40;13,51;20,06
P/EBITDA;19,95;14,55;-;-;21,45;40,44;16,62;11,01;15,71
P/EBIT;31,54;18,74;22,20;23,22;28,17;78,41;21,64;13,43;19,76
VPA;-7,12;-6,56;-7,62;-7,54;-4,53;-6,65;-5,28;0,94;3,84
P/Ativo;3,00;3,31;3,87;4,04;4,37;4,27;5,40;3,31;5,69
LPA;1.63;3.31;3.67;3.63;3.58;0.79;3.05;3.64;2.03
P/SR;2,59;2,86;3,40;3,56;4,72;5,34;3,92;3,23;3,65
P/Cap. Giro;-34,02;-46,63;-81,57;-85,30;85,50;273,20;-201,70;11,73;76,89
P/Ativo Circ. Liq.;-3,90;-4,23;-5,16;-5,40;-6,34;-5,82;-7,65;-6,85;-9,00
Dív. líquida/PL;-;-;-;-;-;-;-;0,43;0,23
Dív. líquida/EBITDA;2,61;1,69;-;-;1,09;3,77;1,35;0,07;0,24
Dív. líquida/EBIT;4,13;2,17;2,18;2,18;1,44;7,32;1,75;0,08;0,30
PL/Ativos;-0,25;-0,24;-0,31;-0,31;-0,17;-0,27;-0,32;0,05;0,38
Passivos/Ativos;1,25;1,24;1,31;1,31;1,17;1,27;1,32;0,95;0,62
Liq. corrente;0,72;0,75;0,84;0,84;1,20;1,06;0,92;2,20;1,25
M. Bruta;68,65%;69,09%;68,43%;68,43%;69,93%;67,28%;67,83%;67,92%;68,44%
M. EBITDA;12,97%;19,69%;-%;-%;22,01%;13,20%;23,56%;29,35%;23,24%
M. EBIT;8,20%;15,29%;15,33%;15,33%;16,77%;6,81%;18,10%;24,07%;18,47%
M. Líquida;4,99%;10,40%;13,03%;13,03%;14,45%;3,95%;13,58%;18,28%;12,89%
ROE;-22,93%;-50,49%;-48,13%;-48,13%;-79,02%;-11,89%;-57,75%;386,34%;52,86%
ROA;5,80%;12,00%;14,80%;14,80%;13,38%;3,16%;18,73%;18,70%;20,08%
ROIC;30,07%;53,26%;70,10%;70,10%;44,75%;15,94%;79,55%;44,19%;28,78%
Giro ativos;1,16;1,15;1,14;1,14;0,93;0,80;1,38;1,02;1,56
CAGR Receitas 5 anos;10,07%;6,39%;6,39%;6,39%;4,18%;10,02%;10,70%;11,01%;12,75%
CAGR Lucros 5 anos;5,45%;8,31%;8,31%;8,31%;-19,57%;11,72%;252,52%;15,83%;17,73%
