;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,24%;0,84%;0,78%;1,01%;0,94%;2,19%;2,32%;2,62%;2,49%
Div;0.78;2.86;2.43;2.4;3.31;5.37;4.51;3.44;3.41
P/L;31.39;31.86;33.24;30.41;49.33;9.81;11.55;11.02;7.36
PEG Ratio;56,14;-;-;-;-;-;-;-;-
P/VP;18,24;21,09;21,37;19,81;37,73;5,51;4,32;3,27;3,49
EV/EBITDA;62,74;20,83;21,11;20,04;32,07;8,11;9,03;9,17;9,81
EV/EBIT;128,83;24,59;25,22;24,23;39,26;9,78;11,30;12,40;13,29
P/EBITDA;55,05;18,71;18,83;17,15;29,08;5,77;6,11;5,23;5,42
P/EBIT;113,04;22,09;22,51;20,73;35,60;6,96;7,64;7,08;7,34
VPA;17,85;16,12;14,60;11,98;9,33;44,43;45,04;40,05;39,22
P/Ativo;3,08;3,61;3,46;2,72;4,45;0,98;0,87;0,64;0,64
LPA;10.37;10.67;9.38;7.8;7.14;24.98;16.83;11.9;18.58
P/SR;3,47;3,70;3,44;2,77;4,61;1,08;0,99;0,70;0,85
P/Cap. Giro;-60,81;-60,67;-71,27;-1.159,23;-138,13;-6.636,84;162,19;261,02;30,29
P/Ativo Circ. Liq.;-4,02;-4,69;-4,55;-3,68;-5,89;-1,26;-1,12;-0,83;-0,82
Dív. líquida/PL;2,55;2,39;2,58;3,34;3,88;2,23;2,07;2,46;2,83
Dív. líquida/EBITDA;7,69;2,12;2,27;2,89;2,99;2,34;2,92;3,94;4,40
Dív. líquida/EBIT;15,79;2,50;2,71;3,50;3,66;2,82;3,66;5,32;5,95
PL/Ativos;0,17;0,17;0,16;0,14;0,12;0,18;0,20;0,19;0,18
Passivos/Ativos;0,83;0,83;0,84;0,86;0,88;0,82;0,80;0,81;0,82
Liq. corrente;0,82;0,79;0,83;0,99;0,88;1,00;1,02;1,01;1,11
M. Bruta;48,88%;48,47%;46,67%;42,10%;42,83%;47,29%;44,89%;42,31%;44,84%
M. EBITDA;6,30%;19,77%;18,29%;16,18%;15,86%;18,78%;16,29%;13,32%;15,66%
M. EBIT;3,07%;16,74%;15,30%;13,38%;12,95%;15,57%;13,02%;9,85%;11,56%
M. Líquida;11,05%;11,61%;10,36%;9,12%;9,35%;11,06%;8,61%;6,32%;11,53%
ROE;58,12%;66,19%;64,29%;65,12%;76,50%;56,23%;37,38%;29,72%;47,37%
ROA;9,81%;11,35%;10,41%;8,94%;9,02%;9,95%;7,52%;5,79%;8,68%
ROIC;-0,18%;22,22%;20,69%;17,63%;18,25%;19,92%;14,76%;11,28%;10,11%
Giro ativos;0,89;0,98;1,00;0,98;0,97;0,90;0,87;0,92;0,75
CAGR Receitas 5 anos;5,23%;5,62%;8,13%;10,96%;10,12%;9,97%;11,48%;9,46%;6,23%
CAGR Lucros 5 anos;11,71%;16,59%;3,17%;10,48%;14,01%;12,22%;8,19%;22,52%;20,98%
