;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;2,87%;2,40%;1,22%;1,67%;4,01%;4,98%;5,54%;2,97%
Div;;1.1;1.25;0.65;0.5;0.88;2.0;1.99;2.01
P/L;15.79;12.04;17.67;22.06;22.35;-2.89;-5.49;23.37;-62.03
PEG Ratio;1,91;-;-;-;-;-;-;-;-
P/VP;2,24;2,54;3,68;4,29;2,80;2,52;2,34;1,38;2,53
EV/EBITDA;16,37;7,02;10,16;12,34;10,55;-5,42;-11,06;9,36;33,06
EV/EBIT;43,96;9,88;14,22;17,91;18,22;-4,12;-7,01;19,77;-172,55
P/EBITDA;14,11;6,17;9,17;10,99;8,35;-3,72;-8,95;7,40;28,99
P/EBIT;37,91;8,69;12,84;15,95;14,43;-2,83;-5,67;15,62;-151,30
VPA;17,16;15,08;14,15;12,45;10,69;8,67;17,16;26,11;26,60
P/Ativo;1,04;1,10;1,55;1,76;1,01;0,72;0,99;0,71;1,30
LPA;2.44;3.18;2.95;2.42;1.34;-7.56;-7.32;1.54;-1.09
P/SR;1,63;1,48;2,24;2,70;1,83;1,29;1,69;1,52;3,07
P/Cap. Giro;10,60;9,33;17,18;25,43;18,31;12,52;22,88;22,26;29,04
P/Ativo Circ. Liq.;-1,62;-1,77;-2,46;-2,70;-1,46;-1,03;-1,36;-0,91;-1,75
Dív. líquida/PL;0,36;0,35;0,40;0,53;0,74;1,15;0,55;0,37;0,36
Dív. líquida/EBITDA;2,25;0,85;0,99;1,35;2,20;-1,70;-2,11;1,97;4,07
Dív. líquida/EBIT;6,05;1,20;1,38;1,96;3,80;-1,29;-1,34;4,15;-21,25
PL/Ativos;0,47;0,43;0,42;0,41;0,36;0,28;0,42;0,51;0,51
Passivos/Ativos;0,53;0,57;0,58;0,59;0,64;0,72;0,58;0,49;0,49
Liq. corrente;1,39;1,45;1,32;1,25;1,22;1,23;1,19;1,17;1,21
M. Bruta;5,56%;20,56%;19,81%;18,37%;15,95%;11,02%;12,75%;13,22%;12,80%
M. EBITDA;11,57%;23,98%;24,44%;24,59%;21,95%;-34,61%;-18,90%;20,59%;10,58%
M. EBIT;4,31%;17,04%;17,46%;16,95%;12,70%;-45,49%;-29,80%;9,75%;-2,03%
M. Líquida;10,34%;12,29%;12,68%;12,25%;8,20%;-44,57%;-30,80%;6,52%;-4,94%
ROE;14,22%;21,11%;20,82%;19,46%;12,54%;-87,13%;-42,66%;5,91%;-4,09%
ROA;6,62%;9,12%;8,76%;7,98%;4,53%;-24,79%;-18,00%;3,03%;-2,09%
ROIC;1,44%;15,33%;14,86%;13,31%;8,45%;-39,88%;-25,91%;5,27%;-1,72%
Giro ativos;0,64;0,74;0,69;0,65;0,55;0,56;0,58;0,47;0,42
CAGR Receitas 5 anos;1,97%;0,19%;-1,59%;-3,79%;-7,83%;-7,49%;-6,23%;-6,11%;-5,33%
CAGR Lucros 5 anos;-%;14,47%;-%;-%;-%;-%;-20,50%;-%;-%
