;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;16.73;15.69;24.84;153.74;20.24;19.45;16.73;14.56;15.24
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;2,78;3,34;8,06;30,75;2,07;1,54;1,28;0,80;1,32
EV/EBITDA;12,78;14,59;19,69;117,56;14,27;12,62;8,13;5,81;9,70
EV/EBIT;13,47;15,07;20,59;128,69;17,58;16,75;10,17;7,16;11,39
P/EBITDA;13,09;14,19;19,88;116,69;15,16;14,19;9,99;5,80;9,24
P/EBIT;13,80;14,67;20,78;127,73;18,69;18,83;12,50;7,15;10,85
VPA;10,56;9,13;3,53;2,67;21,28;20,58;18,79;17,32;15,89
P/Ativo;1,25;1,84;4,33;13,68;1,01;0,85;0,72;0,38;0,67
LPA;1.76;1.94;1.14;0.53;2.17;1.63;1.44;0.95;1.37
P/SR;0,80;1,21;2,23;8,44;0,64;0,49;0,34;0,20;0,41
P/Cap. Giro;1,76;2,75;8,81;32,81;2,52;1,85;1,47;0,93;1,73
P/Ativo Circ. Liq.;-10,22;-20,23;-32,09;-109,94;-6,04;-5,03;-4,61;-2,82;-4,01
Dív. líquida/PL;-0,07;0,09;-0,08;0,23;-0,12;-0,17;-0,24;0,00;0,07
Dív. líquida/EBITDA;-0,31;0,40;-0,19;0,88;-0,90;-1,57;-1,86;0,01;0,46
Dív. líquida/EBIT;-0,32;0,41;-0,20;0,96;-1,11;-2,08;-2,33;0,01;0,54
PL/Ativos;0,45;0,55;0,54;0,44;0,49;0,56;0,56;0,48;0,51
Passivos/Ativos;0,55;0,45;0,46;0,56;0,51;0,44;0,44;0,52;0,49
Liq. corrente;5,25;3,81;2,31;1,91;1,93;2,25;2,35;1,89;1,88
M. Bruta;11,06%;13,75%;18,01%;15,40%;15,03%;15,76%;14,16%;12,80%;14,08%
M. EBITDA;6,10%;8,50%;11,23%;7,23%;4,20%;3,46%;3,44%;3,45%;4,44%
M. EBIT;5,79%;8,23%;10,74%;6,61%;3,40%;2,61%;2,75%;2,80%;3,78%
M. Líquida;4,77%;7,69%;8,98%;5,49%;3,14%;2,52%;2,05%;1,37%;2,69%
ROE;16,64%;21,28%;32,45%;20,00%;10,20%;7,91%;7,64%;5,47%;8,64%
ROA;7,48%;11,73%;17,42%;8,90%;4,99%;4,39%;4,27%;2,61%;4,41%
ROIC;10,08%;15,41%;28,91%;14,36%;9,56%;7,68%;8,43%;5,78%;7,43%
Giro ativos;1,57;1,53;1,94;1,62;1,59;1,74;2,08;1,90;1,64
CAGR Receitas 5 anos;33,76%;16,21%;15,90%;9,84%;11,31%;18,99%;23,65%;19,64%;18,74%
CAGR Lucros 5 anos;74,17%;69,19%;33,66%;9,19%;-1,85%;5,84%;16,87%;17,72%;12,74%
