;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,62%;2,27%;2,33%;2,57%;2,37%;2,61%;2,32%;2,35%;1,69%
Div;2.15;7.7;6.73;5.87;5.11;4.47;3.93;3.41;2.95
P/L;17.76;17.03;15.05;13.28;14.03;14.8;13.4;11.9;17.82
PEG Ratio;0,61;-;-;-;-;-;-;-;-
P/VP;3,10;3,30;3,00;2,70;2,74;2,41;2,73;2,61;3,36
EV/EBITDA;39,39;11,59;10,44;9,30;-;9,76;9,64;8,61;11,40
EV/EBIT;50,32;12,39;11,19;10,05;10,60;10,83;10,56;9,46;12,62
P/EBITDA;40,12;11,69;10,30;8,97;-;9,49;8,74;7,67;10,27
P/EBIT;51,25;12,50;11,05;9,69;10,24;10,54;9,57;8,42;11,36
VPA;111,89;102,98;96,24;84,55;78,68;70,95;62,16;55,65;51,82
P/Ativo;2,16;2,25;2,02;1,74;1,70;1,42;1,63;1,51;1,89
LPA;19.5;19.93;19.19;17.2;15.36;11.57;12.64;12.21;9.78
P/SR;3,52;3,48;2,98;2,50;2,71;2,58;2,28;1,99;2,48
P/Cap. Giro;5,32;5,87;5,62;5,05;5,56;4,84;6,48;6,40;10,73
P/Ativo Circ. Liq.;-4,54;-4,55;-3,91;-3,36;-3,10;-2,67;-2,80;-2,56;-3,17
Dív. líquida/PL;-0,06;-0,03;0,04;0,10;0,10;0,07;0,28;0,32;0,37
Dív. líquida/EBITDA;-0,73;-0,11;0,13;0,33;-;0,26;0,91;0,94;1,13
Dív. líquida/EBIT;-0,93;-0,11;0,14;0,36;0,36;0,29;0,99;1,03;1,25
PL/Ativos;0,70;0,68;0,67;0,64;0,62;0,59;0,60;0,58;0,56
Passivos/Ativos;0,30;0,32;0,33;0,36;0,38;0,41;0,40;0,42;0,44
Liq. corrente;4,40;4,15;3,88;3,47;3,11;2,65;2,51;2,33;1,78
M. Bruta;12,96%;51,97%;51,28%;50,53%;49,64%;48,67%;51,38%;51,59%;51,08%
M. EBITDA;8,78%;29,77%;28,92%;27,88%;-%;27,20%;26,14%;25,90%;24,19%
M. EBIT;6,87%;27,85%;26,97%;25,81%;26,42%;24,51%;23,87%;23,59%;21,86%
M. Líquida;19,83%;20,43%;19,79%;18,83%;19,30%;17,45%;17,05%;16,70%;13,94%
ROE;17,43%;19,35%;19,94%;20,34%;19,52%;16,30%;20,34%;21,94%;18,88%
ROA;12,14%;13,22%;13,40%;13,08%;12,14%;9,56%;12,18%;12,65%;10,62%
ROIC;0,82%;16,96%;17,29%;17,26%;16,27%;13,75%;16,66%;17,63%;15,06%
Giro ativos;0,61;0,65;0,68;0,69;0,63;0,55;0,71;0,76;0,76
CAGR Receitas 5 anos;4,66%;4,65%;3,90%;2,75%;1,39%;4,41%;5,90%;6,37%;5,40%
CAGR Lucros 5 anos;8,52%;8,26%;10,33%;8,47%;5,55%;10,45%;14,18%;12,75%;14,61%
