;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,82%;3,47%;3,96%;3,78%;3,82%;4,13%;3,86%;5,42%;4,78%
Div;0.72;2.85;2.77;2.7;2.62;2.53;2.46;2.38;2.3
P/L;21.59;20.56;19.24;22.27;30.38;20.8;14.1;20.3;57.32
PEG Ratio;-2,58;-;-;-;-;-;-;-;-
P/VP;2,52;2,72;2,43;2,58;2,61;2,32;2,10;1,56;1,89
EV/EBITDA;23,58;11,66;11,72;13,03;14,86;12,25;9,62;11,14;15,59
EV/EBIT;133,57;19,37;20,33;21,50;28,24;21,25;13,49;19,74;35,09
P/EBITDA;13,73;6,83;6,49;7,61;8,67;7,04;5,75;5,55;7,76
P/EBIT;77,78;11,35;11,26;12,57;16,47;12,20;8,07;9,84;17,47
VPA;34,76;30,22;28,83;27,67;26,30;26,48;30,28;28,22;25,44
P/Ativo;0,63;0,62;0,55;0,58;0,57;0,53;0,56;0,39;0,43
LPA;4.05;4.0;3.64;3.21;2.26;2.95;4.52;2.16;0.84
P/SR;3,33;3,39;3,03;2,68;3,15;3,18;3,12;1,92;2,10
P/Cap. Giro;-23,49;-17,07;-25,20;-14,79;-37,17;-18,74;-24,48;-9,61;-13,70
P/Ativo Circ. Liq.;-0,68;-0,67;-0,59;-0,63;-0,61;-0,57;-0,61;-0,42;-0,48
Dív. líquida/PL;1,80;1,92;1,96;1,84;1,86;1,72;1,41;1,57;1,91
Dív. líquida/EBITDA;9,85;4,83;5,23;5,41;6,19;5,22;3,86;5,58;7,82
Dív. líquida/EBIT;55,79;8,02;9,06;8,94;11,77;9,05;5,42;9,90;17,62
PL/Ativos;0,25;0,23;0,23;0,23;0,22;0,23;0,27;0,25;0,23
Passivos/Ativos;0,75;0,77;0,77;0,77;0,78;0,77;0,73;0,75;0,77
Liq. corrente;0,75;0,67;0,77;0,66;0,82;0,71;0,78;0,67;0,74
M. Bruta;9,13%;49,93%;46,36%;37,15%;43,53%;48,57%;44,95%;41,09%;43,05%
M. EBITDA;24,26%;49,54%;46,64%;35,21%;36,28%;45,26%;54,20%;34,65%;27,00%
M. EBIT;4,28%;29,83%;26,89%;21,33%;19,09%;26,10%;38,65%;19,54%;11,99%
M. Líquida;15,42%;16,47%;15,74%;12,04%;10,35%;15,31%;22,13%;9,47%;3,66%
ROE;11,65%;13,25%;12,64%;11,59%;8,59%;11,15%;14,92%;7,67%;3,30%
ROA;2,91%;3,03%;2,85%;2,61%;1,88%;2,54%;3,99%;1,90%;0,76%
ROIC;0,17%;7,13%;6,72%;6,18%;5,08%;6,38%;8,24%;5,46%;3,43%
Giro ativos;0,19;0,18;0,18;0,22;0,18;0,17;0,18;0,20;0,21
CAGR Receitas 5 anos;4,53%;1,45%;4,92%;3,04%;3,10%;3,01%;6,58%;6,85%;2,42%
CAGR Lucros 5 anos;-2,19%;10,72%;29,01%;-0,54%;6,79%;20,15%;7,77%;-15,95%;2,98%
