;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,13%;4,70%;5,22%;5,87%;3,66%;7,04%;5,57%;4,70%;4,16%
Div;2.1;8.1;7.44;6.89;5.85;6.0;8.3;7.9;7.15
P/L;27.06;23.73;20.39;17.98;23.37;25.23;21.79;21.32;27.45
PEG Ratio;-3,24;-;-;-;-;-;-;-;-
P/VP;25,83;19,10;15,38;12,24;15,62;9,21;18,09;15,76;14,48
EV/EBITDA;37,85;18,16;17,35;16,52;20,68;16,69;16,59;16,51;19,08
EV/EBIT;108,18;26,41;25,85;25,04;32,06;28,85;24,93;23,52;28,84
P/EBITDA;27,05;12,91;11,46;10,11;14,05;8,70;10,96;11,48;13,31
P/EBIT;77,31;18,77;17,08;15,33;21,78;15,03;16,46;16,35;20,12
VPA;7,20;9,02;9,27;9,60;10,23;9,26;8,23;10,66;11,86
P/Ativo;1,81;1,73;1,36;1,16;1,55;0,80;1,46;1,69;1,66
LPA;6.87;7.26;6.99;6.53;6.84;3.38;6.84;7.88;6.26
P/SR;9,86;9,42;8,22;7,26;10,26;6,07;7,94;9,20;9,66
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-1,81;-1,73;-1,36;-1,16;-1,55;-0,80;-1,46;-1,69;-1,66
Dív. líquida/PL;10,32;7,77;7,89;7,75;7,37;8,46;9,30;6,91;6,28
Dív. líquida/EBITDA;10,80;5,25;5,88;6,41;6,63;7,99;5,63;5,03;5,77
Dív. líquida/EBIT;30,87;7,64;8,77;9,71;10,28;13,81;8,46;7,17;8,72
PL/Ativos;0,07;0,09;0,09;0,10;0,10;0,09;0,08;0,11;0,11
Passivos/Ativos;0,92;0,90;0,91;0,90;0,88;0,91;0,91;0,89;0,88
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;21,29%;82,50%;81,83%;81,08%;81,02%;80,75%;82,25%;82,15%;82,27%
M. EBITDA;36,45%;73,00%;71,67%;71,77%;73,03%;69,81%;72,47%;80,21%;72,57%
M. EBIT;12,75%;50,20%;48,10%;47,35%;47,12%;40,40%;48,24%;56,30%;48,02%
M. Líquida;36,44%;39,70%;40,29%;40,37%;43,90%;24,07%;36,46%;43,16%;35,18%
ROE;95,47%;80,48%;75,42%;68,06%;66,83%;36,49%;83,05%;73,91%;52,75%
ROA;6,68%;7,31%;6,65%;6,47%;6,65%;3,19%;6,72%;7,94%;6,03%
ROIC;2,79%;11,00%;9,37%;8,92%;8,41%;6,25%;10,40%;11,95%;9,37%
Giro ativos;0,18;0,18;0,17;0,16;0,15;0,13;0,18;0,18;0,17
CAGR Receitas 5 anos;0,71%;0,05%;-0,87%;-1,20%;-2,64%;3,39%;4,44%;5,37%;4,77%
CAGR Lucros 5 anos;2,44%;-1,32%;1,89%;4,11%;-9,42%;8,38%;13,14%;6,36%;12,48%
