;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,73%;2,83%;4,78%;2,96%;3,33%;3,28%;2,55%;3,31%;3,08%
Div;0.64;2.48;3.57;4.57;4.41;4.18;3.86;3.58;3.3
P/L;27.35;20.26;15.57;46.35;66.88;9.76;20.78;32.04;104.95
PEG Ratio;-1,04;-;-;-;-;-;-;-;-
P/VP;1,85;1,83;1,65;3,58;3,23;1,57;2,14;1,73;2,12
EV/EBITDA;25,22;16,32;12,65;28,43;32,99;14,16;15,61;17,48;13,89
EV/EBIT;90,20;28,91;19,81;52,38;76,17;23,34;24,33;33,78;24,56
P/EBITDA;16,10;10,20;7,66;21,98;25,63;8,68;9,75;9,58;8,13
P/EBIT;57,58;18,07;11,99;40,49;59,19;14,30;15,19;18,50;14,37
VPA;47,73;47,99;45,41;43,18;40,98;81,02;70,70;62,63;50,42
P/Ativo;0,54;0,59;0,54;1,24;1,16;0,55;0,65;0,49;0,53
LPA;3.23;4.33;4.8;3.33;1.98;13.05;7.29;3.38;1.02
P/SR;4,47;4,33;2,82;6,72;6,52;3,23;3,94;2,93;2,79
P/Cap. Giro;4,91;-13,00;-10,21;-24,34;-14,82;-15,79;-7,35;-7,63;-8,16
P/Ativo Circ. Liq.;-0,77;-0,63;-0,58;-1,34;-1,24;-0,59;-0,69;-0,52;-0,57
Dív. líquida/PL;1,05;1,10;1,07;1,05;0,93;0,99;1,29;1,43;1,50
Dív. líquida/EBITDA;9,12;6,12;5,00;6,46;7,36;5,48;5,86;7,90;5,77
Dív. líquida/EBIT;32,62;10,85;7,82;11,89;16,98;9,04;9,13;15,27;10,19
PL/Ativos;0,29;0,32;0,33;0,35;0,36;0,35;0,30;0,28;0,25
Passivos/Ativos;0,69;0,68;0,67;0,65;0,64;0,65;0,70;0,72;0,75
Liq. corrente;1,59;0,55;0,54;0,60;0,44;0,66;0,36;0,48;0,50
M. Bruta;14,35%;46,20%;39,59%;36,09%;41,23%;44,34%;43,33%;39,88%;40,65%
M. EBITDA;27,79%;42,44%;36,86%;30,58%;25,45%;37,26%;40,45%;30,60%;34,29%
M. EBIT;7,77%;23,96%;23,54%;16,60%;11,02%;22,60%;25,96%;15,84%;19,40%
M. Líquida;16,36%;21,37%;18,12%;14,50%;9,75%;33,10%;18,98%;9,15%;2,66%
ROE;6,77%;9,02%;10,57%;7,72%;4,83%;16,10%;10,31%;5,39%;2,02%
ROA;1,97%;2,93%;3,48%;2,67%;1,74%;5,65%;3,13%;1,52%;0,51%
ROIC;0,01%;4,38%;5,77%;3,29%;2,60%;4,88%;5,46%;3,72%;2,91%
Giro ativos;0,12;0,14;0,19;0,18;0,18;0,17;0,16;0,17;0,19
CAGR Receitas 5 anos;4,02%;10,60%;8,42%;4,77%;2,13%;-0,38%;-0,88%;-0,01%;0,29%
CAGR Lucros 5 anos;3,91%;22,25%;43,54%;1,31%;24,93%;15,26%;2,38%;-16,39%;0,59%
