;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,22%;1,06%;0,90%;0,97%;0,68%;0,81%;0,93%;1,22%;1,35%
Div;0.56;2.18;1.97;1.79;1.66;1.54;1.42;1.3;1.18
P/L;40.67;53.39;202.96;75.27;61.32;39.67;42.5;31.04;67.65
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;3,79;3,20;3,57;2,81;6,28;4,75;4,06;2,81;2,65
EV/EBITDA;19,78;16,37;18,24;20,61;33,33;23,09;21,78;17,54;18,27
EV/EBIT;30,45;27,38;31,20;52,21;46,51;31,54;33,75;25,37;38,17
P/EBITDA;18,40;14,25;16,11;17,93;31,49;21,97;20,27;15,61;15,74
P/EBIT;28,33;23,84;27,56;45,43;43,93;30,00;31,41;22,58;32,89
VPA;67,28;64,15;61,51;65,72;38,77;39,91;37,58;38,07;33,04
P/Ativo;2,46;1,83;2,01;1,61;3,71;2,97;2,55;1,74;1,51
LPA;6.26;3.85;1.08;2.45;3.97;4.78;3.59;3.44;1.29
P/SR;4,58;3,93;4,79;4,00;7,84;5,34;4,64;3,45;2,85
P/Cap. Giro;25,55;10,42;18,90;19,19;38,45;22,45;21,96;15,27;11,69
P/Ativo Circ. Liq.;-3,07;-2,46;-2,47;-1,92;-4,54;-3,84;-3,22;-2,14;-1,90
Dív. líquida/PL;0,28;0,48;0,47;0,42;0,37;0,24;0,30;0,35;0,43
Dív. líquida/EBITDA;1,38;2,12;2,13;2,68;1,85;1,13;1,51;1,93;2,53
Dív. líquida/EBIT;2,12;3,54;3,64;6,78;2,58;1,54;2,34;2,79;5,28
PL/Ativos;0,65;0,57;0,56;0,57;0,59;0,63;0,63;0,62;0,57
Passivos/Ativos;0,35;0,43;0,44;0,43;0,41;0,37;0,37;0,38;0,43
Liq. corrente;1,96;3,08;2,33;2,04;2,10;2,43;2,27;2,48;2,67
M. Bruta;44,01%;43,17%;43,66%;43,98%;43,22%;43,55%;42,25%;41,71%;39,28%
M. EBITDA;24,89%;27,58%;29,73%;22,33%;24,91%;24,29%;22,91%;22,07%;18,09%
M. EBIT;16,16%;16,49%;17,38%;8,81%;17,85%;17,78%;14,79%;15,26%;8,66%
M. Líquida;11,26%;7,36%;2,36%;5,32%;12,79%;13,45%;10,93%;11,10%;4,21%
ROE;9,31%;6,00%;1,76%;3,73%;10,24%;11,97%;9,54%;9,04%;3,91%
ROA;6,06%;3,42%;0,99%;2,13%;6,04%;7,49%;5,99%;5,59%;2,23%
ROIC;8,07%;7,34%;7,25%;3,46%;7,85%;9,84%;7,94%;7,42%;3,55%
Giro ativos;0,54;0,46;0,42;0,40;0,47;0,56;0,55;0,50;0,53
CAGR Receitas 5 anos;13,06%;11,60%;11,90%;6,78%;10,37%;11,39%;11,77%;13,18%;13,14%
CAGR Lucros 5 anos;4,46%;-18,13%;17,27%;29,11%;24,72%;18,62%;12,70%;-4,18%;16,66%
