;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,45%;1,61%;1,44%;1,74%;1,68%;2,71%;2,82%;2,50%;1,44%
Div;2.46;1.84;1.7;1.7;1.04;1.0;0.96;0.75;0.62
P/L;21.98;11.21;7.71;4.37;3.77;14.08;10.93;5.48;12.57
PEG Ratio;-0,61;-;-;-;-;-;-;-;-
P/VP;2,75;1,93;2,13;2,08;1,92;1,79;1,80;1,75;3,05
EV/EBITDA;35,20;7,84;5,32;3,22;3,03;8,43;6,37;3,98;8,46
EV/EBIT;107,45;9,68;6,02;3,46;3,27;11,86;8,40;4,70;10,82
P/EBITDA;31,38;6,85;5,06;3,07;2,62;6,89;5,54;3,34;7,47
P/EBIT;95,80;8,45;5,73;3,30;2,84;9,69;7,32;3,95;9,55
VPA;61,60;59,12;55,41;47,01;32,33;20,66;18,92;17,14;14,14
P/Ativo;1,55;1,15;1,27;1,19;0,97;0,84;0,89;0,90;1,49
LPA;7.72;10.17;15.32;22.34;16.48;2.62;3.11;5.48;3.43
P/SR;1,40;0,98;1,01;0,76;0,66;0,81;0,70;0,58;1,07
P/Cap. Giro;6,01;5,25;4,24;3,01;2,59;2,59;2,26;2,29;3,87
P/Ativo Circ. Liq.;-2,51;-1,81;-2,33;-2,59;-2,15;-1,55;-1,82;-1,88;-3,05
Dív. líquida/PL;0,33;0,28;0,11;0,10;0,30;0,40;0,27;0,34;0,40
Dív. líquida/EBITDA;3,82;0,99;0,25;0,15;0,40;1,54;0,82;0,64;0,99
Dív. líquida/EBIT;11,65;1,22;0,29;0,16;0,44;2,17;1,09;0,76;1,27
PL/Ativos;0,56;0,60;0,59;0,57;0,50;0,47;0,49;0,51;0,49
Passivos/Ativos;0,43;0,39;0,39;0,41;0,48;0,51;0,49;0,47;0,49
Liq. corrente;3,11;2,53;2,91;3,76;3,10;3,38;4,22;3,96;4,04
M. Bruta;13,07%;15,98%;21,53%;27,48%;29,13%;14,94%;14,63%;19,65%;16,59%
M. EBITDA;4,48%;14,36%;19,86%;24,69%;25,06%;11,73%;12,65%;17,46%;14,35%
M. EBIT;1,47%;11,63%;17,53%;22,97%;23,18%;8,34%;9,58%;14,77%;11,21%
M. Líquida;6,39%;8,76%;13,04%;17,35%;17,46%;5,74%;6,41%;10,64%;8,52%
ROE;12,53%;17,20%;27,64%;47,51%;50,98%;12,68%;16,47%;31,98%;24,25%
ROA;7,06%;10,29%;16,44%;27,28%;25,65%;5,94%;8,11%;16,34%;11,85%
ROIC;-0,27%;13,20%;21,31%;35,45%;35,11%;8,94%;11,82%;21,90%;16,40%
Giro ativos;1,10;1,17;1,26;1,57;1,47;1,04;1,26;1,53;1,39
CAGR Receitas 5 anos;10,88%;9,72%;18,47%;18,81%;4,80%;3,63%;9,90%;5,52%;-0,56%
CAGR Lucros 5 anos;18,03%;14,26%;36,58%;53,10%;-%;33,71%;46,06%;37,80%;6,56%
