;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,58%;2,18%;3,41%;3,09%;2,34%;2,86%;2,50%;2,82%;1,64%
Div;0.75;2.14;2.64;2.4;2.18;2.08;1.98;1.78;1.6
P/L;13.18;11.41;12.84;10.18;13.23;11.38;14.32;9.96;18.36
PEG Ratio;0,23;-;-;-;-;-;-;-;-
P/VP;1,31;1,12;0,98;1,07;1,24;0,98;1,18;0,97;1,62
EV/EBITDA;-54,02;-14,43;-17,87;-30,92;-40,97;-;-25,73;-26,58;-27,98
EV/EBIT;-62,12;-15,13;-19,68;-38,26;-61,07;-61,87;-34,15;-34,39;-36,42
P/EBITDA;9,81;2,17;2,43;4,49;7,19;-;5,30;4,52;7,73
P/EBIT;11,28;2,28;2,68;5,56;10,72;7,84;7,04;5,85;10,06
VPA;98,96;87,70;78,82;72,18;74,77;74,26;67,19;65,18;60,18
P/Ativo;0,10;0,08;0,08;0,09;0,11;0,08;0,12;0,10;0,15
LPA;9.87;8.6;6.03;7.62;7.03;6.4;5.52;6.33;5.32
P/SR;2,28;1,29;1,27;1,98;2,83;2,13;2,19;1,82;3,05
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,10;-0,08;-0,08;-0,09;-0,11;-0,08;-0,12;-0,10;-0,15
Dív. líquida/PL;-8,55;-8,55;-8,21;-8,47;-8,33;-8,71;-6,89;-6,66;-7,49
Dív. líquida/EBITDA;-63,83;-16,60;-20,30;-35,41;-48,17;-;-31,03;-31,10;-35,71
Dív. líquida/EBIT;-73,40;-17,40;-22,35;-43,82;-71,80;-69,71;-41,19;-40,24;-46,47
PL/Ativos;0,07;0,07;0,08;0,08;0,09;0,08;0,10;0,10;0,09
Passivos/Ativos;0,93;0,93;0,92;0,92;0,91;0,92;0,90;0,90;0,91
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
M. EBITDA;23,22%;59,19%;52,37%;44,02%;39,33%;-%;41,31%;40,35%;39,46%
M. EBIT;20,19%;56,45%;47,57%;35,58%;26,38%;27,11%;31,12%;31,18%;30,32%
M. Líquida;17,29%;11,26%;9,92%;19,43%;21,38%;18,69%;15,30%;18,32%;16,61%
ROE;9,97%;9,80%;7,65%;10,56%;9,40%;8,61%;8,22%;9,72%;8,84%
ROA;0,74%;0,70%;0,61%;0,88%;0,82%;0,72%;0,82%;0,98%;0,83%
ROIC;6,44%;30,22%;28,52%;15,17%;9,28%;8,32%;13,72%;12,40%;10,49%
Giro ativos;0,04;0,06;0,06;0,05;0,04;0,04;0,05;0,05;0,05
CAGR Receitas 5 anos;10,93%;6,96%;2,90%;2,50%;2,34%;4,25%;5,01%;3,23%;0,82%
CAGR Lucros 5 anos;3,69%;-5,60%;5,17%;4,67%;5,54%;2,75%;5,16%;1,32%;2,63%
