;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,73%;1,77%;1,44%;1,36%;1,21%;1,37%;1,58%;1,70%;0,86%
Div;1.02;3.91;3.5;;3.04;;3.0;2.73;1.96
P/L;-296.36;23.12;-622.49;;23.56;;10.54;13.23;29.25
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;3,51;4,10;5,25;3,65;3,46;3,48;2,88;3,82;6,49
EV/EBITDA;45,31;16,68;46,17;50,75;17,57;-312,43;10,20;13,20;20,17
EV/EBIT;108,20;19,44;70,09;79,46;19,48;-105,19;11,02;15,19;22,25
P/EBITDA;30,74;12,89;36,10;40,97;14,50;-242,83;7,43;9,92;16,77
P/EBIT;73,41;15,03;54,80;64,14;16,07;-81,76;8,02;11,41;18,50
VPA;39,54;53,91;46,02;63,57;72,51;62,93;65,78;42,09;35,23
P/Ativo;1,11;1,55;1,79;1,65;1,74;1,55;1,24;1,48;2,40
LPA;-0.47;9.56;-0.39;-0.22;10.65;-0.06;18.01;12.16;7.81
P/SR;2,36;4,01;4,68;4,85;5,46;5,06;4,46;4,02;6,11
P/Cap. Giro;-75,67;67,95;83,74;67,79;26,51;36,02;69,60;21,24;83,98
P/Ativo Circ. Liq.;-1,35;-1,82;-2,09;-1,90;-1,96;-1,77;-1,42;-1,79;-2,91
Dív. líquida/PL;1,66;1,20;1,47;0,87;0,73;1,00;1,08;1,27;1,31
Dív. líquida/EBITDA;14,57;3,79;10,07;9,79;3,07;-69,60;2,77;3,29;3,40
Dív. líquida/EBIT;34,78;4,41;15,29;15,32;3,41;-23,43;3,00;3,78;3,75
PL/Ativos;0,32;0,38;0,34;0,45;0,50;0,44;0,43;0,39;0,37
Passivos/Ativos;0,68;0,62;0,66;0,55;0,50;0,56;0,57;0,61;0,63
Liq. corrente;0,92;1,19;1,18;1,23;2,40;1,51;1,16;1,70;1,20
M. Bruta;52,06%;50,37%;50,45%;53,37%;51,84%;49,76%;50,27%;50,29%;48,07%
M. EBITDA;7,69%;31,09%;12,95%;11,84%;37,69%;-2,08%;60,06%;40,53%;36,42%
M. EBIT;3,22%;26,68%;8,53%;7,56%;33,99%;-6,19%;55,60%;35,22%;33,00%
M. Líquida;-0,80%;17,34%;-0,75%;-0,46%;23,19%;-0,14%;42,33%;30,39%;20,88%
ROE;-1,18%;17,73%;-0,84%;-0,34%;14,69%;-0,10%;27,38%;28,88%;22,18%
ROA;-0,38%;6,72%;-0,29%;-0,16%;7,37%;-0,04%;11,75%;11,21%;8,22%
ROIC;1,51%;10,18%;1,84%;1,61%;10,06%;-6,10%;14,62%;14,58%;11,57%
Giro ativos;0,47;0,39;0,38;0,34;0,32;0,31;0,28;0,37;0,39
CAGR Receitas 5 anos;4,18%;4,51%;3,80%;5,64%;6,72%;10,77%;22,08%;22,50%;14,47%
CAGR Lucros 5 anos;-12,85%;-%;-%;13,63%;-%;12,08%;42,81%;27,99%;13,52%
