;2025;2024;2023
D.Y;1,11%;3,49%;-%
Div;0.43;1.87;
P/L;27.11;87.87;
PEG Ratio;0,32;-;-
P/VP;1,10;1,61;-
EV/EBITDA;11,72;16,83;1,48
EV/EBIT;84,70;42,56;2,15
P/EBITDA;7,08;11,57;-
P/EBIT;51,22;29,26;-
VPA;35,30;33,36;23,65
P/Ativo;0,45;0,64;-
LPA;1.43;0.61;3.17
P/SR;0,65;1,33;-
P/Cap. Giro;5,73;10,30;-
P/Ativo Circ. Liq.;-0,58;-0,83;-
Dív. líquida/PL;0,72;0,73;0,45
Dív. líquida/EBITDA;4,63;5,26;1,48
Dív. líquida/EBIT;33,48;13,30;2,15
PL/Ativos;0,40;0,40;0,44
Passivos/Ativos;0,60;0,60;0,56
Liq. corrente;1,48;1,37;1,52
M. Bruta;19,60%;19,87%;25,25%
M. EBITDA;9,19%;11,47%;15,36%
M. EBIT;1,27%;4,54%;10,56%
M. Líquida;2,40%;1,51%;6,82%
ROE;4,06%;1,84%;13,40%
ROA;1,64%;0,73%;5,87%
ROIC;0,42%;2,32%;9,74%
Giro ativos;0,68;0,48;0,86
CAGR Receitas 5 anos;-%;-%;-%
CAGR Lucros 5 anos;-%;-%;-%
