;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;3,30%;4,06%;3,28%;4,23%;1,58%;1,56%;1,63%;2,15%;1,43%
Div;2.47;3.27;3.22;3.18;2.98;2.78;2.7;2.58;2.43
P/L;26.42;42.12;-48.54;10.86;19.42;23.64;26.36;29.89;21.2
PEG Ratio;-0,23;-;-;-;-;-;-;-;-
P/VP;1,29;1,42;1,66;1,18;2,66;2,59;2,76;2,31;3,13
EV/EBITDA;23,35;13,70;26,95;18,03;-;15,01;14,34;12,11;12,95
EV/EBIT;74,78;24,61;118,66;49,29;20,03;20,72;20,09;16,92;16,68
P/EBITDA;15,09;9,32;18,63;11,17;-;13,64;12,71;9,96;11,54
P/EBIT;48,33;16,76;82,04;30,53;17,62;18,83;17,81;13,91;14,87
VPA;57,96;56,49;58,95;63,48;70,98;69,07;60,10;51,87;54,14
P/Ativo;0,53;0,57;0,64;0,46;1,09;1,21;1,22;0,93;1,36
LPA;2.83;1.91;-2.02;6.92;9.71;7.55;6.29;4.01;8.0
P/SR;0,76;0,81;0,95;0,68;1,97;1,97;1,74;1,29;2,01
P/Cap. Giro;18,16;8,48;13,29;8,18;-127,83;19,36;494,98;31,86;155,36
P/Ativo Circ. Liq.;-0,76;-0,80;-0,91;-0,68;-1,57;-1,63;-1,56;-1,22;-1,79
Dív. líquida/PL;0,71;0,67;0,74;0,73;0,36;0,26;0,35;0,50;0,38
Dív. líquida/EBITDA;8,26;4,37;8,32;6,86;-;1,37;1,62;2,15;1,41
Dív. líquida/EBIT;26,46;7,86;36,62;18,76;2,41;1,89;2,28;3,01;1,81
PL/Ativos;0,41;0,40;0,38;0,39;0,41;0,47;0,44;0,40;0,43
Passivos/Ativos;0,59;0,60;0,62;0,61;0,59;0,53;0,56;0,60;0,57
Liq. corrente;1,11;1,30;1,19;1,21;0,97;1,32;1,01;1,14;1,04
M. Bruta;7,54%;29,38%;24,92%;25,28%;33,26%;34,18%;33,27%;34,69%;36,85%
M. EBITDA;5,06%;8,65%;5,13%;6,07%;-%;14,43%;13,72%;12,99%;17,39%
M. EBIT;1,58%;4,81%;1,16%;2,22%;11,20%;10,45%;9,79%;9,30%;13,50%
M. Líquida;2,89%;1,92%;-1,97%;6,24%;10,16%;8,33%;6,62%;4,33%;9,47%
ROE;4,89%;3,38%;-3,43%;10,89%;13,68%;10,94%;10,46%;7,72%;14,78%
ROA;2,02%;1,35%;-1,31%;4,24%;5,63%;5,14%;4,64%;3,12%;6,43%
ROIC;0,75%;4,69%;0,55%;1,42%;10,58%;9,65%;9,91%;7,34%;11,97%
Giro ativos;0,70;0,70;0,67;0,68;0,55;0,62;0,70;0,72;0,68
CAGR Receitas 5 anos;1,25%;2,45%;5,50%;6,14%;5,40%;4,96%;5,13%;5,29%;4,34%
CAGR Lucros 5 anos;-20,99%;-%;-2,84%;10,38%;6,02%;4,67%;4,30%;6,79%;7,49%
