;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;4,39%;3,11%;2,31%;2,59%;1,37%;1,23%;1,36%;2,09%;1,26%
Div;2.81;2.76;2.6;2.36;2.13;1.88;1.64;1.4;1.2
P/L;24.08;23.92;18.33;11.37;17.03;31.16;24.13;12.96;17.22
PEG Ratio;-0,49;-;-;-;-;-;-;-;-
P/VP;1,69;2,25;2,96;2,65;4,82;6,10;5,00;2,90;4,28
EV/EBITDA;17,43;12,21;10,55;7,26;-;19,44;14,66;6,66;10,44
EV/EBIT;141,17;20,52;16,24;10,56;16,58;27,38;20,33;8,16;12,55
P/EBITDA;18,04;12,72;10,23;6,54;-;20,21;15,45;7,29;11,51
P/EBIT;146,11;21,37;15,76;9,51;15,82;28,47;21,43;8,93;13,84
VPA;38,02;39,42;37,96;34,37;32,20;25,07;24,20;23,08;22,19
P/Ativo;1,24;1,72;2,14;1,63;2,97;4,97;4,26;2,46;3,80
LPA;2.66;3.71;6.13;8.02;9.11;4.91;5.01;5.17;5.51
P/SR;2,38;3,41;3,77;2,64;5,00;7,57;6,10;3,08;4,76
P/Cap. Giro;5,71;5,21;8,10;7,24;11,56;13,58;11,07;6,35;7,75
P/Ativo Circ. Liq.;-1,97;-2,88;-3,43;-2,57;-4,46;-9,10;-7,91;-4,64;-8,97
Dív. líquida/PL;-0,06;-0,09;0,09;0,29;0,23;-0,23;-0,26;-0,25;-0,40
Dív. líquida/EBITDA;-0,61;-0,51;0,32;0,72;-;-0,78;-0,79;-0,63;-1,07
Dív. líquida/EBIT;-4,94;-0,85;0,49;1,05;0,75;-1,09;-1,10;-0,77;-1,29
PL/Ativos;0,73;0,76;0,72;0,62;0,62;0,82;0,85;0,85;0,89
Passivos/Ativos;0,27;0,24;0,28;0,38;0,38;0,18;0,15;0,15;0,11
Liq. corrente;2,39;5,54;3,33;2,63;4,35;5,17;5,97;5,80;6,79
M. Bruta;41,49%;41,19%;44,16%;47,48%;49,18%;48,06%;47,49%;50,43%;50,44%
M. EBITDA;13,18%;26,83%;36,90%;40,44%;-%;37,43%;39,46%;42,17%;41,40%
M. EBIT;1,63%;15,97%;23,95%;27,79%;31,57%;26,58%;28,46%;34,44%;34,43%
M. Líquida;9,88%;14,27%;20,59%;23,25%;29,33%;24,28%;25,28%;23,74%;27,67%
ROE;7,01%;9,41%;16,16%;23,32%;28,29%;19,57%;20,71%;22,42%;24,85%
ROA;5,14%;7,20%;11,66%;14,37%;17,44%;15,96%;17,64%;19,02%;22,09%
ROIC;-0,03%;8,55%;14,20%;17,28%;20,08%;19,57%;20,71%;22,42%;24,85%
Giro ativos;0,52;0,50;0,57;0,62;0,59;0,66;0,70;0,80;0,80
CAGR Receitas 5 anos;4,35%;4,29%;8,48%;9,21%;0,59%;8,06%;16,64%;18,41%;18,31%
CAGR Lucros 5 anos;-6,93%;1,36%;4,77%;8,53%;0,41%;13,28%;26,99%;37,98%;34,44%
