;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;1,54%;2,51%;2,74%;1,90%;2,54%;2,39%;3,07%;1,45%
Div;;1.0;0.96;0.9;0.88;0.88;0.86;0.72;0.56
P/L;8.67;7.36;7.08;4.84;5.85;15.09;6.21;6.04;15.62
PEG Ratio;0,65;-;-;-;-;-;-;-;-
P/VP;1,77;1,52;1,12;1,12;1,79;1,60;1,54;1,15;2,12
EV/EBITDA;11,37;2,61;1,15;1,11;2,85;-;2,61;3,42;6,46
EV/EBIT;16,16;2,84;1,30;1,22;3,03;3,83;2,78;3,66;6,89
P/EBITDA;18,13;4,31;3,77;2,94;3,84;-;3,89;3,64;7,33
P/EBIT;25,78;4,69;4,24;3,22;4,09;8,56;4,15;3,90;7,81
VPA;47,38;42,70;34,17;29,38;25,92;21,76;23,35;20,42;18,19
P/Ativo;0,26;0,21;0,13;0,14;0,26;0,21;0,22;0,16;0,32
LPA;9.7;8.83;5.4;6.79;7.93;2.3;5.8;3.88;2.47
P/SR;5,18;1,04;0,74;0,82;1,55;1,23;1,20;0,92;1,81
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,26;-0,21;-0,13;-0,14;-0,26;-0,21;-0,22;-0,16;-0,32
Dív. líquida/PL;-0,66;-0,60;-0,78;-0,69;-0,46;-0,88;-0,51;-0,07;-0,25
Dív. líquida/EBITDA;-6,77;-1,70;-2,62;-1,83;-1,00;-;-1,28;-0,22;-0,87
Dív. líquida/EBIT;-9,62;-1,85;-2,95;-2,00;-1,06;-4,72;-1,36;-0,24;-0,93
PL/Ativos;0,15;0,14;0,12;0,12;0,14;0,13;0,14;0,14;0,15
Passivos/Ativos;0,85;0,86;0,88;0,88;0,86;0,87;0,86;0,86;0,85
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
M. EBITDA;28,59%;24,26%;19,62%;27,92%;40,37%;-%;30,72%;25,37%;24,68%
M. EBIT;20,11%;22,27%;17,44%;25,53%;37,89%;14,38%;28,84%;23,71%;23,16%
M. Líquida;59,82%;14,18%;10,46%;16,97%;26,53%;8,15%;19,25%;15,29%;11,59%
ROE;20,46%;20,67%;15,80%;23,10%;30,60%;10,57%;24,83%;19,01%;13,59%
ROA;2,99%;2,87%;1,87%;2,84%;4,36%;1,40%;3,57%;2,61%;2,02%
ROIC;0,43%;17,72%;14,16%;18,48%;22,38%;9,54%;17,54%;11,93%;9,27%
Giro ativos;0,05;0,20;0,18;0,17;0,16;0,17;0,19;0,17;0,17
CAGR Receitas 5 anos;4,43%;2,84%;0,98%;0,82%;3,88%;8,86%;9,09%;9,12%;9,43%
CAGR Lucros 5 anos;-1,36%;-4,31%;9,28%;13,40%;-8,96%;12,18%;7,11%;-1,80%;3,56%
