;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,48%;0,90%;1,02%;1,16%;0,97%;0,96%;1,02%;1,23%;1,13%
Div;1.7;3.24;3.06;2.84;2.59;2.36;2.14;1.93;1.75
P/L;45.96;45.88;35.96;39.27;50.63;57.59;37.73;16.51;56.81
PEG Ratio;2,27;-;-;-;-;-;-;-;-
P/VP;6,21;6,66;6,12;5,57;6,79;7,04;6,14;5,00;5,81
EV/EBITDA;88,98;32,24;26,33;28,17;33,75;37,26;25,53;21,05;23,06
EV/EBIT;281,26;41,93;33,70;38,65;48,40;52,74;33,28;27,51;30,24
P/EBITDA;81,04;30,23;24,21;25,15;30,86;33,29;23,53;19,05;21,42
P/EBIT;256,17;39,33;30,99;34,51;44,26;47,13;30,68;24,90;28,09
VPA;56,97;54,10;48,92;43,88;39,41;34,82;34,21;31,35;26,63
P/Ativo;2,87;3,20;2,85;2,51;2,92;2,68;2,61;2,15;2,61
LPA;7.7;7.85;8.33;6.23;5.28;4.26;5.56;9.5;2.73
P/SR;5,55;6,08;5,55;5,02;5,90;6,42;5,28;4,31;4,66
P/Cap. Giro;21,48;18,99;24,76;23,31;18,46;19,74;11,81;11,91;12,85
P/Ativo Circ. Liq.;-4,06;-4,88;-4,16;-3,48;-4,10;-3,74;-4,11;-3,35;-4,08
Dív. líquida/PL;0,61;0,44;0,53;0,67;0,64;0,84;0,52;0,53;0,44
Dív. líquida/EBITDA;7,94;2,00;2,11;3,02;2,89;3,96;2,00;2,00;1,64
Dív. líquida/EBIT;25,10;2,61;2,71;4,14;4,15;5,61;2,60;2,61;2,15
PL/Ativos;0,46;0,48;0,47;0,45;0,43;0,38;0,42;0,43;0,45
Passivos/Ativos;0,54;0,52;0,53;0,55;0,57;0,62;0,58;0,57;0,55
Liq. corrente;1,85;1,95;1,58;1,63;2,20;1,93;2,51;2,02;2,29
M. Bruta;64,03%;63,91%;63,70%;62,76%;64,11%;63,11%;65,14%;65,72%;65,73%
M. EBITDA;6,85%;20,10%;22,93%;19,95%;19,12%;19,27%;22,44%;22,64%;21,74%
M. EBIT;2,17%;15,45%;17,92%;14,54%;13,33%;13,62%;17,21%;17,32%;16,58%
M. Líquida;12,07%;13,25%;15,44%;12,78%;11,66%;11,14%;13,99%;26,12%;8,20%
ROE;13,51%;14,51%;17,02%;14,19%;13,40%;12,22%;16,26%;30,29%;10,23%
ROA;6,25%;6,97%;7,93%;6,39%;5,76%;4,66%;6,90%;13,05%;4,60%
ROIC;0,35%;8,74%;10,02%;7,95%;7,29%;5,91%;8,72%;5,37%;5,93%
Giro ativos;0,52;0,53;0,51;0,50;0,49;0,42;0,49;0,50;0,56
CAGR Receitas 5 anos;8,71%;8,55%;8,19%;8,60%;7,61%;9,00%;8,56%;7,53%;6,39%
CAGR Lucros 5 anos;7,52%;-2,29%;18,25%;3,90%;2,13%;32,24%;28,71%;-4,71%;4,13%
