;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,00%;3,02%;2,68%;2,95%;1,47%;1,26%;3,64%;2,92%;2,00%
Div;0.47;1.73;1.64;1.52;0.68;0.57;1.97;1.64;1.64
P/L;-4.44;10.37;13.76;-63.57;10.0;-10.32;48.25;10.85;11.29
PEG Ratio;0,01;-;-;-;-;-;-;-;-
P/VP;0,90;0,89;0,99;0,88;0,75;0,79;0,87;0,90;1,36
EV/EBITDA;10,34;6,60;8,46;19,43;7,23;-;12,35;8,50;11,12
EV/EBIT;23,24;9,42;12,39;90,94;11,06;-46,71;26,52;12,93;16,49
P/EBITDA;6,56;4,57;6,00;12,65;4,39;-;7,14;4,78;6,88
P/EBIT;14,75;6,52;8,78;59,24;6,71;-26,51;15,33;7,27;10,20
VPA;52,24;64,45;61,87;58,67;61,83;57,07;62,02;62,60;60,25
P/Ativo;0,41;0,45;0,50;0,43;0,36;0,36;0,40;0,40;0,58
LPA;-10.58;5.53;4.45;-0.81;4.63;-4.38;1.12;5.17;7.27
P/SR;0,73;1,00;1,12;1,04;0,98;1,01;1,10;1,13;1,61
P/Cap. Giro;-4,39;-59,17;-10,49;-15,11;-11,92;-6,57;-7,72;-7,90;-14,61
P/Ativo Circ. Liq.;-0,47;-0,50;-0,56;-0,48;-0,40;-0,39;-0,44;-0,44;-0,63
Dív. líquida/PL;0,52;0,40;0,41;0,47;0,49;0,60;0,63;0,70;0,84
Dív. líquida/EBITDA;3,78;2,03;2,46;6,77;2,85;-;5,21;3,72;4,24
Dív. líquida/EBIT;8,49;2,90;3,60;31,70;4,35;-20,20;11,19;5,66;6,29
PL/Ativos;0,45;0,50;0,50;0,49;0,49;0,45;0,46;0,45;0,43
Passivos/Ativos;0,54;0,49;0,50;0,51;0,51;0,55;0,54;0,55;0,57
Liq. corrente;0,60;0,94;0,70;0,78;0,77;0,62;0,59;0,64;0,64
M. Bruta;34,34%;38,99%;37,33%;34,16%;39,43%;39,03%;39,71%;38,86%;43,32%
M. EBITDA;11,18%;21,94%;18,59%;8,23%;22,30%;-%;15,44%;23,55%;23,34%
M. EBIT;4,97%;15,36%;12,70%;1,76%;14,59%;-3,83%;7,19%;15,47%;15,75%
M. Líquida;-16,52%;9,65%;8,11%;-1,64%;9,78%;-9,83%;2,28%;10,37%;14,23%
ROE;-20,24%;8,57%;7,19%;-1,38%;7,50%;-7,67%;1,80%;8,27%;12,06%
ROA;-9,14%;4,31%;3,60%;-0,68%;3,64%;-3,47%;0,84%;3,71%;5,18%
ROIC;1,73%;7,49%;6,13%;0,33%;6,17%;-3,26%;2,35%;6,00%;6,29%
Giro ativos;0,55;0,45;0,44;0,41;0,37;0,35;0,37;0,36;0,36
CAGR Receitas 5 anos;1,91%;1,67%;-0,55%;16,04%;22,03%;20,60%;20,69%;22,95%;6,80%
CAGR Lucros 5 anos;35,95%;-3,20%;-%;-8,80%;-%;-14,01%;14,50%;28,72%;18,70%
