;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;5,92%;3,46%;2,94%;-%;-%;-%;-%;-%
Div;;75.03;35.0;18.52;;;;;
P/L;40.33;47.99;44.58;43.98;58.09;65.54;38.49;19.91;32.61
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;-7,77;-11,30;-28,31;-9,09;-12,09;-8,48;-10,36;-9,92;-4,84
EV/EBITDA;22,44;23,36;22,95;20,82;25,09;23,90;20,51;15,99;15,67
EV/EBIT;24,39;25,62;25,15;23,20;28,45;27,69;23,63;17,43;17,63
P/EBITDA;16,48;18,51;17,79;13,98;17,53;16,44;13,54;9,98;8,81
P/EBIT;17,91;20,30;19,50;15,57;19,88;19,04;15,60;10,88;9,91
VPA;-171,99;-112,16;-35,73;-69,25;-52,62;-72,97;-54,04;-34,28;-56,80
P/Ativo;3,28;2,78;2,81;1,89;1,83;1,83;1,84;1,47;1,43
LPA;33.13;26.41;22.69;14.32;10.95;9.44;14.55;17.08;8.42
P/SR;8,52;8,95;8,53;6,32;7,35;6,60;5,74;4,71;4,07
P/Cap. Giro;15,58;19,26;10,89;8,12;6,57;6,30;9,01;6,51;11,30
P/Ativo Circ. Liq.;-4,73;-4,57;-4,24;-2,75;-2,87;-2,95;-2,63;-2,10;-1,82
Dív. líquida/PL;-;-;-;-;-;-;-;-;-
Dív. líquida/EBITDA;5,96;4,85;5,16;6,84;7,56;7,46;6,97;6,01;6,86
Dív. líquida/EBIT;6,48;5,32;5,65;7,62;8,57;8,64;8,03;6,55;7,72
PL/Ativos;-0,42;-0,25;-0,10;-0,21;-0,15;-0,22;-0,18;-0,15;-0,30
Passivos/Ativos;1,42;1,25;1,10;1,21;1,15;1,22;1,18;1,15;1,30
Liq. corrente;3,21;1,58;4,27;3,96;4,23;4,31;3,16;4,06;2,45
M. Bruta;60,14%;58,84%;58,34%;57,08%;52,38%;51,87%;53,78%;57,12%;56,63%
M. EBITDA;51,69%;48,35%;47,94%;45,20%;41,93%;40,15%;42,41%;47,15%;46,21%
M. EBIT;47,57%;44,09%;43,74%;40,58%;36,97%;34,67%;36,80%;43,27%;41,09%
M. Líquida;21,13%;18,65%;19,13%;14,37%;12,65%;10,07%;14,91%;23,64%;12,49%
ROE;-19,26%;-23,55%;-63,51%;-20,67%;-20,82%;-12,94%;-26,92%;-49,82%;-14,83%
ROA;8,15%;5,79%;6,31%;4,31%;3,14%;2,79%;4,79%;7,39%;4,39%
ROIC;17,93%;16,14%;13,86%;12,12%;10,19%;10,49%;12,14%;14,68%;13,97%
Giro ativos;0,39;0,31;0,33;0,30;0,25;0,28;0,32;0,31;0,35
CAGR Receitas 5 anos;8,74%;11,56%;9,15%;8,63%;13,52%;17,09%;14,64%;15,56%;21,33%
CAGR Lucros 5 anos;14,01%;6,29%;7,73%;3,11%;9,51%;37,62%;48,72%;13,16%;28,07%
