;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;29.74;26.46;23.85;25.89;45.77;35.97;31.42;22.38;28.25
PEG Ratio;-2,23;-;-;-;-;-;-;-;-
P/VP;2,30;2,27;2,29;2,44;2,67;4,48;4,66;3,35;3,30
EV/EBITDA;46,33;18,13;17,54;17,13;24,10;24,26;21,91;15,17;17,14
EV/EBIT;110,01;23,78;22,89;24,50;38,46;30,13;26,86;19,26;23,18
P/EBITDA;42,80;16,60;15,62;14,67;20,46;24,24;20,83;14,03;14,82
P/EBIT;101,63;21,77;20,39;20,98;32,65;30,11;25,55;17,81;20,05
VPA;224,93;204,46;194,82;164,03;163,37;87,54;74,44;61,80;54,95
P/Ativo;1,58;1,53;1,45;1,36;1,41;2,84;2,76;1,96;1,67
LPA;17.42;17.54;18.71;15.45;9.54;10.9;11.03;9.25;6.41
P/SR;4,05;3,82;3,75;3,46;4,42;4,68;3,99;2,57;2,47
P/Cap. Giro;17,13;12,88;17,38;17,03;21,89;15,03;22,96;18,98;13,62
P/Ativo Circ. Liq.;-2,00;-1,93;-1,83;-1,66;-1,70;-4,30;-3,87;-2,77;-2,26
Dív. líquida/PL;0,19;0,21;0,28;0,41;0,48;0,00;0,24;0,27;0,51
Dív. líquida/EBITDA;3,53;1,53;1,92;2,46;3,64;0,01;1,07;1,14;2,31
Dív. líquida/EBIT;8,38;2,01;2,51;3,51;5,81;0,02;1,32;1,44;3,13
PL/Ativos;0,69;0,67;0,63;0,56;0,53;0,63;0,59;0,59;0,51
Passivos/Ativos;0,31;0,33;0,36;0,44;0,47;0,37;0,41;0,41;0,49
Liq. corrente;1,79;2,33;1,69;1,78;1,62;2,26;1,72;1,55;1,87
M. Bruta;10,70%;42,94%;43,29%;41,72%;39,91%;38,26%;39,30%;38,28%;37,63%
M. EBITDA;9,46%;23,03%;24,00%;23,59%;21,59%;19,32%;19,17%;18,35%;16,63%
M. EBIT;3,98%;17,56%;18,39%;16,49%;13,53%;15,56%;15,64%;14,45%;12,29%
M. Líquida;13,62%;14,45%;15,72%;13,37%;9,65%;13,02%;12,72%;11,50%;8,73%
ROE;7,74%;8,58%;9,61%;9,42%;5,84%;12,45%;14,82%;14,97%;11,67%
ROA;5,32%;5,77%;6,10%;5,24%;3,09%;7,90%;8,78%;8,76%;5,91%
ROIC;0,46%;7,20%;7,73%;6,98%;4,57%;10,55%;11,87%;12,07%;8,62%
Giro ativos;0,39;0,40;0,39;0,39;0,32;0,61;0,69;0,76;0,68
CAGR Receitas 5 anos;12,38%;14,20%;-70,87%;16,50%;6,07%;5,73%;4,41%;4,13%;2,06%
CAGR Lucros 5 anos;15,28%;21,55%;103,28%;18,46%;15,47%;13,07%;12,53%;6,72%;-5,64%
