;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,57%;2,23%;1,66%;1,90%;1,23%;1,57%;1,90%;2,27%;1,65%
Div;1.31;3.19;2.33;2.18;1.98;1.9;1.82;1.72;1.57
P/L;36.6;13.38;22.76;14.98;23.28;-166.15;17.38;10.11;19.86
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;5,36;3,46;3,76;3,37;4,95;4,27;3,03;2,40;3,43
EV/EBITDA;17,45;12,35;14,65;11,02;17,33;33,71;13,05;9,65;14,85
EV/EBIT;21,90;15,90;19,60;14,11;22,81;75,60;17,56;12,40;19,75
P/EBITDA;16,37;11,57;13,84;10,15;16,43;31,21;11,92;8,61;13,58
P/EBIT;20,55;14,90;18,52;12,99;21,62;70,01;16,04;11,05;18,06
VPA;42,78;41,35;37,33;34,10;32,60;28,37;31,60;31,57;27,73
P/Ativo;2,69;1,87;2,00;1,75;2,45;2,08;1,63;1,27;1,72
LPA;6.26;10.69;6.17;7.66;6.93;-0.73;5.51;7.48;4.79
P/SR;3,91;2,70;2,71;2,23;3,53;3,29;2,38;1,85;2,74
P/Cap. Giro;23,69;14,81;12,68;13,80;20,19;19,12;15,92;14,50;16,07
P/Ativo Circ. Liq.;-3,94;-2,81;-3,15;-2,69;-3,71;-2,98;-2,27;-1,83;-2,48
Dív. líquida/PL;0,35;0,23;0,22;0,29;0,27;0,34;0,29;0,29;0,32
Dív. líquida/EBITDA;1,08;0,78;0,81;0,87;0,90;2,49;1,13;1,05;1,27
Dív. líquida/EBIT;1,35;1,01;1,09;1,11;1,19;5,60;1,52;1,34;1,69
PL/Ativos;0,50;0,54;0,53;0,52;0,50;0,49;0,54;0,53;0,50
Passivos/Ativos;0,49;0,45;0,46;0,48;0,50;0,51;0,46;0,47;0,50
Liq. corrente;1,56;1,61;1,77;1,57;1,56;1,57;1,57;1,41;1,54
M. Bruta;35,22%;34,43%;31,53%;32,21%;32,75%;30,69%;32,67%;33,92%;34,33%
M. EBITDA;23,86%;23,31%;19,60%;22,01%;21,46%;10,54%;20,00%;21,55%;20,20%
M. EBIT;19,01%;18,09%;14,64%;17,19%;16,31%;4,70%;14,86%;16,78%;15,18%
M. Líquida;10,67%;20,15%;11,91%;14,91%;15,15%;-1,98%;13,71%;18,34%;13,81%
ROE;14,64%;25,84%;16,54%;22,48%;21,26%;-2,57%;17,45%;23,68%;17,26%
ROA;7,34%;13,97%;8,80%;11,68%;10,53%;-1,25%;9,36%;12,58%;8,67%
ROIC;10,50%;14,92%;12,59%;16,61%;15,69%;-1,56%;13,65%;13,51%;11,85%
Giro ativos;0,69;0,69;0,74;0,78;0,70;0,63;0,68;0,69;0,63
CAGR Receitas 5 anos;3,33%;2,77%;5,97%;5,62%;-0,10%;2,35%;4,19%;-1,71%;-3,80%
CAGR Lucros 5 anos;11,61%;-5,73%;7,61%;2,39%;-%;0,70%;14,99%;8,64%;10,04%
