;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,25%;0,38%;0,41%;0,50%;0,24%;0,33%;0,53%;1,15%;0,67%
Div;0.49;0.48;0.45;0.44;0.39;0.4;0.36;0.36;0.28
P/L;69.13;37.55;36.93;19.02;26.15;25.39;24.44;12.45;31.87
PEG Ratio;-5,06;-;-;-;-;-;-;-;-
P/VP;11,27;7,22;6,56;5,55;10,35;9,02;7,72;3,69;4,20
EV/EBITDA;90,11;25,03;24,60;13,37;19,38;17,95;15,60;7,68;10,74
EV/EBIT;141,68;29,51;29,75;15,12;21,44;20,41;18,99;9,51;12,95
P/EBITDA;90,40;25,79;25,88;14,25;20,34;18,93;16,95;9,58;12,97
P/EBIT;142,13;30,40;31,30;16,12;22,51;21,52;20,64;11,87;15,63
VPA;17,35;17,43;16,54;15,74;15,79;13,29;8,83;8,49;9,96
P/Ativo;7,73;5,49;4,75;3,89;6,97;5,45;4,10;2,08;2,64
LPA;2.83;3.35;2.94;4.59;6.25;4.72;2.79;2.52;1.31
P/SR;10,71;7,22;6,19;4,31;7,17;6,38;4,98;2,68;3,84
P/Cap. Giro;40,56;17,09;11,03;9,00;14,98;11,61;10,20;4,48;4,52
P/Ativo Circ. Liq.;-13,84;-10,76;-12,51;-10,94;-21,52;-16,10;-10,13;-5,77;-9,79
Dív. líquida/PL;-0,04;-0,21;-0,32;-0,34;-0,49;-0,47;-0,62;-0,73;-0,72
Dív. líquida/EBITDA;-0,29;-0,76;-1,28;-0,88;-0,96;-0,98;-1,35;-1,90;-2,23
Dív. líquida/EBIT;-0,45;-0,90;-1,55;-1,00;-1,07;-1,11;-1,65;-2,36;-2,69
PL/Ativos;0,69;0,76;0,72;0,70;0,67;0,60;0,53;0,56;0,63
Passivos/Ativos;0,31;0,24;0,28;0,30;0,33;0,39;0,47;0,44;0,37
Liq. corrente;1,76;2,91;3,28;3,03;3,20;3,45;3,08;3,64;5,00
M. Bruta;58,92%;58,48%;57,42%;59,18%;59,59%;57,21%;58,38%;58,09%;57,17%
M. EBITDA;11,85%;28,00%;23,92%;30,26%;35,22%;33,70%;29,38%;27,94%;29,65%
M. EBIT;7,54%;23,75%;19,78%;26,75%;31,83%;29,64%;24,12%;22,55%;24,59%
M. Líquida;15,49%;19,23%;16,77%;22,68%;27,40%;25,12%;20,37%;21,51%;12,06%
ROE;16,31%;19,24%;17,77%;29,19%;39,59%;35,53%;31,58%;29,68%;13,19%
ROA;11,18%;14,62%;12,87%;20,44%;26,63%;21,47%;16,77%;16,69%;8,29%
ROIC;5,48%;21,65%;17,92%;28,75%;38,65%;30,89%;33,47%;30,07%;11,15%
Giro ativos;0,72;0,76;0,77;0,90;0,97;0,85;0,82;0,78;0,69
CAGR Receitas 5 anos;4,21%;4,96%;8,11%;16,13%;13,74%;6,85%;8,03%;5,22%;4,17%
CAGR Lucros 5 anos;3,02%;-0,13%;22,66%;-%;30,59%;41,89%;22,33%;3,49%;-%
