;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,14%;3,29%;3,06%;2,66%;1,37%;1,52%;2,03%;3,81%;3,74%
Div;;4.44;4.36;3.97;3.17;2.68;2.6;2.52;2.44
P/L;11.81;17.01;23.65;9.88;25.39;26.94;22.12;11.84;12.97
PEG Ratio;-0,85;3,19;-;-;-;-;-;-;-
P/VP;2,88;4,94;5,85;5,35;7,68;7,47;5,75;2,96;3,24
EV/EBITDA;-;9,67;12,08;6,38;12,77;13,38;11,18;6,41;6,29
EV/EBIT;-;14,94;20,45;8,19;17,64;20,86;17,92;10,17;9,23
P/EBITDA;14,44;7,87;9,97;5,73;12,31;12,17;9,87;5,15;4,88
P/EBIT;-;12,16;16,88;7,35;17,00;18,98;15,81;8,16;7,16
VPA;-;27,31;24,33;27,87;30,14;23,63;22,29;22,33;20,15
P/Ativo;0,77;1,10;1,23;1,27;2,16;2,07;1,57;0,86;0,95
LPA;;7.93;6.02;15.09;9.12;6.55;5.8;5.58;5.03
P/SR;0,60;0,58;0,60;0,65;1,19;1,13;0,86;0,47;0,50
P/Cap. Giro;-235,22;-21,28;-39,75;-394,28;175,73;-55,77;-26,04;-67,36;-49,47
P/Ativo Circ. Liq.;-1,15;-1,64;-1,85;-2,13;-3,64;-2,96;-2,26;-1,24;-1,39
Dív. líquida/PL;-;1,13;1,24;0,61;0,29;0,74;0,77;0,73;0,93
Dív. líquida/EBITDA;-;1,80;2,11;0,65;0,46;1,21;1,32;1,26;1,41
Dív. líquida/EBIT;-;2,77;3,57;0,84;0,64;1,88;2,11;2,01;2,07
PL/Ativos;-;0,22;0,21;0,24;0,28;0,28;0,27;0,29;0,29
Passivos/Ativos;-;0,78;0,79;0,76;0,72;0,72;0,73;0,71;0,71
Liq. corrente;-;0,86;0,92;0,99;1,03;0,89;0,83;0,96;0,94
M. Bruta;-%;26,77%;24,57%;29,28%;29,27%;29,76%;29,27%;29,69%;30,06%
M. EBITDA;-%;7,34%;6,04%;11,29%;9,63%;9,30%;8,74%;9,21%;10,35%
M. EBIT;-%;4,75%;3,57%;8,80%;6,97%;5,96%;5,45%;5,81%;7,05%
M. Líquida;-%;3,40%;2,55%;6,55%;4,67%;4,20%;3,90%;4,01%;3,89%
ROE;-%;29,02%;24,75%;54,15%;30,25%;27,73%;26,00%;25,01%;24,96%
ROA;-%;6,46%;5,21%;12,91%;8,52%;7,67%;7,11%;7,23%;7,30%
ROIC;-%;14,58%;11,90%;27,75%;19,71%;16,13%;15,63%;15,38%;15,43%
Giro ativos;-;1,90;2,05;1,97;1,83;1,83;1,83;1,80;1,88
CAGR Receitas 5 anos;-%;8,46%;8,57%;4,86%;1,47%;1,12%;-0,16%;0,12%;1,83%
CAGR Lucros 5 anos;-%;-0,94%;20,50%;5,37%;-%;8,30%;-0,57%;-1,37%;2,87%
