;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,24%;1,21%;1,38%;1,44%;1,37%;0,34%;1,45%;2,88%;3,14%
Div;;1.46;1.29;1.15;1.04;0.23;0.88;1.29;1.2
P/L;35.29;30.36;30.56;28.02;10.01;25.06;24.01;21.15;21.04
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;-;-;16,80;15,32;1,55;13,78;14,55;10,72;10,72
EV/EBITDA;-;19,62;18,97;16,56;-;14,98;14,53;11,49;10,64
EV/EBIT;-;23,43;22,60;19,75;0,07;18,34;17,38;13,92;12,50
P/EBITDA;22,62;19,62;19,36;17,09;-;15,16;14,69;11,71;10,92
P/EBIT;27,24;23,43;23,06;20,38;0,16;18,57;17,57;14,19;12,84
VPA;-;-;5,58;5,20;48,90;4,95;4,20;4,17;3,57
P/Ativo;-;-;3,77;3,23;0,29;3,40;5,13;3,92;3,75
LPA;;3.98;3.07;2.84;7.58;2.73;2.54;2.11;1.82
P/SR;3,05;2,50;2,14;1,89;0,03;1,97;1,89;1,54;1,46
P/Cap. Giro;-;-;49,70;32,96;1,83;47,11;25,01;16,42;16,15
P/Ativo Circ. Liq.;-;-;-6,73;-6,05;-0,60;-5,37;-12,54;-9,90;-9,42
Dív. líquida/PL;-;-;-0,33;-0,48;-0,88;-0,16;-0,16;-0,20;-0,28
Dív. líquida/EBITDA;-;-;-0,38;-0,53;-;-0,18;-0,16;-0,22;-0,28
Dív. líquida/EBIT;-;-;-0,46;-0,64;-0,09;-0,22;-0,19;-0,27;-0,33
PL/Ativos;-;-;0,22;0,21;0,19;0,25;0,35;0,37;0,35
Passivos/Ativos;-;-;0,78;0,79;0,81;0,75;0,65;0,63;0,65
Liq. corrente;-;-;1,21;1,27;1,46;1,24;1,53;1,66;1,63
M. Bruta;-%;30,00%;27,61%;28,50%;236,59%;28,46%;28,59%;28,89%;28,98%
M. EBITDA;-%;12,77%;11,06%;11,08%;-%;12,96%;12,83%;13,14%;13,34%
M. EBIT;-%;10,69%;9,28%;9,29%;18,12%;10,59%;10,73%;10,84%;11,35%
M. Líquida;-%;8,25%;7,00%;6,76%;0,28%;7,84%;7,85%;7,27%;6,93%
ROE;-%;-%;54,97%;54,69%;15,51%;55,01%;60,61%;50,66%;50,95%
ROA;-%;-%;12,34%;11,53%;2,94%;13,55%;21,36%;18,55%;17,84%
ROIC;-%;-%;35,98%;36,31%;520,37%;40,10%;42,14%;35,77%;34,75%
Giro ativos;-;-;1,76;1,71;10,43;1,73;2,72;2,55;2,58
CAGR Receitas 5 anos;-%;6,84%;7,91%;153,09%;7,49%;7,28%;6,74%;7,43%;7,12%
CAGR Lucros 5 anos;-%;6,05%;7,39%;31,77%;8,12%;7,44%;6,46%;8,97%;11,14%
