;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,07%;0,30%;0,26%;0,22%;0,16%;0,19%;0,23%;0,30%;0,32%
Div;0.41;1.56;1.38;1.21;1.07;0.88;0.75;0.67;0.61
P/L;33.35;31.27;34.23;30.94;34.07;28.96;35.25;30.66;34.22
PEG Ratio;0,73;-;-;-;-;-;-;-;-
P/VP;4,29;4,00;4,39;4,89;6,45;5,35;4,39;3,27;3,00
EV/EBITDA;49,73;19,40;20,95;20,18;24,53;19,40;20,74;17,27;18,96
EV/EBIT;111,27;26,56;30,24;28,15;31,31;25,20;30,68;27,23;31,72
P/EBITDA;43,37;17,17;18,52;18,01;21,99;18,27;18,55;14,54;15,07
P/EBIT;97,04;23,51;26,75;25,12;28,07;23,73;27,45;22,93;25,20
VPA;135,79;130,22;120,87;112,62;103,42;87,07;74,00;68,52;63,37
P/Ativo;2,13;2,04;2,08;2,21;2,77;2,67;2,23;1,60;1,34
LPA;17.49;16.64;15.51;17.8;19.58;16.08;9.22;7.3;5.55
P/SR;5,01;4,62;4,79;4,79;6,71;5,73;5,10;3,70;3,64
P/Cap. Giro;29,58;22,50;19,40;26,17;39,42;15,84;22,87;20,12;32,09
P/Ativo Circ. Liq.;-2,71;-2,63;-2,77;-2,99;-3,51;-3,92;-2,80;-1,98;-1,61
Dív. líquida/PL;0,63;0,52;0,57;0,59;0,75;0,33;0,52;0,61;0,77
Dív. líquida/EBITDA;6,36;2,23;2,42;2,17;2,54;1,13;2,19;2,73;3,89
Dív. líquida/EBIT;14,23;3,05;3,50;3,03;3,24;1,47;3,23;4,30;6,51
PL/Ativos;0,50;0,51;0,47;0,45;0,43;0,50;0,51;0,49;0,45
Passivos/Ativos;0,50;0,49;0,53;0,55;0,57;0,50;0,49;0,51;0,55
Liq. corrente;1,50;1,66;1,75;1,48;1,50;2,13;1,92;1,73;1,34
M. Bruta;11,03%;41,28%;39,90%;42,24%;50,08%;49,67%;44,35%;44,57%;45,17%
M. EBITDA;11,55%;26,90%;25,85%;26,59%;30,52%;31,36%;27,50%;25,44%;24,16%
M. EBIT;5,16%;19,65%;17,90%;19,06%;23,91%;24,14%;18,58%;16,13%;14,44%
M. Líquida;15,02%;14,77%;13,99%;15,47%;19,70%;19,79%;14,47%;12,06%;10,64%
ROE;12,88%;12,78%;12,83%;15,80%;18,94%;18,47%;12,45%;10,65%;8,76%
ROA;6,38%;6,51%;6,07%;7,15%;8,12%;9,23%;6,33%;5,22%;3,93%
ROIC;1,98%;9,61%;9,05%;10,01%;10,93%;12,32%;9,22%;7,74%;6,07%
Giro ativos;0,42;0,44;0,43;0,46;0,41;0,47;0,44;0,43;0,37
CAGR Receitas 5 anos;10,92%;11,96%;16,51%;16,50%;13,69%;8,62%;13,22%;10,83%;9,59%
CAGR Lucros 5 anos;11,38%;15,33%;25,58%;30,74%;26,41%;14,30%;18,20%;13,56%;8,74%
