;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,56%;1,07%;0,00%;0,00%;0,88%;3,58%;0,77%;0,75%;0,30%
Div;1.61;3.95;0.0;0.0;10.99;26.03;6.01;4.06;1.34
P/L;41.69;55.97;89.19;40.42;35.88;32.03;19.01;20.08;36.01
PEG Ratio;6,76;-;-;-;-;-;-;-;-
P/VP;14,52;22,43;34,68;23,34;14,84;-;-;-;-
EV/EBITDA;95,20;41,45;66,59;29,99;24,41;22,88;-;-;-
EV/EBIT;128,03;43,25;68,49;30,80;25,50;24,38;14,31;15,62;23,59
P/EBITDA;97,81;42,06;67,96;30,88;25,54;24,09;-;-;-
P/EBIT;131,55;43,89;69,90;31,71;26,68;25,67;15,06;16,09;24,14
VPA;19,84;16,43;15,11;33,48;84,15;0,00;0,00;0,00;0,00
P/Ativo;13,02;20,36;31,29;20,56;12,68;9,86;10,13;14,77;29,17
LPA;6.91;6.59;5.88;19.33;34.81;22.7;41.09;26.98;12.4
P/SR;25,71;35,99;57,28;27,03;21,48;18,64;12,35;14,03;22,64
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-13,02;-20,36;-31,29;-20,56;-12,68;-9,86;-10,13;-14,77;-29,17
Dív. líquida/PL;-0,39;-0,33;-0,70;-0,67;-0,66;-;-;-;-
Dív. líquida/EBITDA;-2,62;-0,61;-1,37;-0,89;-1,13;-1,21;-;-;-
Dív. líquida/EBIT;-3,52;-0,64;-1,41;-0,91;-1,18;-1,29;-0,75;-0,47;-0,55
PL/Ativos;0,90;0,91;0,90;0,88;0,85;0,00;0,00;0,00;0,00
Passivos/Ativos;0,10;0,09;0,10;0,12;0,15;0,15;0,14;0,14;0,12
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;24,05%;100,00%;100,00%;100,00%;100,00%;100,00%;95,76%;96,28%;99,68%
M. EBITDA;26,29%;85,57%;84,28%;87,54%;84,10%;77,36%;-%;-%;-%
M. EBIT;19,55%;82,01%;81,95%;85,23%;80,50%;72,60%;82,01%;87,19%;93,81%
M. Líquida;61,68%;64,32%;64,23%;66,88%;59,87%;58,19%;64,98%;69,86%;62,88%
ROE;34,82%;40,09%;38,88%;57,75%;41,36%;-%;-%;-%;-%
ROA;31,24%;36,37%;35,08%;50,87%;35,33%;30,80%;53,28%;73,57%;81,00%
ROIC;1,30%;40,09%;38,88%;57,75%;41,36%;-%;-%;-%;-%
Giro ativos;0,51;0,57;0,55;0,76;0,59;0,53;0,82;1,05;1,29
CAGR Receitas 5 anos;7,55%;16,04%;33,97%;46,82%;30,67%;54,79%;46,75%;36,54%;14,02%
CAGR Lucros 5 anos;7,33%;14,10%;35,64%;44,89%;28,61%;55,76%;50,44%;37,69%;15,47%
