;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;2,14%;3,53%;2,89%;1,23%;1,09%;5,01%;4,01%;3,05%
Div;;1.4;;1.1;0.5;0.34;1.35;1.35;1.35
P/L;143.07;16.56;9.02;10.5;12.85;-13.22;11.57;24.61;21.28
PEG Ratio;-;-;-;-;-;-;-;-;-
P/VP;30,55;4,67;3.707,18;3,93;3,29;3,79;2,12;3,01;4,19
EV/EBITDA;52,21;9,92;-;7,07;8,68;-32,60;7,22;10,88;11,07
EV/EBIT;91,16;11,92;-;8,24;10,64;-16,82;9,59;15,10;14,06
P/EBITDA;49,79;9,90;2,47;6,55;9,03;-29,63;6,88;10,50;12,58
P/EBIT;86,93;11,89;7,20;7,64;11,07;-15,28;9,14;14,58;15,97
VPA;4,19;14,00;-;9,68;12,35;8,21;12,73;11,20;10,56
P/Ativo;3,98;1,01;1.186,52;1,24;1,28;1,09;1,08;1,46;2,16
LPA;0.9;3.94;;3.63;3.16;-2.35;2.33;1.37;2.08
P/SR;3,74;2,03;1,27;1,34;1,87;1,74;1,23;1,66;2,80
P/Cap. Giro;19,43;1,91;7.840,50;8,13;5,50;10,63;4,54;6,54;3,93
P/Ativo Circ. Liq.;-7,13;-2,94;-1.776,50;-1,92;-2,14;-1,61;-1,72;-2,30;-6,70
Dív. líquida/PL;1,49;0,01;-;0,31;-0,13;0,38;0,10;0,11;-0,50
Dív. líquida/EBITDA;2,42;0,03;-;0,51;-0,35;-2,97;0,34;0,38;-1,50
Dív. líquida/EBIT;4,23;0,03;-;0,60;-0,43;-1,53;0,45;0,52;-1,91
PL/Ativos;0,13;0,22;-;0,31;0,39;0,29;0,51;0,49;0,51
Passivos/Ativos;0,87;0,78;-;0,69;0,61;0,71;0,49;0,51;0,49
Liq. corrente;1,87;5,14;-;1,75;2,37;1,47;2,79;2,59;5,24
M. Bruta;75,44%;73,29%;-%;69,57%;71,04%;65,29%;67,26%;65,45%;68,65%
M. EBITDA;7,51%;20,47%;-%;20,51%;20,65%;-5,87%;17,96%;15,84%;22,28%
M. EBIT;4,30%;17,04%;-%;17,59%;16,85%;-11,37%;13,51%;11,41%;17,54%
M. Líquida;2,61%;12,23%;-%;12,81%;14,52%;-13,14%;10,68%;6,76%;13,17%
ROE;21,36%;28,17%;-%;37,47%;25,59%;-28,65%;18,31%;12,25%;19,69%
ROA;2,78%;6,09%;-%;11,79%;9,95%;-8,23%;9,36%;5,95%;10,13%
ROIC;8,26%;9,28%;-%;24,97%;18,66%;-12,94%;13,51%;9,73%;13,52%
Giro ativos;1,07;0,50;-;0,92;0,69;0,63;0,88;0,88;0,77
CAGR Receitas 5 anos;2,05%;2,53%;-%;5,05%;3,43%;4,63%;2,99%;-1,18%;1,55%
CAGR Lucros 5 anos;4,87%;18,68%;-%;12,62%;-%;-3,81%;-17,41%;-10,67%;-12,16%
