;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;1,54%;2,13%;1,90%;0,77%;4,59%;8,92%;10,11%;7,52%
Div;;2.75;1.85;1.4;0.4;1.21;3.63;3.65;3.63
P/L;24.4;30.39;23.14;18.53;167.45;-3.89;-37.32;212.31;-36.07
PEG Ratio;0,67;-;-;-;-;-;-;-;-
P/VP;14,65;14,99;7,06;6,23;5,93;2,28;-;-;-
EV/EBITDA;25,62;12,77;8,09;8,77;10,89;-45,35;-;-;-
EV/EBIT;81,48;19,61;12,24;13,39;22,57;-11,59;54,90;53,31;-373,48
P/EBITDA;17,76;9,36;4,86;5,16;6,97;-20,00;-;-;-
P/EBIT;56,49;14,37;7,35;7,88;14,45;-5,11;31,23;30,76;-259,73
VPA;12,61;11,90;12,31;11,79;8,82;11,59;0,00;0,00;0,00
P/Ativo;1,64;1,71;0,94;0,85;0,78;0,38;0,51;0,49;0,73
LPA;7.57;5.87;3.75;3.97;0.31;-6.79;-1.09;0.17;-1.34
P/SR;2,28;2,37;1,20;0,79;0,70;0,73;1,10;0,79;1,18
P/Cap. Giro;-59,41;-44,36;-34,15;-23,40;-22,55;-18,93;-25,88;-5,48;-28,64
P/Ativo Circ. Liq.;-1,81;-1,90;-1,05;-0,97;-0,89;-0,42;-0,55;-0,53;-0,80
Dív. líquida/PL;6,48;5,47;4,70;4,37;3,33;2,88;-;-;-
Dív. líquida/EBITDA;7,86;3,42;3,23;3,61;3,92;-25,35;-;-;-
Dív. líquida/EBIT;24,99;5,24;4,89;5,52;8,12;-6,48;23,66;22,55;-113,76
PL/Ativos;0,11;0,11;0,13;0,14;0,13;0,17;0,00;0,00;0,00
Passivos/Ativos;0,89;0,89;0,87;0,86;0,82;0,81;0,68;0,57;0,49
Liq. corrente;0,77;0,72;0,79;0,77;0,77;0,82;0,81;0,48;0,77
M. Bruta;6,77%;27,49%;26,81%;14,98%;14,59%;28,76%;20,30%;14,53%;14,59%
M. EBITDA;12,85%;25,36%;24,78%;15,39%;10,09%;-3,66%;-%;-%;-%
M. EBIT;4,04%;16,51%;16,38%;10,08%;4,87%;-14,31%;3,51%;2,56%;-0,46%
M. Líquida;9,35%;7,81%;5,20%;4,28%;0,42%;-18,81%;-2,94%;0,37%;-3,28%
ROE;60,06%;49,34%;30,51%;33,64%;3,54%;-58,55%;-%;-%;-%
ROA;6,72%;5,63%;4,04%;4,58%;0,47%;-9,79%;-1,36%;0,23%;-2,02%
ROIC;0,99%;13,70%;14,40%;13,62%;9,13%;-13,55%;4,05%;4,29%;-1,01%
Giro ativos;0,72;0,72;0,78;1,07;1,11;0,52;0,46;0,62;0,61
CAGR Receitas 5 anos;13,57%;8,90%;18,88%;20,43%;4,41%;0,13%;10,67%;9,19%;-0,88%
CAGR Lucros 5 anos;-%;75,32%;-%;-%;-%;-%;-4,76%;-%;-%
