;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;-%;-%;-%;-%;-%;-%;-%;-%;-%
Div;;;;;;;;;
P/L;60.88;;42.13;27.76;44.4;42.84;20.2;29.23;86.42
PEG Ratio;-0,76;-;-;-;-;-;-;-;-
P/VP;3,19;-;2,91;3,08;5,55;4,64;3,33;3,09;4,24
EV/EBITDA;-;-;20,75;16,91;27,86;28,77;20,27;17,76;23,22
EV/EBIT;-;3,77;30,79;21,45;35,69;42,30;31,45;28,65;38,80
P/EBITDA;-;-;17,06;15,37;26,68;27,06;17,81;14,59;22,40
P/EBIT;-;3,77;25,32;19,50;34,18;39,79;27,63;23,53;37,42
VPA;24,69;-;18,26;16,40;15,72;14,38;12,53;10,65;9,59
P/Ativo;1,90;-;1,37;1,72;3,08;2,43;1,56;1,43;2,37
LPA;1.29;0.01;1.26;1.82;1.96;1.56;2.06;1.13;0.47
P/SR;5,37;4.715,40;3,45;3,40;5,98;5,31;3,18;2,66;3,87
P/Cap. Giro;57,85;-;8.196,13;222,52;83,50;-558,67;483,09;243,81;19,01
P/Ativo Circ. Liq.;-2,48;-;-1,70;-2,17;-3,87;-2,99;-1,91;-1,76;-3,41
Dív. líquida/PL;0,13;-;0,63;0,31;0,25;0,29;0,46;0,67;0,16
Dív. líquida/EBITDA;-;-;3,69;1,54;1,18;1,71;2,46;3,17;0,82
Dív. líquida/EBIT;-;-;5,48;1,95;1,51;2,51;3,82;5,11;1,38
PL/Ativos;0,60;-;0,47;0,56;0,56;0,52;0,47;0,46;0,56
Passivos/Ativos;0,40;-;0,53;0,44;0,44;0,48;0,53;0,54;0,44
Liq. corrente;1,16;-;1,00;1,04;1,22;0,98;1,02;1,03;1,70
M. Bruta;67,43%;65,06%;61,41%;57,27%;55,61%;55,75%;54,56%;54,08%;52,05%
M. EBITDA;-%;-%;20,23%;22,09%;22,41%;19,61%;17,86%;18,22%;17,26%
M. EBIT;0,00%;125.078,06%;13,64%;17,41%;17,49%;13,34%;11,52%;11,30%;10,33%
M. Líquida;8,82%;40,84%;8,19%;12,23%;13,47%;12,39%;15,76%;9,10%;4,47%
ROE;5,24%;-%;6,92%;11,10%;12,49%;10,83%;16,48%;10,57%;4,90%
ROA;3,12%;-%;3,26%;6,19%;6,94%;5,67%;7,74%;4,90%;2,74%
ROIC;-%;-%;6,24%;9,35%;10,66%;8,49%;4,35%;7,45%;4,32%
Giro ativos;0,35;-;0,40;0,51;0,52;0,46;0,49;0,54;0,61
CAGR Receitas 5 anos;-74,27%;4,09%;6,79%;9,15%;6,57%;6,38%;6,32%;5,34%;7,52%
CAGR Lucros 5 anos;-68,87%;1,94%;30,59%;30,06%;26,35%;19,16%;5,26%;-9,13%;-2,56%
