;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;0,36%;1,72%;2,06%;1,96%;2,23%;2,40%;2,36%;2,53%;2,09%
Div;1.05;4.14;3.92;3.67;3.49;3.37;3.23;3.03;2.83
P/L;11.11;10.92;14.53;15.31;10.3;13.18;13.48;12.57;18.06
PEG Ratio;0,38;-;-;-;-;-;-;-;-
P/VP;2,05;1,96;1,74;2,02;1,31;1,22;1,36;1,39;1,56
EV/EBITDA;6,37;4,05;4,32;4,67;3,81;3,96;4,16;4,03;4,79
EV/EBIT;25,12;8,78;12,34;12,67;8,51;10,13;10,58;10,33;12,50
P/EBITDA;6,12;3,83;4,06;4,33;3,52;3,89;4,00;3,73;4,60
P/EBIT;24,12;8,31;11,60;11,75;7,86;9,94;10,15;9,57;11,98
VPA;141,70;122,97;109,21;92,89;119,76;115,28;100,51;86,43;86,71
P/Ativo;0,45;0,41;0,35;0,38;0,31;0,30;0,32;0,30;0,36
LPA;26.21;22.06;13.11;12.24;15.18;10.65;10.16;9.52;7.51
P/SR;1,34;1,18;1,05;1,18;1,08;1,11;1,12;1,05;1,28
P/Cap. Giro;-;-;-;-;-;-;-;-;-
P/Ativo Circ. Liq.;-0,45;-0,41;-0,35;-0,38;-0,31;-0,30;-0,32;-0,30;-0,36
Dív. líquida/PL;0,08;0,11;0,11;0,16;0,11;0,02;0,06;0,11;0,07
Dív. líquida/EBITDA;0,25;0,22;0,26;0,34;0,29;0,07;0,17;0,29;0,20
Dív. líquida/EBIT;1,00;0,47;0,74;0,93;0,64;0,19;0,43;0,75;0,52
PL/Ativos;0,22;0,21;0,20;0,19;0,24;0,25;0,24;0,22;0,23
Passivos/Ativos;0,78;0,79;0,80;0,81;0,76;0,75;0,76;0,78;0,77
Liq. corrente;-;-;-;-;-;-;-;-;-
M. Bruta;12,34%;41,71%;36,62%;38,04%;41,70%;40,21%;39,42%;39,60%;39,56%
M. EBITDA;21,92%;30,72%;25,86%;27,24%;30,76%;28,57%;28,01%;28,06%;27,95%
M. EBIT;5,56%;14,16%;9,06%;10,05%;13,78%;11,18%;11,03%;10,94%;10,72%
M. Líquida;12,08%;10,77%;7,23%;7,71%;10,52%;8,43%;8,30%;8,33%;7,11%
ROE;18,50%;17,94%;12,00%;13,18%;12,68%;9,24%;10,11%;11,02%;8,66%
ROA;4,07%;3,75%;2,37%;2,46%;3,04%;2,31%;2,38%;2,42%;1,99%
ROIC;3,06%;14,79%;10,06%;10,91%;10,95%;8,41%;9,03%;9,66%;7,93%
Giro ativos;0,34;0,35;0,33;0,32;0,29;0,27;0,29;0,29;0,28
CAGR Receitas 5 anos;8,01%;6,44%;5,00%;4,74%;3,59%;3,05%;2,95%;2,34%;1,66%
CAGR Lucros 5 anos;13,78%;3,46%;6,69%;3,97%;-4,61%;-6,48%;-7,10%;-3,48%;16,34%
