;2025;2024;2023;2022;2021;2020;2019;2018;2017
D.Y;1,84%;8,29%;9,58%;1,64%;0,87%;1,07%;1,46%;1,44%;1,40%
Div;0.92;4.4;4.12;3.68;2.07;1.5;1.36;1.2;1.05
P/L;23.94;25.64;20.97;113.91;27.07;21.87;19.67;19.13;22.21
PEG Ratio;-0,24;-;-;-;-;-;-;-;-
P/VP;10,28;12,44;10,80;60,72;13,48;8,51;7,06;6,52;6,62
EV/EBITDA;34,86;15,59;13,13;70,31;17,21;13,23;12,11;11,95;11,39
EV/EBIT;88,11;20,34;16,62;87,12;20,77;16,11;15,30;14,98;14,15
P/EBITDA;32,88;14,75;12,40;69,75;17,12;13,49;11,78;11,59;11,01
P/EBIT;83,11;19,24;15,70;86,43;20,66;16,43;14,88;14,51;13,67
VPA;4,87;4,27;3,98;3,71;17,70;16,51;13,24;12,79;11,30
P/Ativo;2,43;2,88;2,53;14,61;3,48;2,32;2,09;3,30;3,27
LPA;2.09;2.07;2.05;1.97;8.81;6.43;4.75;4.36;3.37
P/SR;1,72;1,90;1,60;8,73;2,12;1,54;1,32;1,29;1,29
P/Cap. Giro;31,32;28,50;21,36;158,68;22,77;10,81;20,47;11,89;11,64
P/Ativo Circ. Liq.;-3,66;-4,35;-3,92;-23,26;-5,98;-4,32;-3,16;-7,89;-7,74
Dív. líquida/PL;0,62;0,71;0,64;0,49;0,07;-0,17;0,20;0,21;0,23
Dív. líquida/EBITDA;1,98;0,84;0,73;0,56;0,09;-0,26;0,33;0,37;0,38
Dív. líquida/EBIT;5,00;1,10;0,92;0,70;0,11;-0,32;0,42;0,46;0,47
PL/Ativos;0,24;0,23;0,23;0,24;0,26;0,27;0,30;0,51;0,49
Passivos/Ativos;0,76;0,77;0,77;0,76;0,74;0,73;0,70;0,49;0,51
Liq. corrente;1,30;1,43;1,50;1,33;1,57;1,87;1,43;1,91;1,95
M. Bruta;36,46%;36,26%;35,92%;35,00%;35,17%;35,42%;34,38%;34,16%;34,34%
M. EBITDA;5,23%;12,86%;12,86%;12,52%;12,39%;11,43%;11,25%;11,11%;11,74%
M. EBIT;2,07%;9,86%;10,16%;10,10%;10,26%;9,39%;8,90%;8,87%;9,46%
M. Líquida;7,18%;7,40%;7,61%;7,66%;7,83%;7,05%;6,73%;6,73%;5,82%
ROE;42,95%;48,51%;51,50%;53,31%;49,79%;38,93%;35,88%;34,09%;29,79%
ROA;10,16%;11,23%;12,05%;12,82%;12,84%;10,62%;10,63%;17,25%;14,73%
ROIC;0,11%;27,96%;29,48%;34,50%;33,83%;26,40%;29,64%;27,92%;23,56%
Giro ativos;1,42;1,52;1,58;1,67;1,64;1,51;1,58;2,56;2,53
CAGR Receitas 5 anos;12,25%;12,97%;14,38%;13,43%;11,27%;7,90%;8,90%;9,24%;9,88%
CAGR Lucros 5 anos;14,39%;15,77%;20,84%;17,93%;12,78%;8,68%;10,15%;8,86%;14,44%
